season,date,team1,team2,result,score1,score2,home_away,home_rank,away_rank,is_upset
1966,1966-09-02,MIA,LV,0,14,23,1,22,9,0
1966,1966-09-03,TEN,DEN,3,45,7,1,21,20,1
1966,1966-09-04,LAC,BUF,3,27,7,1,12,4,1
1966,1966-09-09,MIA,NYJ,0,14,19,1,22,13,0
1966,1966-09-10,GB,IND,3,24,3,1,1,6,0
1966,1966-09-10,LAC,NE,3,24,0,1,12,7,1
1966,1966-09-10,TEN,LV,3,31,0,1,21,9,1
1966,1966-09-11,ARI,PHI,3,16,13,1,10,8,1
1966,1966-09-11,ATL,LAR,0,14,19,1,23,11,0
1966,1966-09-11,BUF,KC,0,20,42,1,4,2,0
1966,1966-09-11,DET,CHI,3,14,3,1,19,16,1
1966,1966-09-11,PIT,NYG,1,34,34,1,17,24,0
1966,1966-09-11,SF,MIN,1,20,20,1,15,18,0
1966,1966-09-11,WAS,CLE,0,14,38,1,14,5,0
1966,1966-09-16,LAR,CHI,3,31,17,1,11,16,0
1966,1966-09-18,ARI,WAS,3,23,7,1,10,14,0
1966,1966-09-18,BUF,MIA,3,58,24,1,4,22,0
1966,1966-09-18,CLE,GB,0,20,21,1,5,1,0
1966,1966-09-18,DAL,NYG,3,52,7,1,3,24,0
1966,1966-09-18,DEN,NE,0,10,24,1,20,7,0
1966,1966-09-18,LV,KC,0,10,32,1,9,2,0
1966,1966-09-18,MIN,IND,0,23,38,1,18,6,0
1966,1966-09-18,NYJ,TEN,3,52,13,1,13,21,0
1966,1966-09-18,PHI,ATL,3,23,10,1,8,23,0
1966,1966-09-18,PIT,DET,3,17,3,1,17,19,0
1966,1966-09-25,BUF,TEN,3,27,20,1,4,21,0
1966,1966-09-25,CLE,ARI,0,28,34,1,5,10,1
1966,1966-09-25,DAL,MIN,3,28,17,1,3,18,0
1966,1966-09-25,DEN,NYJ,0,7,16,1,20,13,0
1966,1966-09-25,DET,ATL,3,28,10,1,19,23,0
1966,1966-09-25,GB,LAR,3,24,13,1,1,11,0
1966,1966-09-25,IND,SF,3,36,14,1,6,15,0
1966,1966-09-25,LV,LAC,0,20,29,1,9,12,1
1966,1966-09-25,NE,KC,0,24,43,1,7,2,0
1966,1966-09-25,PHI,NYG,3,35,17,1,8,24,0
1966,1966-09-25,PIT,WAS,0,27,33,1,17,14,0
1966,1966-09-30,LAR,SF,3,34,3,1,11,15,0
1966,1966-10-02,ATL,DAL,0,14,47,1,23,3,0
1966,1966-10-02,DEN,TEN,3,40,38,1,20,21,0
1966,1966-10-02,GB,DET,3,23,14,1,1,19,0
1966,1966-10-02,KC,BUF,0,14,29,1,2,4,1
1966,1966-10-02,LAC,MIA,3,44,10,1,12,22,0
1966,1966-10-02,MIN,CHI,0,10,13,1,18,16,0
1966,1966-10-02,NE,NYJ,1,24,24,1,7,13,0
1966,1966-10-02,NYG,CLE,0,7,28,1,24,5,0
1966,1966-10-02,PHI,ARI,0,10,41,1,8,10,1
1966,1966-10-02,WAS,PIT,3,24,10,1,14,17,0
1966,1966-10-08,BUF,NE,0,10,20,1,4,7,1
1966,1966-10-08,CLE,PIT,3,41,10,1,5,17,0
1966,1966-10-08,KC,DEN,3,37,10,1,2,20,0
1966,1966-10-08,NYJ,LAC,3,17,16,1,13,12,1
1966,1966-10-09,ARI,NYG,3,24,19,1,10,24,0
1966,1966-10-09,CHI,IND,3,27,17,1,16,6,1
1966,1966-10-09,DAL,PHI,3,56,7,1,3,8,0
1966,1966-10-09,DET,LAR,0,7,14,1,19,11,0
1966,1966-10-09,LV,MIA,3,21,10,1,9,22,0
1966,1966-10-09,SF,GB,3,21,20,1,15,1,1
1966,1966-10-09,WAS,ATL,3,33,20,1,14,23,0
1966,1966-10-16,ARI,DAL,1,10,10,1,10,3,0
1966,1966-10-16,ATL,SF,0,7,44,1,23,15,0
1966,1966-10-16,BUF,LAC,1,17,17,1,4,12,0
1966,1966-10-16,CHI,GB,0,0,17,1,16,1,0
1966,1966-10-16,IND,DET,3,45,14,1,6,19,0
1966,1966-10-16,KC,LV,0,13,34,1,2,9,1
1966,1966-10-16,MIA,DEN,3,24,7,1,22,20,1
1966,1966-10-16,MIN,LAR,3,35,7,1,18,11,1
1966,1966-10-16,NYG,WAS,3,13,10,1,24,14,1
1966,1966-10-16,PIT,PHI,0,14,31,1,17,8,0
1966,1966-10-16,TEN,NYJ,3,24,0,1,21,13,1
1966,1966-10-23,CHI,LAR,3,17,10,1,16,11,1
1966,1966-10-23,CLE,DAL,3,30,21,1,5,3,1
1966,1966-10-23,DEN,KC,0,10,56,1,20,2,0
1966,1966-10-23,GB,ATL,3,56,3,1,1,23,0
1966,1966-10-23,IND,MIN,3,20,17,1,6,18,0
1966,1966-10-23,NE,LAC,3,35,17,1,7,12,0
1966,1966-10-23,NYG,PHI,0,3,31,1,24,8,0
1966,1966-10-23,NYJ,LV,0,21,24,1,13,9,0
1966,1966-10-23,SF,DET,3,27,24,1,15,19,0
1966,1966-10-23,TEN,MIA,0,13,20,1,21,22,1
1966,1966-10-23,WAS,ARI,3,26,20,1,14,10,1
1966,1966-10-30,ATL,CLE,0,17,49,1,23,5,0
1966,1966-10-30,DAL,PIT,3,52,21,1,3,17,0
1966,1966-10-30,DET,GB,0,7,31,1,19,1,0
1966,1966-10-30,KC,TEN,3,48,23,1,2,21,0
