league,season,upset_frequency,total_predictions,total_upsets,draw_predictions,accuracy
La Liga,2000,0.32180851063829785,376,121.0,96,0.550531914893617
La Liga,2001,0.3691275167785235,298,110.0,78,0.5
La Liga,2002,0.3798342541436464,362,137.5,101,0.48066298342541436
La Liga,2003,0.3961218836565097,361,143.0,88,0.481994459833795
La Liga,2005,0.386968085106383,376,145.5,103,0.47606382978723405
La Liga,2007,0.372,375,139.5,85,0.5146666666666667
La Liga,2008,0.3190348525469169,373,119.0,82,0.5710455764075067
La Liga,2009,0.2898936170212766,376,109.0,94,0.5851063829787234
La Liga,2010,0.2862796833773087,379,108.5,79,0.6094986807387863
La Liga,2011,0.3386243386243386,378,128.0,92,0.5396825396825397
La Liga,2012,0.3373333333333333,375,126.5,83,0.552
La Liga,2013,0.3478835978835979,378,131.5,85,0.5396825396825397
La Liga,2014,0.3116710875331565,377,117.5,89,0.5702917771883289
La Liga,2015,0.32978723404255317,376,124.0,92,0.5478723404255319
La Liga,2016,0.2962962962962963,378,112.0,88,0.5873015873015873
La Liga,2017,0.33773087071240104,379,128.0,86,0.5488126649076517
La Liga,2018,0.3696808510638298,376,139.0,108,0.4867021276595745
La Liga,2019,0.3469656992084433,379,131.5,105,0.5145118733509235
La Liga,2020,0.3223684210526316,380,122.5,109,0.5342105263157895
La Liga,2021,0.33641160949868076,379,127.5,111,0.5171503957783641
La Liga,2022,0.33289473684210524,380,126.5,89,0.55
La Liga,2023,0.30394736842105263,380,115.5,107,0.5552631578947368
La Liga,2024,0.31973684210526315,380,121.5,97,0.5526315789473685
