league,season,upset_frequency,total_predictions,total_upsets,draw_predictions,accuracy
Premier League,2001,0.34175084175084175,297,101.5,77,0.5286195286195287
Premier League,2002,0.34562841530054644,366,126.5,87,0.5355191256830601
Premier League,2005,0.3257372654155496,373,121.5,75,0.5737265415549598
Premier League,2006,0.3478835978835979,378,131.5,97,0.5238095238095238
Premier League,2007,0.2857142857142857,378,108.0,100,0.582010582010582
Premier League,2008,0.33289473684210524,380,126.5,97,0.5394736842105263
Premier League,2009,0.3148148148148148,378,119.0,96,0.5582010582010583
Premier League,2010,0.34656084656084657,378,131.0,110,0.5079365079365079
Premier League,2011,0.3575197889182058,379,135.5,93,0.5197889182058048
Premier League,2012,0.3258575197889182,379,123.5,107,0.5329815303430079
Premier League,2013,0.29736842105263156,380,113.0,78,0.6
Premier League,2014,0.3395225464190981,377,128.0,92,0.5384615384615384
Premier League,2015,0.3859416445623342,377,145.5,107,0.47214854111405835
Premier League,2016,0.2804232804232804,378,106.0,84,0.6084656084656085
Premier League,2017,0.31733333333333336,375,119.0,96,0.5546666666666666
Premier League,2018,0.3201058201058201,378,121.0,70,0.5873015873015873
Premier League,2019,0.3473684210526316,380,132.0,92,0.531578947368421
Premier League,2020,0.375,380,142.5,83,0.5157894736842106
Premier League,2021,0.30526315789473685,380,116.0,88,0.5789473684210527
Premier League,2022,0.3245382585751979,379,123.0,86,0.5620052770448549
Premier League,2023,0.3034300791556728,379,115.0,82,0.5883905013192612
Premier League,2024,0.3355263157894737,380,127.5,93,0.5421052631578948
