league,team,upset_frequency_home,upset_frequency_away,upset_frequency_overall,total_upsets_home,total_upsets_away,total_upsets,total_predictions_home,total_predictions_away,total_predictions,accuracy_home,accuracy_away,accuracy_overall
Premier League,ARS,0.23564593301435408,0.3361244019138756,0.28588516746411485,98.5,140.5,239.0,418,418,836,0.6626794258373205,0.5406698564593302,0.6016746411483254
Premier League,AVL,0.3559556786703601,0.3601108033240997,0.35803324099722994,128.5,130.0,258.5,361,361,722,0.5041551246537396,0.5069252077562327,0.5055401662049861
Premier League,BHA,0.4407894736842105,0.3881578947368421,0.4144736842105263,67.0,59.0,126.0,152,152,304,0.3815789473684211,0.46710526315789475,0.4243421052631579
Premier League,BIR,0.39473684210526316,0.21578947368421053,0.30526315789473685,37.5,20.5,58.0,95,95,190,0.42105263157894735,0.6736842105263158,0.5473684210526316
Premier League,BLBN,0.39473684210526316,0.3391812865497076,0.3669590643274854,67.5,58.0,125.5,171,171,342,0.4678362573099415,0.543859649122807,0.5058479532163743
Premier League,BLPL,0.4473684210526316,0.3684210526315789,0.40789473684210525,8.5,7.0,15.5,19,19,38,0.42105263157894735,0.5263157894736842,0.47368421052631576
Premier League,BOLN,0.391812865497076,0.2953216374269006,0.3435672514619883,67.0,50.5,117.5,171,171,342,0.4619883040935672,0.5906432748538012,0.5263157894736842
Premier League,BOU,0.3980263157894737,0.34210526315789475,0.37006578947368424,60.5,52.0,112.5,152,152,304,0.47368421052631576,0.5592105263157895,0.5164473684210527
Premier League,BRNT,0.3223684210526316,0.3881578947368421,0.35526315789473684,24.5,29.5,54.0,76,76,152,0.5394736842105263,0.5,0.5197368421052632
Premier League,BUR,0.3333333333333333,0.2719298245614035,0.3026315789473684,57.0,46.5,103.5,171,171,342,0.543859649122807,0.6023391812865497,0.5730994152046783
Premier League,CARD,0.35526315789473684,0.2631578947368421,0.3092105263157895,13.5,10.0,23.5,38,38,76,0.5526315789473685,0.6578947368421053,0.6052631578947368
Premier League,CHA,0.4342105263157895,0.2565789473684211,0.34539473684210525,33.0,19.5,52.5,76,76,152,0.4473684210526316,0.6052631578947368,0.5263157894736842
Premier League,CHE,0.23444976076555024,0.3409090909090909,0.2876794258373206,98.0,142.5,240.5,418,418,836,0.645933014354067,0.5478468899521531,0.59688995215311
Premier League,CRY,0.3706140350877193,0.3399122807017544,0.35526315789473684,84.5,77.5,162.0,228,228,456,0.5043859649122807,0.5307017543859649,0.5175438596491229
Premier League,DER,0.3026315789473684,0.11842105263157894,0.21052631578947367,11.5,4.5,16.0,38,38,76,0.5789473684210527,0.8157894736842105,0.6973684210526315
Premier League,EVE,0.34330143540669855,0.3911483253588517,0.3672248803827751,143.5,163.5,307.0,418,418,836,0.5311004784688995,0.45215311004784686,0.4916267942583732
Premier League,FUL,0.37664473684210525,0.3503289473684211,0.36348684210526316,114.5,106.5,221.0,304,304,608,0.5131578947368421,0.4967105263157895,0.5049342105263158
Premier League,HUD,0.2894736842105263,0.25,0.26973684210526316,11.0,9.5,20.5,38,38,76,0.6052631578947368,0.631578947368421,0.618421052631579
Premier League,HUL,0.3894736842105263,0.2736842105263158,0.33157894736842103,37.0,26.0,63.0,95,95,190,0.4842105263157895,0.6,0.5421052631578948
Premier League,IPS,0.2631578947368421,0.27631578947368424,0.26973684210526316,10.0,10.5,20.5,38,38,76,0.631578947368421,0.5789473684210527,0.6052631578947368
Premier League,LEE,0.33157894736842103,0.2631578947368421,0.29736842105263156,31.5,25.0,56.5,95,95,190,0.5263157894736842,0.6526315789473685,0.5894736842105263
Premier League,LEIC,0.33253588516746413,0.3157894736842105,0.3241626794258373,69.5,66.0,135.5,209,209,418,0.5550239234449761,0.5645933014354066,0.5598086124401914
Premier League,LIVP,0.23564593301435408,0.33133971291866027,0.2834928229665072,98.5,138.5,237.0,418,418,836,0.6411483253588517,0.5526315789473685,0.59688995215311
Premier League,LUT,0.42105263157894735,0.15789473684210525,0.2894736842105263,8.0,3.0,11.0,19,19,38,0.47368421052631576,0.7368421052631579,0.6052631578947368
Premier League,MANC,0.19548872180451127,0.31203007518796994,0.25375939849624063,78.0,124.5,202.5,399,399,798,0.7343358395989975,0.5839598997493735,0.6591478696741855
Premier League,MANU,0.23086124401913877,0.3157894736842105,0.27332535885167464,96.5,132.0,228.5,418,418,836,0.6842105263157895,0.562200956937799,0.6232057416267942
Premier League,MID,0.42105263157894735,0.3308270676691729,0.37593984962406013,56.0,44.0,100.0,133,133,266,0.42857142857142855,0.5413533834586466,0.4849624060150376
Premier League,NEW,0.36578947368421055,0.33289473684210524,0.3493421052631579,139.0,126.5,265.5,380,380,760,0.5105263157894737,0.5552631578947368,0.5328947368421053
Premier League,NOR,0.35964912280701755,0.3157894736842105,0.33771929824561403,41.0,36.0,77.0,114,114,228,0.5087719298245614,0.5789473684210527,0.543859649122807
Premier League,NOTF,0.38596491228070173,0.22807017543859648,0.30701754385964913,22.0,13.0,35.0,57,57,114,0.47368421052631576,0.6666666666666666,0.5701754385964912
Premier League,POR,0.37894736842105264,0.32105263157894737,0.35,36.0,30.5,66.5,95,95,190,0.4842105263157895,0.5684210526315789,0.5263157894736842
Premier League,QPR,0.45614035087719296,0.21052631578947367,0.3333333333333333,26.0,12.0,38.0,57,57,114,0.38596491228070173,0.7192982456140351,0.5526315789473685
Premier League,REA,0.3508771929824561,0.2543859649122807,0.3026315789473684,20.0,14.5,34.5,57,57,114,0.543859649122807,0.6491228070175439,0.5964912280701754
Premier League,SHU,0.34210526315789475,0.19078947368421054,0.26644736842105265,26.0,14.5,40.5,76,76,152,0.5657894736842105,0.7105263157894737,0.6381578947368421
Premier League,SOU,0.34398496240601506,0.3157894736842105,0.3298872180451128,91.5,84.0,175.5,266,266,532,0.5150375939849624,0.5639097744360902,0.5394736842105263
Premier League,STO,0.4052631578947368,0.3447368421052632,0.375,77.0,65.5,142.5,190,190,380,0.45263157894736844,0.5105263157894737,0.48157894736842105
Premier League,SUN,0.3562753036437247,0.3097165991902834,0.33299595141700405,88.0,76.5,164.5,247,247,494,0.5060728744939271,0.5708502024291497,0.5384615384615384
Premier League,SWA,0.36466165413533835,0.40225563909774437,0.38345864661654133,48.5,53.5,102.0,133,133,266,0.49624060150375937,0.48872180451127817,0.4924812030075188
Premier League,TOT,0.2727272727272727,0.361244019138756,0.31698564593301437,114.0,151.0,265.0,418,418,836,0.6363636363636364,0.5119617224880383,0.5741626794258373
Premier League,WAT,0.39097744360902253,0.23308270676691728,0.31203007518796994,52.0,31.0,83.0,133,133,266,0.47368421052631576,0.6766917293233082,0.575187969924812
Premier League,WBA,0.39473684210526316,0.33114035087719296,0.36293859649122806,90.0,75.5,165.5,228,228,456,0.4780701754385965,0.5263157894736842,0.5021929824561403
Premier League,WHU,0.32706766917293234,0.35463659147869675,0.3408521303258145,130.5,141.5,272.0,399,399,798,0.5488721804511278,0.5238095238095238,0.5363408521303258
Premier League,WIG,0.3519736842105263,0.33881578947368424,0.34539473684210525,53.5,51.5,105.0,152,152,304,0.5,0.5592105263157895,0.5296052631578947
Premier League,WOLV,0.38421052631578945,0.3447368421052632,0.36447368421052634,73.0,65.5,138.5,190,190,380,0.5105263157894737,0.531578947368421,0.5210526315789473
