league,season,n_teams,spearman_r,spearman_p
Bundesliga,2004,18,0.446985446985447,0.06292243487178308
Bundesliga,2005,18,0.43639231233027054,0.0702093762080375
Bundesliga,2006,18,0.3937823834196891,0.10591032778267051
Bundesliga,2007,18,0.5643848777974162,0.01468817507381307
Bundesliga,2008,18,0.4680525164412489,0.05012498459727254
Bundesliga,2009,18,0.5269441369050503,0.024643776479280018
Bundesliga,2010,18,0.19647509504422614,0.43457172857493165
Bundesliga,2011,18,0.5424433548321503,0.02002872301415799
Bundesliga,2012,18,0.49505118534365605,0.036723710849656956
Bundesliga,2013,18,0.5891194872987975,0.01009422796556349
Bundesliga,2014,18,0.4258998576178931,0.07802472437675463
Bundesliga,2015,18,0.5125803444861832,0.029625249571453308
Bundesliga,2016,18,0.3473086747064626,0.1579106567485127
Bundesliga,2017,18,0.547644279293018,0.01864288829173886
Bundesliga,2018,18,0.8185589487671601,3.284868757210844e-05
Bundesliga,2019,18,0.6730471671463788,0.0022045120964934387
Bundesliga,2020,18,0.5983394682156509,0.008711483138415512
Bundesliga,2021,18,0.6084037990144232,0.007380519941721117
Bundesliga,2022,18,0.6964193983915034,0.0013237137290486813
Bundesliga,2023,18,0.6899585921325051,0.001531083502443313
Bundesliga,2024,18,0.7061906346492463,0.001054718958918427
La Liga,2000,20,0.2515154402153174,0.2847538748245599
La Liga,2001,20,0.35416666666666674,0.12550949749553889
La Liga,2002,20,0.3704424406800393,0.1078780561101501
La Liga,2003,20,0.2773779738471684,0.23640939220115761
La Liga,2005,20,0.471342383107089,0.03591578811890715
La Liga,2007,20,0.3154126606962679,0.17553756309141788
La Liga,2008,20,0.37684473765421034,0.10145908211288136
La Liga,2009,20,0.48842592676019864,0.02888348168288327
La Liga,2010,20,0.18178512286670093,0.44305410899594
La Liga,2011,20,0.40052995911181694,0.08011620172780194
La Liga,2012,20,0.43494754766627897,0.055293251194121776
La Liga,2013,20,0.6388795097183254,0.0024275251593420715
La Liga,2014,20,0.6713215194838327,0.0011920084761052796
La Liga,2015,20,0.4517346684293969,0.04555603210360192
La Liga,2016,20,0.8174279093028914,1.0804638484498276e-05
La Liga,2017,20,0.8021936459909228,2.0941688545684666e-05
La Liga,2018,20,0.47295015031054044,0.03520213020949799
La Liga,2019,20,0.7771499069288329,5.547352836608256e-05
La Liga,2020,20,0.6291969324952575,0.002956583652591117
La Liga,2021,20,0.5173453996983408,0.019486131370806365
La Liga,2022,20,0.7371824002666032,0.000208653427312075
La Liga,2023,20,0.6557315233785823,0.0016949241372186468
La Liga,2024,20,0.4667675047369649,0.0380082182344433
Premier League,2001,20,0.7041509433962265,0.0005294543420102737
Premier League,2002,20,0.5456313893874642,0.012829643402017142
Premier League,2005,20,0.5904115180975678,0.006131161130068463
Premier League,2006,20,0.6807707323735889,0.0009534419361356553
Premier League,2007,20,0.6729637962656961,0.0011472706559016088
Premier League,2008,20,0.5224962076619839,0.018104036887899248
Premier League,2009,20,0.8031676492108644,2.010832487774441e-05
Premier League,2010,20,0.4734860713326862,0.034966716509401585
Premier League,2011,20,0.54168242254458,0.013629110077746595
Premier League,2012,20,0.5672636247300495,0.00909439367417903
Premier League,2013,20,0.6778708640292289,0.001021929421415846
Premier League,2014,20,0.5339885246447519,0.015301968126508502
Premier League,2015,20,0.5105905994343276,0.021424716151816355
Premier League,2016,20,0.6404071318111206,0.002351767055983514
Premier League,2017,20,0.576923076923077,0.0077412239644500174
Premier League,2018,20,0.6479247128301332,0.0020070833383550174
Premier League,2019,20,0.658251695553881,0.0016033001184030573
Premier League,2020,20,0.6729536502921522,0.0011475426400706693
Premier League,2021,20,0.7293322910368909,0.0002634378101441203
Premier League,2022,20,0.6612610780770297,0.0014993691359695535
Premier League,2023,20,0.6847664089046618,0.0008654506113963267
Premier League,2024,20,0.7300159133336616,0.0002582236594755864
Serie A,2000,18,0.3015052953225128,0.22402658689392485
Serie A,2001,18,0.5935550935550936,0.009408575369694526
Serie A,2002,18,0.4268674495895627,0.07727841921876102
Serie A,2005,20,0.5645772003088693,0.009503138021499935
Serie A,2006,20,0.5948702413339455,0.005663879355349019
Serie A,2007,20,0.5583339742129186,0.010510979135509491
Serie A,2008,20,0.5845298001495033,0.006795567321005532
Serie A,2009,20,0.3228733690112157,0.1649907711599608
Serie A,2010,20,0.7577367122673052,0.00010889011282831209
Serie A,2011,20,0.523684153280383,0.017796680980955357
Serie A,2012,20,0.5262564770140459,0.017145440002359565
Serie A,2013,20,0.8036262945148741,1.9725957348047484e-05
Serie A,2014,20,0.7152570015953167,0.00039263325045075403
Serie A,2015,20,0.6464167512305352,0.002072603337140531
Serie A,2016,20,0.7911510114394721,3.2695879147416085e-05
Serie A,2017,20,0.7101395152043266,0.00045137736944448204
Serie A,2018,20,0.6347535155163238,0.0026423852620301273
Serie A,2019,20,0.5054655466502135,0.02299538103344122
Serie A,2020,20,0.7647060998120343,8.60957100966016e-05
Serie A,2021,20,0.7242550496417782,0.00030505350106601464
Serie A,2022,20,0.6880434719980046,0.0007985009459182006
Serie A,2023,20,0.7678975131876412,7.71125763452869e-05
Serie A,2024,20,0.8108928189801288,1.4454558228932071e-05
