league,seed,spearman_r,spearman_p
Bundesliga,1,0.04913182170482592,0.34015788708455763
La Liga,1,0.047205024253131646,0.3118446005074562
Premier League,1,0.034474547504904376,0.4703387706041413
Serie A,1,-0.03374330527151104,0.472879827140976
Bundesliga,2,-0.07637224588487651,0.1374774387206652
La Liga,2,-0.027757770620164397,0.5523307260716988
Premier League,2,0.052372778686208425,0.2723847059977842
Serie A,2,-0.023626240046325287,0.6153573418368425
Bundesliga,3,0.018304292303179696,0.72259493194946
La Liga,3,-0.022279288607723994,0.6334219560415373
Premier League,3,0.03443814674757522,0.4708081329225762
Serie A,3,-0.006318364125355539,0.893139302723837
Bundesliga,4,-0.07443771660602577,0.1477803082634559
La Liga,4,0.07442687980601527,0.11021338780455836
Premier League,4,-0.00802046701312844,0.8666923660377857
Serie A,4,0.06441073236195076,0.16998859744618722
Bundesliga,5,0.05087013079187979,0.3233058577705361
La Liga,5,0.02308779003176458,0.6211423247977854
Premier League,5,0.04683119010968821,0.326503623708317
Serie A,5,-0.015630170070191088,0.7396305968976431
Bundesliga,6,-0.07502875410918625,0.14457231168487805
La Liga,6,0.032511623118476364,0.4863366926223107
Premier League,6,0.002102899271282613,0.9648960193698211
Serie A,6,0.04353936166030623,0.3541663802030821
Bundesliga,7,-0.0073815197074445175,0.8861820809959493
La Liga,7,-0.011507510026458865,0.8054594714325023
Premier League,7,0.03033059312328237,0.5253863705030848
Serie A,7,0.06424481228981133,0.1710959066937252
Bundesliga,8,0.03890260919573411,0.45029635468569884
La Liga,8,0.01822936867822269,0.6963957867836719
Premier League,8,0.061053777843961175,0.2004927190962411
Serie A,8,-0.011252715243446062,0.8109108378185064
Bundesliga,9,0.07976091239336806,0.12076640955941387
La Liga,9,-0.06839740212979059,0.14232048995203028
Premier League,9,0.03487372663760699,0.4652085097524665
Serie A,9,-0.004425379823372976,0.9250410107133582
Bundesliga,10,0.022349311132858332,0.6646679126606674
La Liga,10,0.011617153378430124,0.8036433509912417
Premier League,10,0.004258994592447431,0.9289746524529292
Serie A,10,-0.063330015745141,0.17729753284385863
