league,season,team,first_half_pts,second_half_pts
Bundesliga,2004,BAY,100.0,100.0
Bundesliga,2004,BIE,29.411764705882355,29.411764705882355
Bundesliga,2004,BOC,11.764705882352942,11.764705882352942
Bundesliga,2004,DOR,64.70588235294117,64.70588235294117
Bundesliga,2004,FRE,0.0,0.0
Bundesliga,2004,HAM,58.82352941176471,58.82352941176471
Bundesliga,2004,HAN,47.05882352941177,47.05882352941177
Bundesliga,2004,HANR,5.882352941176471,5.882352941176471
Bundesliga,2004,HERT,82.3529411764706,82.3529411764706
Bundesliga,2004,KAI,35.294117647058826,35.294117647058826
Bundesliga,2004,LEVK,70.58823529411765,70.58823529411765
Bundesliga,2004,M'G,17.647058823529413,17.647058823529413
Bundesliga,2004,MAI,41.1764705882353,41.1764705882353
Bundesliga,2004,NUR,23.529411764705884,23.529411764705884
Bundesliga,2004,SCH,94.11764705882354,94.11764705882354
Bundesliga,2004,STU,76.47058823529412,76.47058823529412
Bundesliga,2004,WERB,88.23529411764706,88.23529411764706
Bundesliga,2004,WOB,52.94117647058824,52.94117647058824
Bundesliga,2005,BAY,100.0,100.0
Bundesliga,2005,BIE,29.411764705882355,29.411764705882355
Bundesliga,2005,DOR,64.70588235294117,64.70588235294117
Bundesliga,2005,DUI,0.0,0.0
Bundesliga,2005,EINF,23.529411764705884,23.529411764705884
Bundesliga,2005,HAM,88.23529411764706,88.23529411764706
Bundesliga,2005,HAN,35.294117647058826,35.294117647058826
Bundesliga,2005,HERT,70.58823529411765,70.58823529411765
Bundesliga,2005,KAI,11.764705882352942,11.764705882352942
Bundesliga,2005,KOL,5.882352941176471,5.882352941176471
Bundesliga,2005,LEVK,76.47058823529412,76.47058823529412
Bundesliga,2005,M'G,47.05882352941177,47.05882352941177
Bundesliga,2005,MAI,41.1764705882353,41.1764705882353
Bundesliga,2005,NUR,58.82352941176471,58.82352941176471
Bundesliga,2005,SCH,82.3529411764706,82.3529411764706
Bundesliga,2005,STU,52.94117647058824,52.94117647058824
Bundesliga,2005,WERB,94.11764705882354,94.11764705882354
Bundesliga,2005,WOB,17.647058823529413,17.647058823529413
Bundesliga,2006,AAC,5.882352941176471,5.882352941176471
Bundesliga,2006,BAY,82.3529411764706,82.3529411764706
Bundesliga,2006,BIE,35.294117647058826,35.294117647058826
Bundesliga,2006,BOC,58.82352941176471,58.82352941176471
Bundesliga,2006,COT,29.411764705882355,29.411764705882355
Bundesliga,2006,DOR,52.94117647058824,52.94117647058824
Bundesliga,2006,EINF,23.529411764705884,23.529411764705884
Bundesliga,2006,HAM,64.70588235294117,64.70588235294117
Bundesliga,2006,HAN,41.1764705882353,41.1764705882353
Bundesliga,2006,HERT,47.05882352941177,47.05882352941177
