league,season,n_teams,spearman_r,spearman_p
Bundesliga,2004,18,1.0,0.0
Bundesliga,2005,18,1.0,0.0
Bundesliga,2006,18,1.0,0.0
Bundesliga,2007,18,1.0,0.0
Bundesliga,2008,18,1.0,0.0
Bundesliga,2009,18,1.0,0.0
Bundesliga,2010,18,1.0,0.0
Bundesliga,2011,18,1.0,0.0
Bundesliga,2012,18,1.0,0.0
Bundesliga,2013,18,1.0,0.0
Bundesliga,2014,18,1.0,0.0
Bundesliga,2015,18,1.0,0.0
Bundesliga,2016,18,1.0,0.0
Bundesliga,2017,18,1.0,0.0
Bundesliga,2018,18,1.0,0.0
Bundesliga,2019,18,1.0,0.0
Bundesliga,2020,18,1.0,0.0
Bundesliga,2021,18,1.0,0.0
Bundesliga,2022,18,1.0,0.0
Bundesliga,2023,18,1.0,0.0
Bundesliga,2024,18,1.0,0.0
La Liga,2000,20,1.0,0.0
La Liga,2001,20,0.9988713318284422,2.811101017175048e-25
La Liga,2002,20,1.0,0.0
La Liga,2003,20,1.0,0.0
La Liga,2005,20,1.0,0.0
La Liga,2007,20,1.0,0.0
La Liga,2008,20,1.0,0.0
La Liga,2009,20,1.0,0.0
La Liga,2010,20,1.0,0.0
La Liga,2011,20,1.0,0.0
La Liga,2012,20,1.0,0.0
La Liga,2013,20,1.0,0.0
La Liga,2014,20,1.0,0.0
La Liga,2015,20,1.0,0.0
La Liga,2016,20,0.9988713318284422,2.811101017175048e-25
La Liga,2017,20,1.0,0.0
La Liga,2018,20,1.0,0.0
La Liga,2019,20,1.0,0.0
La Liga,2020,20,0.9977409638554217,1.4431784278820867e-22
La Liga,2021,20,0.9988713318284422,2.811101017175048e-25
La Liga,2022,20,1.0,0.0
La Liga,2023,20,1.0,0.0
La Liga,2024,20,1.0,0.0
Premier League,2001,20,0.9913349616430016,2.534587916956453e-17
Premier League,2002,20,0.9909406128218629,3.777839481123002e-17
Premier League,2005,20,0.969033509025123,2.2225022753530583e-12
Premier League,2006,20,0.9988713318284422,2.811101017175048e-25
Premier League,2007,20,0.9784830736892449,8.685085158188817e-14
Premier League,2008,20,0.9909570459683495,3.7168309789862336e-17
Premier League,2009,20,0.9977409638554217,1.4431784278820867e-22
Premier League,2010,20,0.9860225448719738,1.8385721369159458e-15
Premier League,2011,20,0.9988713318284422,2.811101017175048e-25
Premier League,2012,20,0.9920817300815887,1.129320664859471e-17
Premier League,2013,20,1.0,0.0
Premier League,2014,20,1.0,0.0
Premier League,2015,20,1.0,0.0
Premier League,2016,20,1.0,0.0
Premier League,2017,20,0.9833780399623557,8.661769808525798e-15
Premier League,2018,20,1.0,0.0
Premier League,2019,20,0.9883030126633827,3.7314578704714294e-16
Premier League,2020,20,0.9890730972117558,2.027196253913159e-16
Premier League,2021,20,0.9698340874811462,1.7608822450895357e-12
Premier League,2022,20,0.9913210370441233,2.5713524992752238e-17
Premier League,2023,20,0.9988713318284422,2.811101017175048e-25
Premier League,2024,20,1.0,0.0
Serie A,2000,18,1.0,0.0
Serie A,2001,18,0.9984504132231405,1.6633031969021349e-21
Serie A,2002,18,1.0,0.0
Serie A,2005,20,1.0,0.0
Serie A,2006,20,0.9988713318284422,2.811101017175048e-25
Serie A,2007,20,1.0,0.0
Serie A,2008,20,1.0,0.0
Serie A,2009,20,0.9950983221913009,1.5239699508089477e-19
Serie A,2010,20,0.9988713318284422,2.811101017175048e-25
Serie A,2011,20,1.0,0.0
Serie A,2012,20,1.0,0.0
Serie A,2013,20,1.0,0.0
Serie A,2014,20,1.0,0.0
Serie A,2015,20,0.9977409638554217,1.4431784278820867e-22
Serie A,2016,20,0.9977409638554217,1.4431784278820867e-22
Serie A,2017,20,0.9977409638554217,1.4431784278820867e-22
Serie A,2018,20,1.0,0.0
Serie A,2019,20,0.9988713318284422,2.811101017175048e-25
Serie A,2020,20,0.9988713318284422,2.811101017175048e-25
Serie A,2021,20,0.9988713318284422,2.811101017175048e-25
Serie A,2022,20,1.0,0.0
Serie A,2023,20,1.0,0.0
Serie A,2024,20,0.9973644578313253,5.771010707648765e-22
