league,season,total_matches,total_upsets,upset_frequency
Bundesliga,2004,306,109.5,0.3578431372549019
Bundesliga,2005,306,111.0,0.3627450980392157
Bundesliga,2006,306,116.5,0.380718954248366
Bundesliga,2007,306,109.0,0.3562091503267974
Bundesliga,2008,306,100.0,0.326797385620915
Bundesliga,2009,306,108.0,0.3529411764705882
Bundesliga,2010,306,109.5,0.3578431372549019
Bundesliga,2011,306,104.5,0.3415032679738562
Bundesliga,2012,306,102.0,0.3333333333333333
Bundesliga,2013,306,96.0,0.3137254901960784
Bundesliga,2014,306,118.0,0.3856209150326797
Bundesliga,2015,306,107.5,0.3513071895424836
Bundesliga,2016,306,107.0,0.349673202614379
Bundesliga,2017,306,105.5,0.3447712418300653
Bundesliga,2018,306,89.5,0.2924836601307189
Bundesliga,2019,306,106.0,0.3464052287581699
Bundesliga,2020,306,105.5,0.3447712418300653
Bundesliga,2021,306,105.5,0.3447712418300653
Bundesliga,2022,306,106.5,0.3480392156862745
Bundesliga,2023,306,93.5,0.3055555555555556
Bundesliga,2024,306,104.0,0.3398692810457516
La Liga,2000,380,140.5,0.3697368421052631
La Liga,2001,380,154.5,0.406578947368421
La Liga,2002,380,151.5,0.3986842105263158
La Liga,2003,380,137.5,0.3618421052631579
La Liga,2005,380,139.5,0.3671052631578947
La Liga,2007,380,137.5,0.3618421052631579
La Liga,2008,380,136.5,0.3592105263157895
La Liga,2009,380,134.5,0.3539473684210526
La Liga,2010,380,131.5,0.3460526315789474
La Liga,2011,380,144.0,0.3789473684210526
La Liga,2012,380,129.0,0.3394736842105263
La Liga,2013,380,124.0,0.3263157894736842
La Liga,2014,380,119.5,0.3144736842105263
La Liga,2015,380,133.0,0.35
La Liga,2016,380,113.5,0.2986842105263158
La Liga,2017,380,121.0,0.3184210526315789
La Liga,2018,380,142.0,0.3736842105263158
La Liga,2019,380,124.5,0.3276315789473684
La Liga,2020,380,120.5,0.3171052631578947
La Liga,2021,380,123.5,0.325
La Liga,2022,380,135.5,0.356578947368421
La Liga,2023,380,117.5,0.3092105263157895
La Liga,2024,380,121.5,0.3197368421052631
Premier League,2001,380,128.5,0.3381578947368421
Premier League,2002,380,130.0,0.3421052631578947
Premier League,2005,380,112.5,0.2960526315789473
Premier League,2006,380,135.0,0.3552631578947368
Premier League,2007,380,113.0,0.2973684210526315
Premier League,2008,380,120.5,0.3171052631578947
Premier League,2009,380,117.0,0.3078947368421053
Premier League,2010,380,148.5,0.3907894736842105
Premier League,2011,380,130.5,0.3434210526315789
Premier League,2012,380,128.0,0.3368421052631579
Premier League,2013,380,116.0,0.3052631578947368
Premier League,2014,380,136.5,0.3592105263157895
Premier League,2015,380,134.5,0.3539473684210526
Premier League,2016,380,114.0,0.3
Premier League,2017,380,121.5,0.3197368421052631
Premier League,2018,380,113.5,0.2986842105263158
Premier League,2019,380,122.0,0.3210526315789473
Premier League,2020,380,130.5,0.3434210526315789
Premier League,2021,380,120.0,0.3157894736842105
Premier League,2022,380,122.5,0.3223684210526316
Premier League,2023,380,123.0,0.3236842105263158
Premier League,2024,380,121.5,0.3197368421052631
Serie A,2000,306,102.0,0.3333333333333333
Serie A,2001,306,101.5,0.3316993464052287
Serie A,2002,306,113.0,0.369281045751634
Serie A,2005,380,124.0,0.3263157894736842
Serie A,2006,380,128.0,0.3368421052631579
Serie A,2007,380,141.0,0.3710526315789473
Serie A,2008,380,136.5,0.3592105263157895
Serie A,2009,380,142.0,0.3736842105263158
Serie A,2010,380,137.5,0.3618421052631579
Serie A,2011,380,132.5,0.3486842105263157
Serie A,2012,380,132.0,0.3473684210526316
Serie A,2013,380,117.0,0.3078947368421053
Serie A,2014,380,134.0,0.3526315789473684
Serie A,2015,380,124.5,0.3276315789473684
Serie A,2016,380,118.0,0.3105263157894737
Serie A,2017,380,112.5,0.2960526315789473
Serie A,2018,380,119.0,0.3131578947368421
Serie A,2019,380,117.5,0.3092105263157895
Serie A,2020,380,110.5,0.2907894736842105
Serie A,2021,380,118.0,0.3105263157894737
Serie A,2022,380,125.0,0.3289473684210526
Serie A,2023,380,112.0,0.2947368421052631
Serie A,2024,380,115.0,0.3026315789473684
