league,season,upset_frequency,total_predictions,total_upsets,draw_predictions,accuracy
Bundesliga,2004,0.38461538461538464,299,115.0,64,0.5083612040133779
Bundesliga,2005,0.335,300,100.5,91,0.5133333333333333
Bundesliga,2006,0.38613861386138615,303,117.0,78,0.48514851485148514
Bundesliga,2007,0.36423841059602646,302,110.0,78,0.5066225165562914
Bundesliga,2008,0.3443708609271523,302,104.0,74,0.5331125827814569
Bundesliga,2009,0.3639344262295082,305,111.0,86,0.49508196721311476
Bundesliga,2010,0.4144736842105263,304,126.0,62,0.48355263157894735
Bundesliga,2011,0.3609271523178808,302,109.0,76,0.5132450331125827
Bundesliga,2012,0.37335526315789475,304,113.5,77,0.5
Bundesliga,2013,0.3394648829431438,299,101.5,63,0.5551839464882943
Bundesliga,2014,0.35526315789473684,304,108.0,82,0.5098684210526315
Bundesliga,2015,0.3524590163934426,305,107.5,71,0.5311475409836065
Bundesliga,2016,0.36065573770491804,305,110.0,74,0.5180327868852459
Bundesliga,2017,0.3609271523178808,302,109.0,82,0.5033112582781457
Bundesliga,2018,0.3383333333333333,300,101.5,71,0.5433333333333333
Bundesliga,2019,0.3660130718954248,306,112.0,68,0.5228758169934641
Bundesliga,2020,0.35130718954248363,306,107.5,81,0.5163398692810458
Bundesliga,2021,0.36885245901639346,305,112.5,73,0.5114754098360655
Bundesliga,2022,0.3480392156862745,306,106.5,75,0.5294117647058824
Bundesliga,2023,0.32459016393442625,305,99.0,80,0.5442622950819672
Bundesliga,2024,0.3503289473684211,304,106.5,77,0.5230263157894737
