league,team,upset_frequency_home,upset_frequency_away,upset_frequency_overall,total_upsets_home,total_upsets_away,total_upsets,total_predictions_home,total_predictions_away,total_predictions,accuracy_home,accuracy_away,accuracy_overall
Premier League,ARS,0.211864406779661,0.3446601941747573,0.2781818181818182,87.5,142.0,229.5,413,412,825,0.6876513317191283,0.5315533980582524,0.6096969696969697
Premier League,AVL,0.3380281690140845,0.3693820224719101,0.35372714486638535,120.0,131.5,251.5,355,356,711,0.523943661971831,0.49719101123595505,0.510548523206751
Premier League,BHA,0.45695364238410596,0.375,0.4158415841584158,69.0,57.0,126.0,151,152,303,0.36423841059602646,0.48026315789473684,0.42244224422442245
Premier League,BIR,0.3804347826086957,0.2789473684210526,0.32887700534759357,35.0,26.5,61.5,92,95,187,0.43478260869565216,0.6105263157894737,0.5240641711229946
Premier League,BLBN,0.3484848484848485,0.34662576687116564,0.3475609756097561,57.5,56.5,114.0,165,163,328,0.5151515151515151,0.5398773006134969,0.5274390243902439
Premier League,BLPL,0.5,0.3684210526315789,0.43243243243243246,9.0,7.0,16.0,18,19,37,0.3888888888888889,0.5263157894736842,0.4594594594594595
Premier League,BOLN,0.36363636363636365,0.3151515151515151,0.3393939393939394,60.0,52.0,112.0,165,165,330,0.48484848484848486,0.5818181818181818,0.5333333333333333
Premier League,BOU,0.3973509933774834,0.32781456953642385,0.36258278145695366,60.0,49.5,109.5,151,151,302,0.4768211920529801,0.5761589403973509,0.5264900662251656
Premier League,BRNT,0.3618421052631579,0.3355263157894737,0.34868421052631576,27.5,25.5,53.0,76,76,152,0.5,0.5526315789473685,0.5263157894736842
Premier League,BUR,0.38596491228070173,0.31871345029239767,0.35233918128654973,66.0,54.5,120.5,171,171,342,0.49122807017543857,0.5555555555555556,0.5233918128654971
Premier League,CARD,0.40789473684210525,0.2631578947368421,0.3355263157894737,15.5,10.0,25.5,38,38,76,0.5,0.6578947368421053,0.5789473684210527
Premier League,CHA,0.35714285714285715,0.3194444444444444,0.3380281690140845,25.0,23.0,48.0,70,72,142,0.5285714285714286,0.5416666666666666,0.5352112676056338
Premier League,CHE,0.23309178743961353,0.33985330073349634,0.2861482381530984,96.5,139.0,235.5,414,409,823,0.6497584541062802,0.5501222493887531,0.6002430133657352
Premier League,CRY,0.3355263157894737,0.375,0.35526315789473684,76.5,85.5,162.0,228,228,456,0.5394736842105263,0.4956140350877193,0.5175438596491229
Premier League,DER,0.38235294117647056,0.14705882352941177,0.2647058823529412,13.0,5.0,18.0,34,34,68,0.5,0.7941176470588235,0.6470588235294118
Premier League,EVE,0.3569682151589242,0.38170731707317074,0.3693528693528694,146.0,156.5,302.5,409,410,819,0.5158924205378973,0.4609756097560976,0.4884004884004884
Premier League,FUL,0.3394648829431438,0.31166666666666665,0.32554257095158595,101.5,93.5,195.0,299,300,599,0.5518394648829431,0.5366666666666666,0.5442404006677797
Premier League,HUD,0.3157894736842105,0.2236842105263158,0.26973684210526316,12.0,8.5,20.5,38,38,76,0.5789473684210527,0.6578947368421053,0.618421052631579
Premier League,HUL,0.37894736842105264,0.25263157894736843,0.3157894736842105,36.0,24.0,60.0,95,95,190,0.49473684210526314,0.6210526315789474,0.5578947368421052
Premier League,IPS,0.2727272727272727,0.3142857142857143,0.29411764705882354,9.0,11.0,20.0,33,35,68,0.6363636363636364,0.5428571428571428,0.5882352941176471
Premier League,LEE,0.37777777777777777,0.3146067415730337,0.3463687150837989,34.0,28.0,62.0,90,89,179,0.4777777777777778,0.6067415730337079,0.5418994413407822
Premier League,LEIC,0.35365853658536583,0.3480392156862745,0.3508557457212714,72.5,71.0,143.5,205,204,409,0.5365853658536586,0.5294117647058824,0.5330073349633252
Premier League,LIVP,0.22639225181598063,0.3443627450980392,0.2850182704019488,93.5,140.5,234.0,413,408,821,0.6513317191283293,0.5367647058823529,0.5943970767356882
Premier League,LUT,0.3684210526315789,0.21052631578947367,0.2894736842105263,7.0,4.0,11.0,19,19,38,0.5263157894736842,0.6842105263157895,0.6052631578947368
Premier League,MANC,0.2135678391959799,0.3178391959798995,0.2657035175879397,85.0,126.5,211.5,398,398,796,0.7160804020100503,0.5778894472361809,0.6469849246231156
Premier League,MANU,0.24213075060532688,0.316747572815534,0.2793939393939394,100.0,130.5,230.5,413,412,825,0.6731234866828087,0.5631067961165048,0.6181818181818182
Premier League,MID,0.421875,0.29133858267716534,0.3568627450980392,54.0,37.0,91.0,128,127,255,0.421875,0.5826771653543307,0.5019607843137255
Premier League,NEW,0.34718498659517427,0.34864864864864864,0.34791386271870794,129.5,129.0,258.5,373,370,743,0.5281501340482574,0.5378378378378378,0.5329744279946165
Premier League,NOR,0.32456140350877194,0.23684210526315788,0.2807017543859649,37.0,27.0,64.0,114,114,228,0.543859649122807,0.6578947368421053,0.6008771929824561
Premier League,NOTF,0.40350877192982454,0.25892857142857145,0.33185840707964603,23.0,14.5,37.5,57,56,113,0.45614035087719296,0.6428571428571429,0.5486725663716814
Premier League,POR,0.35106382978723405,0.32105263157894737,0.335978835978836,33.0,30.5,63.5,94,95,189,0.5106382978723404,0.5684210526315789,0.5396825396825397
Premier League,QPR,0.4375,0.19298245614035087,0.3141592920353982,24.5,11.0,35.5,56,57,113,0.4107142857142857,0.7368421052631579,0.5752212389380531
Premier League,REA,0.3684210526315789,0.23684210526315788,0.3026315789473684,21.0,13.5,34.5,57,57,114,0.5263157894736842,0.6666666666666666,0.5964912280701754
Premier League,SHU,0.34459459459459457,0.21710526315789475,0.28,25.5,16.5,42.0,74,76,150,0.5675675675675675,0.6842105263157895,0.6266666666666667
Premier League,SOU,0.37786259541984735,0.34555984555984554,0.3618042226487524,99.0,89.5,188.5,262,259,521,0.48091603053435117,0.5328185328185329,0.5067178502879078
Premier League,STO,0.4,0.32887700534759357,0.3647214854111406,76.0,61.5,137.5,190,187,377,0.45789473684210524,0.5294117647058824,0.493368700265252
Premier League,SUN,0.39705882352941174,0.29012345679012347,0.34303534303534305,94.5,70.5,165.0,238,243,481,0.46638655462184875,0.5925925925925926,0.5301455301455301
