league,season,upset_frequency,total_predictions,total_upsets,draw_predictions,accuracy
Serie A,2000,0.3210702341137124,299,96.0,86,0.5351170568561873
Serie A,2001,0.3093220338983051,236,73.0,64,0.5550847457627118
Serie A,2002,0.31186440677966104,295,92.0,86,0.5423728813559322
Serie A,2005,0.32113821138211385,369,118.5,107,0.5338753387533876
Serie A,2006,0.3324468085106383,376,125.0,112,0.5186170212765957
Serie A,2007,0.3245382585751979,379,123.0,112,0.5277044854881267
Serie A,2008,0.3187830687830688,378,120.5,93,0.5582010582010583
Serie A,2009,0.3151595744680851,376,118.5,101,0.550531914893617
Serie A,2010,0.3516042780748663,374,131.5,95,0.5213903743315508
Serie A,2011,0.3448275862068966,377,130.0,110,0.5092838196286472
Serie A,2012,0.3245382585751979,379,123.0,96,0.5488126649076517
Serie A,2013,0.3103448275862069,377,117.0,90,0.5702917771883289
Serie A,2014,0.3696808510638298,376,139.0,118,0.4734042553191489
Serie A,2015,0.341688654353562,379,129.5,95,0.5329815303430079
Serie A,2016,0.2789473684210526,380,106.0,80,0.6157894736842106
Serie A,2017,0.2917771883289125,377,110.0,82,0.5994694960212201
Serie A,2018,0.3063660477453581,377,115.5,107,0.5517241379310345
Serie A,2019,0.31973684210526315,380,121.5,85,0.5684210526315789
Serie A,2020,0.30158730158730157,378,114.0,96,0.5714285714285714
Serie A,2021,0.34564643799472294,379,131.0,98,0.525065963060686
Serie A,2022,0.35,380,133.0,100,0.5184210526315789
Serie A,2023,0.30526315789473685,380,116.0,112,0.5473684210526316
Serie A,2024,0.33157894736842103,380,126.0,108,0.5263157894736842
