league,season,total_matches,total_upsets_seed_1,upset_frequency_seed_1,total_upsets_seed_2,upset_frequency_seed_2,total_upsets_seed_3,upset_frequency_seed_3,total_upsets_seed_4,upset_frequency_seed_4,total_upsets_seed_5,upset_frequency_seed_5,total_upsets_seed_6,upset_frequency_seed_6,total_upsets_seed_7,upset_frequency_seed_7,total_upsets_seed_8,upset_frequency_seed_8,total_upsets_seed_9,upset_frequency_seed_9,total_upsets_seed_10,upset_frequency_seed_10,total_upsets_avg,upset_frequency_avg
Bundesliga,2004,306,118.5,0.3872549019607843,114.5,0.3741830065359477,114.5,0.3741830065359477,113.5,0.3709150326797386,118.5,0.3872549019607843,113.5,0.3709150326797386,106.5,0.3480392156862745,122.5,0.40032679738562094,131.5,0.4297385620915033,112.5,0.36764705882352944,116.6,0.38104575163398696
Bundesliga,2005,306,118.0,0.38562091503267976,128.0,0.41830065359477125,119.0,0.3888888888888889,107.0,0.34967320261437906,125.0,0.4084967320261438,120.0,0.39215686274509803,115.0,0.3758169934640523,119.0,0.3888888888888889,125.0,0.4084967320261438,124.0,0.40522875816993464,120.0,0.39215686274509803
Bundesliga,2006,306,121.5,0.39705882352941174,131.5,0.4297385620915033,132.5,0.43300653594771243,131.5,0.4297385620915033,122.5,0.40032679738562094,120.5,0.3937908496732026,124.5,0.4068627450980392,121.5,0.39705882352941174,112.5,0.36764705882352944,122.5,0.40032679738562094,124.1,0.40555555555555556
Bundesliga,2007,306,114.0,0.37254901960784315,116.0,0.3790849673202614,135.0,0.4411764705882353,112.0,0.3660130718954248,122.0,0.39869281045751637,123.0,0.4019607843137255,125.0,0.4084967320261438,118.0,0.38562091503267976,124.0,0.40522875816993464,113.0,0.369281045751634,120.2,0.3928104575163399
Bundesliga,2008,306,107.0,0.34967320261437906,123.0,0.4019607843137255,123.0,0.4019607843137255,116.0,0.3790849673202614,129.0,0.4215686274509804,115.0,0.3758169934640523,124.0,0.40522875816993464,116.0,0.3790849673202614,124.0,0.40522875816993464,115.0,0.3758169934640523,119.2,0.3895424836601307
Bundesliga,2009,306,129.0,0.4215686274509804,112.0,0.3660130718954248,117.0,0.38235294117647056,122.0,0.39869281045751637,131.0,0.42810457516339867,143.0,0.4673202614379085,136.0,0.4444444444444444,134.0,0.43790849673202614,120.0,0.39215686274509803,131.0,0.42810457516339867,127.5,0.41666666666666663
Bundesliga,2010,306,140.5,0.4591503267973856,100.5,0.3284313725490196,126.5,0.4133986928104575,115.5,0.37745098039215685,111.5,0.36437908496732024,117.5,0.3839869281045752,119.5,0.39052287581699346,132.5,0.43300653594771243,119.5,0.39052287581699346,117.5,0.3839869281045752,120.1,0.39248366013071895
Bundesliga,2011,306,132.5,0.43300653594771243,120.5,0.3937908496732026,140.5,0.4591503267973856,120.5,0.3937908496732026,110.5,0.3611111111111111,115.5,0.37745098039215685,119.5,0.39052287581699346,113.5,0.3709150326797386,126.5,0.4133986928104575,119.5,0.39052287581699346,121.9,0.3983660130718954
Bundesliga,2012,306,122.0,0.39869281045751637,118.0,0.38562091503267976,110.0,0.35947712418300654,123.0,0.4019607843137255,126.0,0.4117647058823529,110.0,0.35947712418300654,129.0,0.4215686274509804,115.0,0.3758169934640523,125.0,0.4084967320261438,118.0,0.38562091503267976,119.6,0.3908496732026144
Bundesliga,2013,306,116.0,0.3790849673202614,125.0,0.4084967320261438,130.0,0.42483660130718953,115.0,0.3758169934640523,139.0,0.4542483660130719,118.0,0.38562091503267976,129.0,0.4215686274509804,127.0,0.4150326797385621,131.0,0.42810457516339867,123.0,0.4019607843137255,125.3,0.4094771241830065
Bundesliga,2014,306,119.0,0.3888888888888889,120.0,0.39215686274509803,125.0,0.4084967320261438,113.0,0.369281045751634,111.0,0.3627450980392157,116.0,0.3790849673202614,127.0,0.4150326797385621,111.0,0.3627450980392157,108.0,0.35294117647058826,102.0,0.3333333333333333,115.2,0.3764705882352941
Bundesliga,2015,306,144.5,0.4722222222222222,128.5,0.4199346405228758,119.5,0.39052287581699346,119.5,0.39052287581699346,121.5,0.39705882352941174,104.5,0.3415032679738562,116.5,0.380718954248366,121.5,0.39705882352941174,126.5,0.4133986928104575,136.5,0.44607843137254904,123.9,0.40490196078431373
Bundesliga,2016,306,124.0,0.40522875816993464,111.0,0.3627450980392157,123.0,0.4019607843137255,126.0,0.4117647058823529,119.0,0.3888888888888889,119.0,0.3888888888888889,121.0,0.3954248366013072,107.0,0.34967320261437906,132.0,0.43137254901960786,131.0,0.42810457516339867,121.3,0.3964052287581699
Bundesliga,2017,306,114.5,0.3741830065359477,112.5,0.36764705882352944,125.5,0.41013071895424835,113.5,0.3709150326797386,123.5,0.4035947712418301,120.5,0.3937908496732026,114.5,0.3741830065359477,124.5,0.4068627450980392,129.5,0.42320261437908496,125.5,0.41013071895424835,120.4,0.3934640522875817
Bundesliga,2018,306,119.5,0.39052287581699346,105.5,0.34477124183006536,126.5,0.4133986928104575,124.5,0.4068627450980392,114.5,0.3741830065359477,111.5,0.36437908496732024,129.5,0.42320261437908496,114.5,0.3741830065359477,132.5,0.43300653594771243,120.5,0.3937908496732026,119.9,0.3918300653594771
