league,season,total_matches,total_upsets,upset_frequency,accuracy
Bundesliga,2004,306,114.5,0.3741830065359477,0.3627450980392157
Bundesliga,2005,306,119.0,0.3888888888888889,0.35947712418300654
Bundesliga,2006,306,132.5,0.43300653594771243,0.3431372549019608
Bundesliga,2007,306,135.0,0.4411764705882353,0.3202614379084967
Bundesliga,2008,306,123.0,0.4019607843137255,0.37254901960784315
Bundesliga,2009,306,117.0,0.38235294117647056,0.33986928104575165
Bundesliga,2010,306,126.5,0.4133986928104575,0.37254901960784315
Bundesliga,2011,306,140.5,0.4591503267973856,0.3235294117647059
Bundesliga,2012,306,110.0,0.35947712418300654,0.369281045751634
Bundesliga,2013,306,130.0,0.42483660130718953,0.35294117647058826
Bundesliga,2014,306,125.0,0.4084967320261438,0.39869281045751637
Bundesliga,2015,306,119.5,0.39052287581699346,0.3888888888888889
Bundesliga,2016,306,123.0,0.4019607843137255,0.37254901960784315
Bundesliga,2017,306,125.5,0.41013071895424835,0.34967320261437906
Bundesliga,2018,306,126.5,0.4133986928104575,0.35294117647058826
Bundesliga,2019,306,127.0,0.4150326797385621,0.3006535947712418
Bundesliga,2020,306,111.5,0.36437908496732024,0.37254901960784315
Bundesliga,2021,306,108.5,0.3545751633986928,0.40522875816993464
Bundesliga,2022,306,117.5,0.3839869281045752,0.34967320261437906
Bundesliga,2023,306,120.5,0.3937908496732026,0.35947712418300654
Bundesliga,2024,306,129.0,0.4215686274509804,0.30718954248366015
La Liga,2000,380,134.5,0.3539473684210526,0.36578947368421055
La Liga,2001,380,144.5,0.38026315789473686,0.3894736842105263
La Liga,2002,380,160.5,0.42236842105263156,0.35
La Liga,2003,380,148.5,0.3907894736842105,0.35789473684210527
La Liga,2005,380,152.5,0.40131578947368424,0.3368421052631579
La Liga,2007,380,155.5,0.40921052631578947,0.3447368421052632
La Liga,2008,380,143.5,0.37763157894736843,0.37105263157894736
La Liga,2009,380,144.5,0.38026315789473686,0.4105263157894737
La Liga,2010,380,158.5,0.41710526315789476,0.3631578947368421
La Liga,2011,380,143.0,0.3763157894736842,0.3868421052631579
La Liga,2012,380,140.0,0.3684210526315789,0.3868421052631579
La Liga,2013,380,145.0,0.3815789473684211,0.37105263157894736
La Liga,2014,380,146.5,0.38552631578947366,0.35789473684210527
