league,season,total_matches,total_upsets,upset_frequency
bundesliga,2004,206,76,0.36893203883495146
bundesliga,2005,204,73,0.35784313725490197
bundesliga,2006,210,61,0.2904761904761905
bundesliga,2007,200,70,0.35
bundesliga,2008,186,70,0.3763440860215054
bundesliga,2009,197,72,0.36548223350253806
bundesliga,2010,197,75,0.38071065989847713
bundesliga,2011,203,76,0.37438423645320196
bundesliga,2012,203,84,0.41379310344827586
bundesliga,2013,193,74,0.38341968911917096
bundesliga,2014,195,76,0.38974358974358975
bundesliga,2015,203,81,0.39901477832512317
bundesliga,2016,211,84,0.3981042654028436
bundesliga,2017,193,76,0.39378238341968913
bundesliga,2018,205,75,0.36585365853658536
bundesliga,2019,213,88,0.4131455399061033
bundesliga,2020,195,72,0.36923076923076925
bundesliga,2021,201,81,0.40298507462686567
bundesliga,2022,178,67,0.37640449438202245
bundesliga,2023,205,80,0.3902439024390244
bundesliga,2024,210,78,0.37142857142857144
premier_league,2001,256,99,0.38671875
premier_league,2002,239,88,0.3682008368200837
premier_league,2005,249,92,0.36947791164658633
premier_league,2006,240,89,0.37083333333333335
premier_league,2007,244,97,0.3975409836065574
premier_league,2008,251,94,0.3745019920318725
premier_league,2009,255,102,0.4
premier_league,2010,254,96,0.3779527559055118
premier_league,2011,242,96,0.39669421487603307
premier_league,2012,246,102,0.4146341463414634
premier_league,2013,239,90,0.37656903765690375
premier_league,2014,247,95,0.38461538461538464
premier_league,2015,248,103,0.4153225806451613
premier_league,2016,247,107,0.4331983805668016
premier_league,2017,251,92,0.3665338645418327
premier_league,2018,257,89,0.3463035019455253
premier_league,2019,241,101,0.4190871369294606
premier_league,2020,269,109,0.4052044609665427
premier_league,2021,243,95,0.39094650205761317
premier_league,2022,236,79,0.3347457627118644
premier_league,2023,237,111,0.46835443037974683
premier_league,2024,265,108,0.4075471698113208
la_liga,2000,253,93,0.3675889328063241
la_liga,2001,256,93,0.36328125
la_liga,2002,239,96,0.401673640167364
la_liga,2003,249,106,0.42570281124497994
la_liga,2005,240,92,0.38333333333333336
la_liga,2007,244,86,0.3524590163934426
la_liga,2008,251,107,0.4262948207171315
la_liga,2009,255,92,0.3607843137254902
la_liga,2010,254,94,0.3700787401574803
la_liga,2011,242,90,0.371900826446281
la_liga,2012,246,82,0.3333333333333333
la_liga,2013,239,86,0.3598326359832636
la_liga,2014,247,96,0.38866396761133604
la_liga,2015,248,100,0.4032258064516129
la_liga,2016,247,95,0.38461538461538464
la_liga,2017,251,111,0.44223107569721115
la_liga,2018,257,86,0.3346303501945525
la_liga,2019,241,82,0.34024896265560167
la_liga,2020,269,107,0.39776951672862454
la_liga,2021,243,101,0.4156378600823045
la_liga,2022,236,91,0.3855932203389831
la_liga,2023,237,96,0.4050632911392405
la_liga,2024,265,107,0.4037735849056604
serie_a,2000,207,83,0.40096618357487923
serie_a,2001,201,78,0.3880597014925373
serie_a,2002,193,73,0.37823834196891193
serie_a,2005,249,101,0.40562248995983935
serie_a,2006,240,93,0.3875
serie_a,2007,244,104,0.4262295081967213
serie_a,2008,251,98,0.3904382470119522
serie_a,2009,255,104,0.40784313725490196
serie_a,2010,254,109,0.42913385826771655
serie_a,2011,242,93,0.384297520661157
serie_a,2012,246,92,0.37398373983739835
serie_a,2013,239,104,0.4351464435146444
serie_a,2014,247,98,0.3967611336032389
serie_a,2015,248,101,0.40725806451612906
serie_a,2016,247,96,0.38866396761133604
serie_a,2017,251,97,0.38645418326693226
serie_a,2018,257,97,0.377431906614786
serie_a,2019,241,86,0.35684647302904565
serie_a,2020,269,109,0.4052044609665427
serie_a,2021,243,99,0.4074074074074074
serie_a,2022,236,96,0.4067796610169492
serie_a,2023,237,82,0.3459915611814346
serie_a,2024,265,109,0.41132075471698115
