league,season,total_matches,total_upsets_seed_1,upset_frequency_seed_1,total_upsets_seed_2,upset_frequency_seed_2,total_upsets_seed_3,upset_frequency_seed_3,total_upsets_seed_4,upset_frequency_seed_4,total_upsets_seed_5,upset_frequency_seed_5,total_upsets_seed_6,upset_frequency_seed_6,total_upsets_seed_7,upset_frequency_seed_7,total_upsets_seed_8,upset_frequency_seed_8,total_upsets_seed_9,upset_frequency_seed_9,total_upsets_seed_10,upset_frequency_seed_10,total_upsets_avg,upset_frequency_avg
bundesliga,2004,306,110.5,0.3611111111111111,137.5,0.4493464052287582,138.0,0.45098039215686275,126.0,0.4117647058823529,123.5,0.4035947712418301,123.5,0.4035947712418301,118.5,0.3872549019607843,124.0,0.40522875816993464,131.0,0.42810457516339867,131.0,0.42810457516339867,126.35,0.4129084967320261
bundesliga,2005,306,124.0,0.40522875816993464,123.0,0.4019607843137255,126.5,0.4133986928104575,123.5,0.4035947712418301,119.5,0.39052287581699346,134.5,0.4395424836601307,130.5,0.4264705882352941,127.5,0.4166666666666667,125.5,0.41013071895424835,116.0,0.3790849673202614,125.05,0.40866013071895424
bundesliga,2006,306,118.0,0.38562091503267976,117.5,0.3839869281045752,125.5,0.41013071895424835,120.5,0.3937908496732026,120.0,0.39215686274509803,141.0,0.46078431372549017,133.0,0.434640522875817,125.5,0.41013071895424835,131.5,0.4297385620915033,135.0,0.4411764705882353,126.75,0.41421568627450983
bundesliga,2007,306,136.5,0.44607843137254904,134.5,0.4395424836601307,136.0,0.4444444444444444,128.0,0.41830065359477125,139.0,0.4542483660130719,123.5,0.4035947712418301,132.0,0.43137254901960786,133.5,0.4362745098039216,130.5,0.4264705882352941,134.0,0.43790849673202614,132.75,0.43382352941176466
bundesliga,2008,306,130.5,0.4264705882352941,126.5,0.4133986928104575,134.5,0.4395424836601307,118.5,0.3872549019607843,130.5,0.4264705882352941,129.0,0.4215686274509804,121.0,0.3954248366013072,118.0,0.38562091503267976,125.0,0.4084967320261438,131.0,0.42810457516339867,126.45,0.41323529411764703
bundesliga,2009,306,123.5,0.4035947712418301,118.0,0.38562091503267976,131.0,0.42810457516339867,125.0,0.4084967320261438,124.0,0.40522875816993464,132.5,0.43300653594771243,136.5,0.44607843137254904,124.5,0.4068627450980392,132.5,0.43300653594771243,128.5,0.4199346405228758,127.6,0.4169934640522876
bundesliga,2010,306,131.0,0.42810457516339867,135.0,0.4411764705882353,128.0,0.41830065359477125,126.5,0.4133986928104575,128.0,0.41830065359477125,140.5,0.4591503267973856,135.5,0.44281045751633985,122.5,0.40032679738562094,134.0,0.43790849673202614,132.0,0.43137254901960786,131.3,0.4290849673202615
bundesliga,2011,306,126.0,0.4117647058823529,135.0,0.4411764705882353,130.0,0.42483660130718953,129.5,0.42320261437908496,138.0,0.45098039215686275,130.5,0.4264705882352941,123.0,0.4019607843137255,131.0,0.42810457516339867,124.5,0.4068627450980392,132.5,0.43300653594771243,130.0,0.42483660130718953
bundesliga,2012,306,131.0,0.42810457516339867,128.5,0.4199346405228758,141.5,0.4624183006535948,133.5,0.4362745098039216,128.5,0.4199346405228758,120.5,0.3937908496732026,132.5,0.43300653594771243,126.0,0.4117647058823529,119.5,0.39052287581699346,121.0,0.3954248366013072,128.25,0.41911764705882354
bundesliga,2013,306,129.0,0.4215686274509804,123.5,0.4035947712418301,132.5,0.43300653594771243,135.0,0.4411764705882353,130.0,0.42483660130718953,127.5,0.4166666666666667,126.5,0.4133986928104575,131.0,0.42810457516339867,129.5,0.42320261437908496,131.5,0.4297385620915033,129.6,0.4235294117647058
bundesliga,2014,306,130.0,0.42483660130718953,126.0,0.4117647058823529,127.0,0.4150326797385621,124.5,0.4068627450980392,129.5,0.42320261437908496,133.0,0.434640522875817,121.0,0.3954248366013072,118.0,0.38562091503267976,136.0,0.4444444444444444,125.5,0.41013071895424835,127.05,0.4151960784313726
bundesliga,2015,306,126.0,0.4117647058823529,125.0,0.4084967320261438,137.0,0.4477124183006536,131.5,0.4297385620915033,139.5,0.45588235294117646,129.5,0.42320261437908496,142.0,0.46405228758169936,123.5,0.4035947712418301,123.0,0.4019607843137255,131.0,0.42810457516339867,130.8,0.42745098039215684
bundesliga,2016,306,126.0,0.4117647058823529,127.5,0.4166666666666667,124.5,0.4068627450980392,118.5,0.3872549019607843,127.5,0.4166666666666667,119.5,0.39052287581699346,123.0,0.4019607843137255,134.5,0.4395424836601307,129.0,0.4215686274509804,137.0,0.4477124183006536,126.7,0.4140522875816993
bundesliga,2017,306,138.0,0.45098039215686275,132.5,0.43300653594771243,117.0,0.38235294117647056,133.0,0.434640522875817,138.0,0.45098039215686275,130.5,0.4264705882352941,115.5,0.37745098039215685,125.5,0.41013071895424835,132.0,0.43137254901960786,127.0,0.4150326797385621,128.9,0.4212418300653595
bundesliga,2018,306,125.5,0.41013071895424835,134.5,0.4395424836601307,131.0,0.42810457516339867,132.5,0.43300653594771243,141.0,0.46078431372549017,132.5,0.43300653594771243,121.0,0.3954248366013072,130.5,0.4264705882352941,121.5,0.39705882352941174,128.5,0.4199346405228758,129.85,0.42434640522875816
bundesliga,2019,306,138.0,0.45098039215686275,123.0,0.4019607843137255,119.5,0.39052287581699346,132.0,0.43137254901960786,141.5,0.4624183006535948,139.5,0.45588235294117646,134.5,0.4395424836601307,125.0,0.4084967320261438,124.5,0.4068627450980392,117.0,0.38235294117647056,129.45,0.4230392156862745
bundesliga,2020,306,123.5,0.4035947712418301,127.5,0.4166666666666667,133.5,0.4362745098039216,123.0,0.4019607843137255,115.0,0.3758169934640523,137.5,0.4493464052287582,131.0,0.42810457516339867,130.5,0.4264705882352941,124.0,0.40522875816993464,132.0,0.43137254901960786,127.75,0.4174836601307189
bundesliga,2021,306,125.5,0.41013071895424835,128.0,0.41830065359477125,118.0,0.38562091503267976,119.0,0.3888888888888889,131.5,0.4297385620915033,142.0,0.46405228758169936,119.5,0.39052287581699346,136.0,0.4444444444444444,130.0,0.42483660130718953,129.0,0.4215686274509804,127.85,0.4178104575163399
bundesliga,2022,306,123.5,0.4035947712418301,131.0,0.42810457516339867,125.5,0.41013071895424835,122.5,0.40032679738562094,129.5,0.42320261437908496,122.0,0.39869281045751637,117.5,0.3839869281045752,127.0,0.4150326797385621,124.0,0.40522875816993464,121.0,0.3954248366013072,124.35,0.40637254901960784
bundesliga,2023,306,129.5,0.42320261437908496,133.0,0.434640522875817,134.5,0.4395424836601307,126.5,0.4133986928104575,138.0,0.45098039215686275,137.5,0.4493464052287582,127.0,0.4150326797385621,131.5,0.4297385620915033,129.5,0.42320261437908496,138.5,0.4526143790849673,132.55,0.43316993464052284
bundesliga,2024,306,119.5,0.39052287581699346,128.5,0.4199346405228758,133.0,0.434640522875817,127.0,0.4150326797385621,131.0,0.42810457516339867,126.0,0.4117647058823529,118.0,0.38562091503267976,128.0,0.41830065359477125,128.0,0.41830065359477125,125.5,0.41013071895424835,126.45,0.41323529411764703
la_liga,2000,380,160.5,0.42236842105263156,177.5,0.46710526315789475,170.5,0.4486842105263158,170.0,0.4473684210526316,156.5,0.4118421052631579,155.5,0.40921052631578947,168.5,0.44342105263157894,151.0,0.3973684210526316,164.5,0.4328947368421053,156.5,0.4118421052631579,163.1,0.4292105263157895
la_liga,2001,380,176.5,0.4644736842105263,166.5,0.4381578947368421,161.5,0.425,158.5,0.41710526315789476,166.5,0.4381578947368421,161.0,0.4236842105263158,163.5,0.43026315789473685,156.0,0.4105263157894737,165.0,0.4342105263157895,164.0,0.43157894736842106,163.9,0.4313157894736842
la_liga,2002,380,174.0,0.45789473684210524,153.5,0.4039473684210526,170.0,0.4473684210526316,163.5,0.43026315789473685,146.5,0.38552631578947366,164.5,0.4328947368421053,161.0,0.4236842105263158,156.0,0.4105263157894737,169.0,0.44473684210526315,153.5,0.4039473684210526,161.15,0.42407894736842106
la_liga,2003,380,167.0,0.4394736842105263,156.5,0.4118421052631579,156.5,0.4118421052631579,164.5,0.4328947368421053,165.0,0.4342105263157895,161.5,0.425,156.5,0.4118421052631579,154.0,0.4052631578947368,154.0,0.4052631578947368,162.5,0.4276315789473684,159.8,0.4205263157894737
la_liga,2005,380,161.5,0.425,170.5,0.4486842105263158,155.0,0.40789473684210525,152.0,0.4,159.0,0.41842105263157897,161.5,0.425,164.0,0.43157894736842106,154.0,0.4052631578947368,171.5,0.4513157894736842,159.0,0.41842105263157897,160.8,0.42315789473684207
la_liga,2007,380,164.5,0.4328947368421053,172.0,0.45263157894736844,153.0,0.4026315789473684,165.0,0.4342105263157895,153.0,0.4026315789473684,160.5,0.42236842105263156,167.5,0.4407894736842105,157.5,0.4144736842105263,152.5,0.40131578947368424,153.5,0.4039473684210526,159.9,0.4207894736842105
