league,season,total_matches,total_upsets,upset_frequency
bundesliga,2004,198,80,0.40404040404040403
bundesliga,2005,210,75,0.35714285714285715
bundesliga,2006,206,78,0.3786407766990291
bundesliga,2007,210,62,0.29523809523809524
bundesliga,2008,199,80,0.4020100502512563
bundesliga,2009,198,77,0.3888888888888889
bundesliga,2010,209,81,0.3875598086124402
bundesliga,2011,201,85,0.4228855721393035
bundesliga,2012,202,77,0.3811881188118812
bundesliga,2013,213,85,0.39906103286384975
bundesliga,2014,215,72,0.33488372093023255
bundesliga,2015,211,70,0.33175355450236965
bundesliga,2016,189,78,0.4126984126984127
bundesliga,2017,207,79,0.38164251207729466
bundesliga,2018,202,78,0.38613861386138615
bundesliga,2019,212,76,0.3584905660377358
bundesliga,2020,195,73,0.37435897435897436
bundesliga,2021,203,83,0.4088669950738916
bundesliga,2022,216,93,0.4305555555555556
bundesliga,2023,197,71,0.3604060913705584
bundesliga,2024,211,89,0.4218009478672986
premier_league,2001,254,104,0.4094488188976378
premier_league,2002,255,88,0.34509803921568627
premier_league,2005,251,96,0.38247011952191234
premier_league,2006,247,89,0.3603238866396761
premier_league,2007,240,96,0.4
premier_league,2008,244,102,0.4180327868852459
premier_league,2009,270,103,0.3814814814814815
premier_league,2010,254,104,0.4094488188976378
premier_league,2011,246,101,0.4105691056910569
premier_league,2012,251,96,0.38247011952191234
premier_league,2013,264,120,0.45454545454545453
premier_league,2014,233,86,0.36909871244635195
premier_league,2015,266,106,0.39849624060150374
premier_league,2016,266,103,0.38721804511278196
premier_league,2017,259,107,0.41312741312741313
premier_league,2018,246,109,0.44308943089430897
premier_league,2019,248,92,0.3709677419354839
premier_league,2020,263,104,0.39543726235741444
premier_league,2021,246,86,0.34959349593495936
premier_league,2022,257,98,0.38132295719844356
premier_league,2023,255,104,0.40784313725490196
premier_league,2024,257,99,0.3852140077821012
la_liga,2000,245,100,0.40816326530612246
la_liga,2001,254,101,0.39763779527559057
la_liga,2002,255,100,0.39215686274509803
la_liga,2003,251,103,0.4103585657370518
la_liga,2005,247,91,0.3684210526315789
la_liga,2007,240,97,0.4041666666666667
la_liga,2008,244,84,0.3442622950819672
la_liga,2009,270,107,0.3962962962962963
la_liga,2010,254,107,0.421259842519685
la_liga,2011,246,89,0.3617886178861789
la_liga,2012,251,90,0.35856573705179284
la_liga,2013,264,105,0.3977272727272727
la_liga,2014,233,88,0.3776824034334764
la_liga,2015,266,104,0.39097744360902253
la_liga,2016,266,108,0.40601503759398494
la_liga,2017,259,104,0.4015444015444015
la_liga,2018,246,91,0.3699186991869919
la_liga,2019,248,105,0.42338709677419356
la_liga,2020,263,104,0.39543726235741444
la_liga,2021,246,103,0.4186991869918699
la_liga,2022,257,111,0.43190661478599224
la_liga,2023,255,99,0.38823529411764707
la_liga,2024,257,115,0.4474708171206226
serie_a,2000,206,81,0.3932038834951456
serie_a,2001,199,75,0.3768844221105528
serie_a,2002,204,83,0.4068627450980392
serie_a,2005,251,102,0.4063745019920319
serie_a,2006,247,102,0.41295546558704455
serie_a,2007,240,95,0.3958333333333333
serie_a,2008,244,97,0.3975409836065574
serie_a,2009,270,112,0.4148148148148148
serie_a,2010,254,104,0.4094488188976378
serie_a,2011,246,97,0.3943089430894309
serie_a,2012,251,94,0.3745019920318725
serie_a,2013,264,102,0.38636363636363635
serie_a,2014,233,95,0.40772532188841204
serie_a,2015,266,114,0.42857142857142855
serie_a,2016,266,92,0.3458646616541353
serie_a,2017,259,91,0.35135135135135137
serie_a,2018,246,101,0.4105691056910569
serie_a,2019,248,100,0.4032258064516129
serie_a,2020,263,93,0.35361216730038025
serie_a,2021,246,91,0.3699186991869919
serie_a,2022,257,92,0.35797665369649806
serie_a,2023,255,96,0.3764705882352941
serie_a,2024,257,86,0.3346303501945525
