league,season,total_matches,total_upsets_seed_1,upset_frequency_seed_1,total_upsets_avg,upset_frequency_avg
Bundesliga,2004,306,0.0,0.0,0.0,0.0
Bundesliga,2005,306,0.0,0.0,0.0,0.0
Bundesliga,2006,306,0.0,0.0,0.0,0.0
Bundesliga,2007,306,0.0,0.0,0.0,0.0
Bundesliga,2008,306,0.0,0.0,0.0,0.0
Bundesliga,2009,306,0.0,0.0,0.0,0.0
Bundesliga,2010,306,0.0,0.0,0.0,0.0
Bundesliga,2011,306,0.0,0.0,0.0,0.0
Bundesliga,2012,306,0.0,0.0,0.0,0.0
Bundesliga,2013,306,0.0,0.0,0.0,0.0
Bundesliga,2014,306,0.0,0.0,0.0,0.0
Bundesliga,2015,306,0.0,0.0,0.0,0.0
Bundesliga,2016,306,0.0,0.0,0.0,0.0
Bundesliga,2017,306,0.0,0.0,0.0,0.0
Bundesliga,2018,306,0.0,0.0,0.0,0.0
Bundesliga,2019,306,0.0,0.0,0.0,0.0
Bundesliga,2020,306,0.0,0.0,0.0,0.0
Bundesliga,2021,306,0.0,0.0,0.0,0.0
Bundesliga,2022,306,0.0,0.0,0.0,0.0
Bundesliga,2023,306,0.0,0.0,0.0,0.0
Bundesliga,2024,306,0.0,0.0,0.0,0.0
La Liga,2000,380,0.0,0.0,0.0,0.0
La Liga,2001,380,0.0,0.0,0.0,0.0
La Liga,2002,380,0.0,0.0,0.0,0.0
La Liga,2003,380,0.0,0.0,0.0,0.0
La Liga,2005,380,0.0,0.0,0.0,0.0
La Liga,2007,380,0.0,0.0,0.0,0.0
La Liga,2008,380,0.0,0.0,0.0,0.0
La Liga,2009,380,0.0,0.0,0.0,0.0
La Liga,2010,380,0.0,0.0,0.0,0.0
La Liga,2011,380,0.0,0.0,0.0,0.0
La Liga,2012,380,0.0,0.0,0.0,0.0
La Liga,2013,380,0.0,0.0,0.0,0.0
La Liga,2014,380,0.0,0.0,0.0,0.0
La Liga,2015,380,0.0,0.0,0.0,0.0
La Liga,2016,380,0.0,0.0,0.0,0.0
La Liga,2017,380,0.0,0.0,0.0,0.0
La Liga,2018,380,0.0,0.0,0.0,0.0
La Liga,2019,380,0.0,0.0,0.0,0.0
La Liga,2020,380,0.0,0.0,0.0,0.0
La Liga,2021,380,0.0,0.0,0.0,0.0
La Liga,2022,380,0.0,0.0,0.0,0.0
La Liga,2023,380,0.0,0.0,0.0,0.0
La Liga,2024,380,0.0,0.0,0.0,0.0
Premier League,2001,380,0.0,0.0,0.0,0.0
Premier League,2002,380,0.0,0.0,0.0,0.0
Premier League,2005,380,0.0,0.0,0.0,0.0
Premier League,2006,380,0.0,0.0,0.0,0.0
Premier League,2007,380,0.0,0.0,0.0,0.0
Premier League,2008,380,0.0,0.0,0.0,0.0
Premier League,2009,380,0.0,0.0,0.0,0.0
Premier League,2010,380,0.0,0.0,0.0,0.0
Premier League,2011,380,0.0,0.0,0.0,0.0
Premier League,2012,380,0.0,0.0,0.0,0.0
Premier League,2013,380,0.0,0.0,0.0,0.0
Premier League,2014,380,0.0,0.0,0.0,0.0
Premier League,2015,380,0.0,0.0,0.0,0.0
Premier League,2016,380,0.0,0.0,0.0,0.0
Premier League,2017,380,0.0,0.0,0.0,0.0
Premier League,2018,380,0.0,0.0,0.0,0.0
Premier League,2019,380,0.0,0.0,0.0,0.0
Premier League,2020,380,0.0,0.0,0.0,0.0
Premier League,2021,380,0.0,0.0,0.0,0.0
Premier League,2022,380,0.0,0.0,0.0,0.0
Premier League,2023,380,0.0,0.0,0.0,0.0
Premier League,2024,380,0.0,0.0,0.0,0.0
Serie A,2000,306,0.0,0.0,0.0,0.0
Serie A,2001,306,0.0,0.0,0.0,0.0
Serie A,2002,306,0.0,0.0,0.0,0.0
Serie A,2005,380,0.0,0.0,0.0,0.0
Serie A,2006,380,0.0,0.0,0.0,0.0
Serie A,2007,380,0.0,0.0,0.0,0.0
Serie A,2008,380,0.0,0.0,0.0,0.0
Serie A,2009,380,0.0,0.0,0.0,0.0
Serie A,2010,380,0.0,0.0,0.0,0.0
Serie A,2011,380,0.0,0.0,0.0,0.0
Serie A,2012,380,0.0,0.0,0.0,0.0
Serie A,2013,380,0.0,0.0,0.0,0.0
Serie A,2014,380,0.0,0.0,0.0,0.0
Serie A,2015,380,0.0,0.0,0.0,0.0
Serie A,2016,380,0.0,0.0,0.0,0.0
Serie A,2017,380,0.0,0.0,0.0,0.0
Serie A,2018,380,0.0,0.0,0.0,0.0
Serie A,2019,380,0.0,0.0,0.0,0.0
Serie A,2020,380,0.0,0.0,0.0,0.0
Serie A,2021,380,0.0,0.0,0.0,0.0
Serie A,2022,380,0.0,0.0,0.0,0.0
Serie A,2023,380,0.0,0.0,0.0,0.0
Serie A,2024,380,0.0,0.0,0.0,0.0
