league,season,upset_frequency,total_predictions,total_upsets,draw_predictions,accuracy
Premier League,2001,0.3381578947368421,380,128.5,101,0.5289473684210526
Premier League,2002,0.34210526315789475,380,130.0,90,0.5394736842105263
Premier League,2005,0.29605263157894735,380,112.5,77,0.6026315789473684
Premier League,2006,0.35526315789473684,380,135.0,98,0.5157894736842106
Premier League,2007,0.29736842105263156,380,113.0,100,0.5710526315789474
Premier League,2008,0.3171052631578947,380,120.5,97,0.5552631578947368
Premier League,2009,0.3078947368421053,380,117.0,96,0.5657894736842105
Premier League,2010,0.3907894736842105,380,148.5,111,0.4631578947368421
Premier League,2011,0.34342105263157896,380,130.5,93,0.5342105263157895
Premier League,2012,0.3368421052631579,380,128.0,108,0.5210526315789473
Premier League,2013,0.30526315789473685,380,116.0,78,0.5921052631578947
Premier League,2014,0.3592105263157895,380,136.5,93,0.5184210526315789
Premier League,2015,0.3539473684210526,380,134.5,107,0.5052631578947369
Premier League,2016,0.3,380,114.0,84,0.5894736842105263
Premier League,2017,0.31973684210526315,380,121.5,99,0.55
Premier League,2018,0.2986842105263158,380,113.5,71,0.6078947368421053
Premier League,2019,0.32105263157894737,380,122.0,92,0.5578947368421052
Premier League,2020,0.34342105263157896,380,130.5,83,0.5473684210526316
Premier League,2021,0.3157894736842105,380,120.0,88,0.5684210526315789
Premier League,2022,0.3223684210526316,380,122.5,87,0.5631578947368421
Premier League,2023,0.3236842105263158,380,123.0,82,0.5684210526315789
Premier League,2024,0.31973684210526315,380,121.5,93,0.5578947368421052
