league,season,upset_frequency,total_predictions,total_upsets,draw_predictions,accuracy
Serie A,2000,0.3333333333333333,306,102.0,88,0.5228758169934641
Serie A,2001,0.33169934640522875,306,101.5,87,0.5261437908496732
Serie A,2002,0.369281045751634,306,113.0,92,0.4803921568627451
Serie A,2005,0.3263157894736842,380,124.0,108,0.531578947368421
Serie A,2006,0.3368421052631579,380,128.0,114,0.5131578947368421
Serie A,2007,0.37105263157894736,380,141.0,112,0.48157894736842105
Serie A,2008,0.3592105263157895,380,136.5,95,0.5157894736842106
Serie A,2009,0.3736842105263158,380,142.0,102,0.4921052631578947
Serie A,2010,0.3618421052631579,380,137.5,97,0.5105263157894737
Serie A,2011,0.34868421052631576,380,132.5,111,0.5052631578947369
Serie A,2012,0.3473684210526316,380,132.0,96,0.5263157894736842
Serie A,2013,0.3078947368421053,380,117.0,90,0.5736842105263158
Serie A,2014,0.3526315789473684,380,134.0,120,0.48947368421052634
Serie A,2015,0.32763157894736844,380,124.5,95,0.5473684210526316
Serie A,2016,0.3105263157894737,380,118.0,80,0.5842105263157895
Serie A,2017,0.29605263157894735,380,112.5,83,0.5947368421052631
Serie A,2018,0.3131578947368421,380,119.0,108,0.5447368421052632
Serie A,2019,0.3092105263157895,380,117.5,85,0.5789473684210527
Serie A,2020,0.29078947368421054,380,110.5,97,0.5815789473684211
Serie A,2021,0.3105263157894737,380,118.0,98,0.5605263157894737
Serie A,2022,0.32894736842105265,380,125.0,100,0.5394736842105263
Serie A,2023,0.29473684210526313,380,112.0,112,0.5578947368421052
Serie A,2024,0.3026315789473684,380,115.0,108,0.5552631578947368
