,league,team,upset_frequency_home,upset_frequency_away,upset_frequency_overall,total_upsets_home,total_upsets_away,total_upsets,total_predictions_home,total_predictions_away,total_predictions,accuracy_home,accuracy_away,accuracy_overall,draw_predictions_home,draw_predictions_away,draw_predictions
0,Premier League,FUL,0.0,0.0,0.0,0.0,0.0,0.0,304,304,608,1.0,1.0,1.0,0,0,0
1,Premier League,WIG,0.0,0.0,0.0,0.0,0.0,0.0,152,152,304,1.0,1.0,1.0,0,0,0
2,Premier League,BHA,0.0,0.0,0.0,0.0,0.0,0.0,152,152,304,1.0,1.0,1.0,0,0,0
3,Premier League,NEW,0.0,0.0,0.0,0.0,0.0,0.0,380,380,760,1.0,1.0,1.0,0,0,0
4,Premier League,NOR,0.0,0.0,0.0,0.0,0.0,0.0,114,114,228,1.0,1.0,1.0,0,0,0
5,Premier League,WBA,0.0,0.0,0.0,0.0,0.0,0.0,228,228,456,1.0,1.0,1.0,0,0,0
6,Premier League,QPR,0.0,0.0,0.0,0.0,0.0,0.0,57,57,114,1.0,1.0,1.0,0,0,0
7,Premier League,MANU,0.0,0.0,0.0,0.0,0.0,0.0,418,418,836,1.0,1.0,1.0,0,0,0
8,Premier League,ARS,0.0,0.0,0.0,0.0,0.0,0.0,418,418,836,1.0,1.0,1.0,0,0,0
9,Premier League,WHU,0.0,0.0,0.0,0.0,0.0,0.0,399,399,798,1.0,1.0,1.0,0,0,0
10,Premier League,HUL,0.0,0.0,0.0,0.0,0.0,0.0,95,95,190,1.0,1.0,1.0,0,0,0
11,Premier League,BIR,0.0,0.0,0.0,0.0,0.0,0.0,95,95,190,1.0,1.0,1.0,0,0,0
12,Premier League,SWA,0.0,0.0,0.0,0.0,0.0,0.0,133,133,266,1.0,1.0,1.0,0,0,0
13,Premier League,STO,0.0,0.0,0.0,0.0,0.0,0.0,190,190,380,1.0,1.0,1.0,0,0,0
14,Premier League,BLPL,0.0,0.0,0.0,0.0,0.0,0.0,19,19,38,1.0,1.0,1.0,0,0,0
15,Premier League,HUD,0.0,0.0,0.0,0.0,0.0,0.0,38,38,76,1.0,1.0,1.0,0,0,0
16,Premier League,SUN,0.0,0.0,0.0,0.0,0.0,0.0,247,247,494,1.0,1.0,1.0,0,0,0
17,Premier League,MANC,0.0,0.0,0.0,0.0,0.0,0.0,399,399,798,1.0,1.0,1.0,0,0,0
18,Premier League,LEIC,0.0,0.0,0.0,0.0,0.0,0.0,209,209,418,1.0,1.0,1.0,0,0,0
19,Premier League,CRY,0.0,0.0,0.0,0.0,0.0,0.0,228,228,456,1.0,1.0,1.0,0,0,0
20,Premier League,BOU,0.0,0.0,0.0,0.0,0.0,0.0,152,152,304,1.0,1.0,1.0,0,0,0
21,Premier League,BRNT,0.0,0.0,0.0,0.0,0.0,0.0,76,76,152,1.0,1.0,1.0,0,0,0
22,Premier League,BLBN,0.0,0.0,0.0,0.0,0.0,0.0,171,171,342,1.0,1.0,1.0,0,0,0
