league,season,n_teams,spearman_r,spearman_p
MLB,1980,26,0.6634,0.0002
MLB,1981,26,0.4263,0.0299
MLB,1982,26,0.3734,0.0602
MLB,1983,26,0.3922,0.0475
MLB,1984,26,0.2238,0.2716
MLB,1985,26,0.645,0.0004
MLB,1986,26,0.2096,0.3041
MLB,1987,26,0.3753,0.0589
MLB,1988,26,0.4492,0.0213
MLB,1989,26,0.4447,0.0228
MLB,1990,26,0.4144,0.0353
MLB,1991,26,0.1871,0.3601
MLB,1992,26,0.5283,0.0055
MLB,1993,28,0.71,0.0
MLB,1994,28,0.3762,0.0485
MLB,1995,28,0.179,0.3621
MLB,1996,28,0.5261,0.004
MLB,1997,28,0.4935,0.0076
MLB,1998,30,0.4656,0.0095
MLB,1999,30,0.6641,0.0001
MLB,2000,30,0.4846,0.0067
MLB,2001,30,0.3782,0.0393
MLB,2002,30,0.7213,0.0
MLB,2003,30,0.6511,0.0001
MLB,2004,30,0.6196,0.0003
MLB,2005,30,0.2906,0.1192
MLB,2006,30,0.1902,0.3142
MLB,2007,30,0.4794,0.0074
MLB,2008,30,0.4471,0.0133
MLB,2009,30,0.6209,0.0003
MLB,2010,30,0.4002,0.0284
MLB,2011,30,0.6561,0.0001
MLB,2012,30,0.3439,0.0628
MLB,2013,30,0.6531,0.0001
MLB,2014,30,0.3087,0.0969
MLB,2015,30,0.6251,0.0002
MLB,2016,30,0.633,0.0002
MLB,2017,30,0.6766,0.0
MLB,2018,30,0.605,0.0004
MLB,2019,30,0.5941,0.0005
MLB,2020,30,0.5152,0.0036
MLB,2021,30,0.5228,0.003
MLB,2022,30,0.5998,0.0005
MLB,2023,30,0.4032,0.0271
MLB,2024,30,0.4094,0.0247
NBA,1949,17,0.734,0.0008
NBA,1950,11,0.843,0.0011
NBA,1951,10,0.644,0.0445
NBA,1952,10,0.75,0.0125
NBA,1953,9,0.7373,0.0234
NBA,1954,8,0.4546,0.2578
NBA,1955,8,0.0781,0.8542
NBA,1956,8,-0.2822,0.4983
NBA,1957,8,0.482,0.2265
NBA,1958,8,0.7451,0.0339
NBA,1959,8,0.8735,0.0046
NBA,1960,8,0.7186,0.0446
NBA,1961,9,0.928,0.0003
NBA,1962,9,0.8487,0.0038
NBA,1963,9,0.8018,0.0094
NBA,1964,9,0.8565,0.0032
NBA,1965,9,0.7782,0.0135
NBA,1966,10,0.6116,0.0602
NBA,1967,12,0.7236,0.0078
