league,season,n_teams,spearman_r,spearman_p
MLB,1980,26,0.0424,0.8371
MLB,1981,26,0.3004,0.1359
MLB,1982,26,0.2058,0.3131
MLB,1983,26,-0.1736,0.3964
MLB,1984,26,0.0554,0.7883
MLB,1985,26,0.1728,0.3986
MLB,1986,26,-0.2924,0.1472
MLB,1987,26,0.0228,0.9119
MLB,1988,26,0.1409,0.4924
MLB,1989,26,-0.2474,0.2231
MLB,1990,26,0.0285,0.8899
MLB,1991,26,-0.1991,0.3294
MLB,1992,26,0.1946,0.3407
MLB,1993,28,-0.1485,0.4509
MLB,1994,28,0.0313,0.8743
MLB,1995,28,0.1457,0.4596
MLB,1996,28,-0.4386,0.0195
MLB,1997,28,0.001,0.9961
MLB,1998,30,0.0141,0.941
MLB,1999,30,0.1456,0.4427
MLB,2000,30,0.0487,0.7982
MLB,2001,30,0.028,0.8831
MLB,2002,30,-0.1756,0.3534
MLB,2003,30,-0.1195,0.5295
MLB,2004,30,-0.1983,0.2935
MLB,2005,30,-0.3528,0.0558
MLB,2006,30,0.1661,0.3805
MLB,2007,30,0.1186,0.5326
MLB,2008,30,0.0149,0.9377
MLB,2009,30,0.4499,0.0126
MLB,2010,30,-0.1441,0.4474
MLB,2011,30,-0.2091,0.2675
MLB,2012,30,0.6117,0.0003
MLB,2013,30,-0.1902,0.314
MLB,2014,30,-0.2535,0.1764
MLB,2015,30,0.2271,0.2275
MLB,2016,30,0.1817,0.3366
MLB,2017,30,-0.2805,0.1333
MLB,2018,30,0.0713,0.7081
MLB,2019,30,-0.0135,0.9437
MLB,2020,30,0.0518,0.7858
MLB,2021,30,-0.0893,0.6388
MLB,2022,30,0.1722,0.3627
MLB,2023,30,0.1904,0.3136
MLB,2024,30,0.2238,0.2344
NBA,1949,17,0.2534,0.3264
NBA,1950,11,0.1876,0.5806
NBA,1951,10,-0.1415,0.6965
NBA,1952,10,-0.192,0.5952
NBA,1953,9,-0.0464,0.9056
NBA,1954,8,0.7091,0.0489
NBA,1955,8,0.0061,0.9886
NBA,1956,8,0.0788,0.8529
NBA,1957,8,0.439,0.2765
NBA,1958,8,0.75,0.0321
NBA,1959,8,0.5309,0.1758
NBA,1960,8,0.488,0.2199
NBA,1961,9,0.4012,0.2845
NBA,1962,9,0.4085,0.275
NBA,1963,9,-0.0515,0.8953
NBA,1964,9,-0.2966,0.4383
NBA,1965,9,0.1064,0.7853
NBA,1966,10,-0.0311,0.9321
NBA,1967,12,-0.0631,0.8456
NBA,1968,14,-0.0251,0.9322
NBA,1969,14,0.2867,0.3203
NBA,1970,17,-0.0237,0.9281
NBA,1971,17,-0.4477,0.0715
NBA,1972,17,-0.0718,0.7843
NBA,1973,17,0.3611,0.1544
NBA,1974,18,-0.3604,0.1418
NBA,1975,18,-0.1586,0.5297
NBA,1976,22,0.0333,0.8829
NBA,1977,22,-0.0508,0.8225
NBA,1978,22,-0.0661,0.77
NBA,1979,22,0.0286,0.8995
NBA,1980,23,0.281,0.1939
NBA,1981,23,-0.0735,0.7388
NBA,1982,23,-0.1528,0.4864
NBA,1983,23,-0.096,0.6629
NBA,1984,23,0.2154,0.3235
NBA,1985,23,-0.0053,0.9809
NBA,1986,23,0.1958,0.3705
NBA,1987,23,0.3181,0.1391
NBA,1988,25,-0.1458,0.4867
NBA,1989,27,0.0417,0.8364
NBA,1990,27,-0.4185,0.0298
NBA,1991,27,-0.3365,0.0861
NBA,1992,27,0.1305,0.5165
NBA,1993,27,-0.0658,0.7444
NBA,1994,27,0.0872,0.6656
NBA,1995,29,-0.2956,0.1195
NBA,1996,29,-0.2064,0.2827
NBA,1997,29,-0.1272,0.5107
NBA,1998,29,-0.0956,0.6217
NBA,1999,29,0.2822,0.1381
NBA,2000,29,0.0324,0.8677
NBA,2001,29,-0.3035,0.1095
NBA,2002,29,-0.1943,0.3125
NBA,2003,29,-0.3031,0.11
NBA,2004,30,-0.1024,0.5901
NBA,2005,30,0.0375,0.8439
NBA,2006,30,-0.1583,0.4035
NBA,2007,30,0.2678,0.1525
NBA,2008,30,0.0438,0.8182
NBA,2009,30,0.0087,0.9638
NBA,2010,30,-0.1159,0.5418
NBA,2011,30,0.1176,0.5359
NBA,2012,30,-0.3533,0.0555
NBA,2013,30,-0.116,0.5414
NBA,2014,30,-0.0795,0.6764
NBA,2015,30,0.0979,0.6068
NBA,2016,30,-0.2343,0.2126
NBA,2017,30,0.5589,0.0013
NBA,2018,30,0.2123,0.26
NBA,2019,30,-0.0784,0.6804
NBA,2020,30,0.0176,0.9263
NBA,2021,30,-0.5117,0.0039
NBA,2022,30,0.1782,0.3461
NBA,2023,30,0.0067,0.9721
NBA,2024,30,-0.0895,0.6382
NFL,1966,24,0.0131,0.9517
NFL,1967,25,-0.1359,0.5171
NFL,1968,26,-0.201,0.3248
NFL,1969,26,0.2677,0.1861
NFL,1970,26,0.144,0.4829
NFL,1971,26,0.2952,0.1431
NFL,1972,26,-0.1879,0.358
NFL,1973,26,-0.2856,0.1573
NFL,1974,26,0.2225,0.2746
NFL,1975,26,0.0247,0.9048
NFL,1976,28,0.1619,0.4104
NFL,1977,28,0.0416,0.8334
NFL,1978,28,-0.1757,0.3712
NFL,1979,28,-0.1341,0.4963
NFL,1980,28,0.1276,0.5174
NFL,1981,28,-0.3091,0.1095
NFL,1982,28,0.1232,0.5321
NFL,1983,28,0.0902,0.6479
NFL,1984,28,0.0569,0.7735
NFL,1985,28,0.3793,0.0465
NFL,1986,28,0.2898,0.1347
NFL,1987,28,-0.0299,0.8801
NFL,1988,28,0.1548,0.4315
NFL,1989,28,0.0655,0.7407
NFL,1990,28,0.419,0.0265
NFL,1991,28,0.1139,0.5637
NFL,1992,28,0.1618,0.4108
NFL,1993,28,-0.0601,0.7614
NFL,1994,28,-0.3084,0.1104
NFL,1995,30,0.0981,0.6061
NFL,1996,30,-0.0594,0.7554
NFL,1997,30,-0.1666,0.3788
NFL,1998,30,0.4301,0.0177
NFL,1999,31,0.025,0.8937
NFL,2000,31,-0.0466,0.8033
NFL,2001,31,-0.0284,0.8794
NFL,2002,32,0.0966,0.599
NFL,2003,32,0.0915,0.6183
NFL,2004,32,0.1635,0.3714
NFL,2005,32,-0.1537,0.4011
NFL,2006,32,-0.1713,0.3486
NFL,2007,32,0.0598,0.7449
NFL,2008,32,0.0172,0.9253
NFL,2009,32,0.0953,0.6041
NFL,2010,32,0.1095,0.5508
NFL,2011,32,-0.062,0.736
NFL,2012,32,0.099,0.5898
NFL,2013,32,-0.1207,0.5106
NFL,2014,32,0.3068,0.0877
NFL,2015,32,0.061,0.7403
NFL,2016,32,-0.0279,0.8796
NFL,2017,32,-0.2983,0.0973
NFL,2018,32,0.0885,0.6301
NFL,2019,32,0.017,0.9265
NFL,2020,32,0.3074,0.087
NFL,2021,32,-0.2476,0.1718
NFL,2022,32,-0.0531,0.7729
NFL,2023,32,-0.1993,0.2743
NFL,2024,32,0.2647,0.1432
