league,season,team,first_half_win_pct,second_half_win_pct,n_first,n_second
MLB,1980,ATL,0.225,0.2099,80,81
MLB,1980,BAL,0.4568,0.4568,81,81
MLB,1980,BOS,0.3125,0.375,80,80
MLB,1980,CAL,0.05,0.0375,80,80
MLB,1980,CHA,0.1111,0.1235,81,81
MLB,1980,CHN,0.0,0.0,81,81
MLB,1980,CIN,0.3086,0.3293,81,82
MLB,1980,CLE,0.175,0.25,80,80
MLB,1980,DET,0.2593,0.3537,81,82
MLB,1980,HOU,0.4691,0.5244,81,82
MLB,1980,KCA,0.4321,0.4198,81,81
MLB,1980,LAN,0.4568,0.4268,81,82
MLB,1980,MIL,0.4198,0.358,81,81
MLB,1980,MIN,0.2125,0.1852,80,81
MLB,1980,MON,0.3951,0.3333,81,81
MLB,1980,NYA,0.4568,0.5432,81,81
MLB,1980,NYN,0.0741,0.037,81,81
MLB,1980,OAK,0.2716,0.284,81,81
MLB,1980,PHI,0.4815,0.3704,81,81
MLB,1980,PIT,0.3086,0.2469,81,81
MLB,1980,SDN,0.0617,0.0854,81,82
MLB,1980,SEA,0.0,0.0,81,82
MLB,1980,SFN,0.1375,0.1975,80,81
MLB,1980,SLN,0.1111,0.1852,81,81
MLB,1980,TEX,0.1605,0.1463,81,82
MLB,1980,TOR,0.0617,0.0864,81,81
MLB,1981,ATL,0.1698,0.1111,53,54
MLB,1981,BAL,0.4231,0.4528,52,53
MLB,1981,BOS,0.3148,0.2778,54,54
MLB,1981,CAL,0.1455,0.0545,55,55
MLB,1981,CHA,0.1887,0.2453,53,53
MLB,1981,CHN,0.0,0.0,53,53
MLB,1981,CIN,0.5185,0.4815,54,54
MLB,1981,CLE,0.1569,0.25,51,52
MLB,1981,DET,0.3148,0.3273,54,55
MLB,1981,HOU,0.3273,0.2727,55,55
MLB,1981,KCA,0.1176,0.25,51,52
MLB,1981,LAN,0.4,0.3818,55,55
MLB,1981,MIL,0.4074,0.4364,54,55
MLB,1981,MIN,0.0,0.0545,55,55
MLB,1981,MON,0.3704,0.3704,54,54
MLB,1981,NYA,0.3774,0.3333,53,54
MLB,1981,NYN,0.1346,0.0377,52,53
MLB,1981,OAK,0.5,0.5273,54,55
MLB,1981,PHI,0.3019,0.2037,53,54
MLB,1981,PIT,0.1176,0.2115,51,52
MLB,1981,SDN,0.0,0.0545,55,55
MLB,1981,SEA,0.0364,0.0545,55,55
MLB,1981,SFN,0.2182,0.2321,55,56
MLB,1981,SLN,0.549,0.4231,51,52
MLB,1981,TEX,0.3654,0.2453,52,53
MLB,1981,TOR,0.0,0.0,53,53
MLB,1982,ATL,0.4691,0.4568,81,81
MLB,1982,BAL,0.3951,0.5244,81,82
MLB,1982,BOS,0.3333,0.358,81,81
MLB,1982,CAL,0.4321,0.4198,81,81
MLB,1982,CHA,0.2963,0.321,81,81
MLB,1982,CHN,0.0741,0.1111,81,81
MLB,1982,CIN,0.0,0.0,81,81
MLB,1982,CLE,0.1358,0.1605,81,81
MLB,1982,DET,0.2469,0.284,81,81
MLB,1982,HOU,0.1358,0.1235,81,81
MLB,1982,KCA,0.4444,0.3333,81,81
MLB,1982,LAN,0.358,0.3827,81,81
MLB,1982,MIL,0.4568,0.5488,81,82
MLB,1982,MIN,0.0,0.0,81,81
MLB,1982,MON,0.321,0.2346,81,81
MLB,1982,NYA,0.1728,0.284,81,81
MLB,1982,NYN,0.037,0.037,81,81
MLB,1982,OAK,0.0741,0.0864,81,81
MLB,1982,PHI,0.4198,0.3951,81,81
MLB,1982,PIT,0.2716,0.1728,81,81
MLB,1982,SDN,0.1605,0.2099,81,81
MLB,1982,SEA,0.1358,0.1111,81,81
MLB,1982,SFN,0.3333,0.2963,81,81
MLB,1982,SLN,0.4938,0.5062,81,81
MLB,1982,TEX,0.0247,0.0494,81,81
MLB,1982,TOR,0.1852,0.1975,81,81
MLB,1983,ATL,0.4691,0.3333,81,81
MLB,1983,BAL,0.4938,0.4321,81,81
MLB,1983,BOS,0.284,0.1728,81,81
MLB,1983,CAL,0.1111,0.1111,81,81
MLB,1983,CHA,0.5309,0.4691,81,81
MLB,1983,CHN,0.037,0.0741,81,81
MLB,1983,CIN,0.0741,0.0741,81,81
MLB,1983,CLE,0.0617,0.0864,81,81
MLB,1983,DET,0.4815,0.358,81,81
MLB,1983,HOU,0.3333,0.3704,81,81
MLB,1983,KCA,0.2593,0.3049,81,82
MLB,1983,LAN,0.5432,0.439,81,82
MLB,1983,MIL,0.284,0.321,81,81
MLB,1983,MIN,0.0494,0.037,81,81
MLB,1983,MON,0.2469,0.3049,81,82
MLB,1983,NYA,0.3704,0.3951,81,81
MLB,1983,NYN,0.0,0.0,81,81
MLB,1983,OAK,0.1358,0.1605,81,81
MLB,1983,PHI,0.4321,0.5,81,82
MLB,1983,PIT,0.3333,0.3333,81,81
MLB,1983,SDN,0.2593,0.1829,81,82
MLB,1983,SEA,0.0,0.0,81,81
MLB,1983,SFN,0.1975,0.1358,81,81
MLB,1983,SLN,0.1605,0.1358,81,81
MLB,1983,TEX,0.2099,0.1829,81,82
MLB,1983,TOR,0.3704,0.321,81,81
MLB,1984,ATL,0.2469,0.2346,81,81
MLB,1984,BAL,0.2963,0.3704,81,81
MLB,1984,BOS,0.4198,0.3333,81,81
MLB,1984,CAL,0.2469,0.2963,81,81
MLB,1984,CHA,0.1235,0.1111,81,81
MLB,1984,CHN,0.4625,0.5309,80,81
MLB,1984,CIN,0.0494,0.0617,81,81
MLB,1984,CLE,0.1852,0.1098,81,82
MLB,1984,DET,0.5062,0.5062,81,81
MLB,1984,HOU,0.3086,0.284,81,81
MLB,1984,KCA,0.2963,0.3333,81,81
MLB,1984,LAN,0.1852,0.1852,81,81
MLB,1984,MIL,0.0,0.0,80,81
MLB,1984,MIN,0.2346,0.2346,81,81
MLB,1984,MON,0.1125,0.1481,80,81
MLB,1984,NYA,0.358,0.4815,81,81
MLB,1984,NYN,0.5185,0.2963,81,81
MLB,1984,OAK,0.1728,0.2099,81,81
MLB,1984,PHI,0.3457,0.2469,81,81
MLB,1984,PIT,0.0494,0.0988,81,81
MLB,1984,SDN,0.5432,0.3827,81,81
MLB,1984,SEA,0.0741,0.0864,81,81
MLB,1984,SFN,0.0,0.0,81,81
MLB,1984,SLN,0.321,0.3827,81,81
MLB,1984,TEX,0.0375,0.0247,80,81
MLB,1984,TOR,0.5185,0.4024,81,82
MLB,1985,ATL,0.0741,0.1111,81,81
MLB,1985,BAL,0.2875,0.2593,80,81
MLB,1985,BOS,0.1975,0.2439,81,82
MLB,1985,CAL,0.4444,0.3086,81,81
MLB,1985,CHA,0.3086,0.378,81,82
MLB,1985,CHN,0.2099,0.1605,81,81
MLB,1985,CIN,0.358,0.3827,81,81
MLB,1985,CLE,0.0,0.0,81,81
MLB,1985,DET,0.2375,0.3827,80,81
MLB,1985,HOU,0.2346,0.2099,81,81
MLB,1985,KCA,0.4198,0.4444,81,81
MLB,1985,LAN,0.3951,0.4568,81,81
MLB,1985,MIL,0.075,0.0741,80,81
MLB,1985,MIN,0.1481,0.1605,81,81
MLB,1985,MON,0.3625,0.2716,80,81
MLB,1985,NYA,0.4625,0.4444,80,81
MLB,1985,NYN,0.3951,0.4938,81,81
MLB,1985,OAK,0.1852,0.1728,81,81
MLB,1985,PHI,0.0988,0.1605,81,81
MLB,1985,PIT,0.0,0.0,80,81
MLB,1985,SDN,0.2346,0.321,81,81
MLB,1985,SEA,0.1481,0.0741,81,81
MLB,1985,SFN,0.0247,0.0494,81,81
MLB,1985,SLN,0.5062,0.4938,81,81
MLB,1985,TEX,0.0375,0.037,80,81
MLB,1985,TOR,0.4875,0.5062,80,81
MLB,1986,ATL,0.075,0.0741,80,81
MLB,1986,BAL,0.0864,0.1358,81,81
MLB,1986,BOS,0.525,0.4815,80,81
MLB,1986,CAL,0.4444,0.4938,81,81
MLB,1986,CHA,0.0741,0.0741,81,81
MLB,1986,CHN,0.0375,0.075,80,80
MLB,1986,CIN,0.2963,0.4444,81,81
MLB,1986,CLE,0.2963,0.2317,81,82
MLB,1986,DET,0.358,0.4074,81,81
MLB,1986,HOU,0.4568,0.4691,81,81
MLB,1986,KCA,0.2099,0.1975,81,81
MLB,1986,LAN,0.1852,0.0741,81,81
MLB,1986,MIL,0.2375,0.2222,80,81
MLB,1986,MIN,0.037,0.037,81,81
MLB,1986,MON,0.175,0.2593,80,81
MLB,1986,NYA,0.4198,0.4198,81,81
MLB,1986,NYN,0.5309,0.4691,81,81
MLB,1986,OAK,0.1481,0.1975,81,81
MLB,1986,PHI,0.425,0.3827,80,81
MLB,1986,PIT,0.0,0.0,81,81
MLB,1986,SDN,0.2346,0.1358,81,81
MLB,1986,SEA,0.0,0.0,81,81
MLB,1986,SFN,0.321,0.3086,81,81
MLB,1986,SLN,0.2875,0.2716,80,81
MLB,1986,TEX,0.358,0.3333,81,81
MLB,1986,TOR,0.2963,0.3171,81,82
MLB,1987,ATL,0.0375,0.0741,80,81
MLB,1987,BAL,0.0494,0.037,81,81
MLB,1987,BOS,0.2222,0.2346,81,81
MLB,1987,CAL,0.0741,0.0741,81,81
MLB,1987,CHA,0.1358,0.1605,81,81
MLB,1987,CHN,0.1375,0.1481,80,81
MLB,1987,CIN,0.3457,0.321,81,81
MLB,1987,CLE,0.0,0.0,81,81
MLB,1987,DET,0.4691,0.5309,81,81
MLB,1987,HOU,0.1605,0.1728,81,81
MLB,1987,KCA,0.284,0.3333,81,81
MLB,1987,LAN,0.1111,0.1111,81,81
MLB,1987,MIL,0.3827,0.4568,81,81
MLB,1987,MIN,0.3704,0.3333,81,81
MLB,1987,MON,0.4198,0.358,81,81
MLB,1987,NYA,0.3827,0.3827,81,81
MLB,1987,NYN,0.3951,0.4938,81,81
MLB,1987,OAK,0.321,0.2222,81,81
MLB,1987,PHI,0.2099,0.1975,81,81
MLB,1987,PIT,0.2593,0.2593,81,81
MLB,1987,SDN,0.0,0.0,81,81
MLB,1987,SEA,0.1852,0.1975,81,81
MLB,1987,SFN,0.3704,0.4074,81,81
MLB,1987,SLN,0.4938,0.5062,81,81
MLB,1987,TEX,0.0988,0.1235,81,81
MLB,1987,TOR,0.4321,0.4815,81,81
MLB,1988,ATL,0.0,0.0,80,80
MLB,1988,BAL,0.0,0.0,80,81
MLB,1988,BOS,0.4074,0.4444,81,81
MLB,1988,CAL,0.1481,0.1605,81,81
MLB,1988,CHA,0.1375,0.0988,80,81
MLB,1988,CHN,0.1111,0.1829,81,82
MLB,1988,CIN,0.4,0.4198,80,81
MLB,1988,CLE,0.2099,0.1728,81,81
MLB,1988,DET,0.4321,0.3333,81,81
MLB,1988,HOU,0.2222,0.1852,81,81
MLB,1988,KCA,0.2375,0.2222,80,81
MLB,1988,LAN,0.5185,0.4074,81,81
MLB,1988,MIL,0.321,0.2963,81,81
MLB,1988,MIN,0.4691,0.4568,81,81
MLB,1988,MON,0.2222,0.1829,81,82
MLB,1988,NYA,0.25,0.2716,80,81
MLB,1988,NYN,0.5,0.5,80,80
MLB,1988,OAK,0.4691,0.5309,81,81
MLB,1988,PHI,0.0247,0.0494,81,81
MLB,1988,PIT,0.4125,0.3375,80,80
MLB,1988,SDN,0.3125,0.321,80,81
MLB,1988,SEA,0.0375,0.037,80,81
MLB,1988,SFN,0.2469,0.2716,81,81
MLB,1988,SLN,0.0864,0.0988,81,81
MLB,1988,TEX,0.1125,0.037,80,81
MLB,1988,TOR,0.3333,0.3704,81,81
MLB,1989,ATL,0.0,0.0,80,81
MLB,1989,BAL,0.358,0.3333,81,81
MLB,1989,BOS,0.321,0.2963,81,81
MLB,1989,CAL,0.4444,0.3951,81,81
MLB,1989,CHA,0.0375,0.037,80,81
MLB,1989,CHN,0.4938,0.5062,81,81
MLB,1989,CIN,0.1111,0.1481,81,81
MLB,1989,CLE,0.0617,0.0864,81,81
MLB,1989,DET,0.0,0.0,81,81
MLB,1989,HOU,0.3086,0.3333,81,81
MLB,1989,KCA,0.4321,0.4938,81,81
MLB,1989,LAN,0.225,0.15,80,80
MLB,1989,MIL,0.2716,0.1975,81,81
MLB,1989,MIN,0.1852,0.1975,81,81
MLB,1989,MON,0.1728,0.2716,81,81
MLB,1989,NYA,0.15,0.1481,80,81
MLB,1989,NYN,0.2963,0.4444,81,81
MLB,1989,OAK,0.4815,0.5185,81,81
MLB,1989,PHI,0.0741,0.0,81,82
MLB,1989,PIT,0.122,0.061,82,82
MLB,1989,SDN,0.3704,0.4444,81,81
MLB,1989,SEA,0.1111,0.1111,81,81
MLB,1989,SFN,0.4444,0.4815,81,81
MLB,1989,SLN,0.3415,0.2317,82,82
MLB,1989,TEX,0.2963,0.2593,81,81
MLB,1989,TOR,0.3951,0.3827,81,81
MLB,1990,ATL,0.0,0.0,81,81
MLB,1990,BAL,0.1125,0.1852,80,81
MLB,1990,BOS,0.4691,0.3827,81,81
MLB,1990,CAL,0.321,0.3086,81,81
MLB,1990,CHA,0.5432,0.358,81,81
MLB,1990,CHN,0.1481,0.1852,81,81
MLB,1990,CIN,0.358,0.4938,81,81
MLB,1990,CLE,0.2099,0.2469,81,81
MLB,1990,DET,0.2593,0.2716,81,81
MLB,1990,HOU,0.0617,0.1235,81,81
MLB,1990,KCA,0.1375,0.0864,80,81
MLB,1990,LAN,0.4198,0.321,81,81
MLB,1990,MIL,0.0617,0.0864,81,81
MLB,1990,MIN,0.0247,0.0494,81,81
MLB,1990,MON,0.3086,0.321,81,81
MLB,1990,NYA,0.0,0.0,81,81
MLB,1990,NYN,0.4444,0.4444,81,81
MLB,1990,OAK,0.4321,0.5679,81,81
MLB,1990,PHI,0.2593,0.1852,81,81
MLB,1990,PIT,0.4074,0.5926,81,81
MLB,1990,SDN,0.1605,0.1358,81,81
MLB,1990,SEA,0.2222,0.1605,81,81
MLB,1990,SFN,0.3086,0.2469,81,81
MLB,1990,SLN,0.037,0.037,81,81
MLB,1990,TEX,0.3827,0.3086,81,81
MLB,1990,TOR,0.4198,0.358,81,81
MLB,1991,ATL,0.4938,0.4321,81,81
MLB,1991,BAL,0.037,0.0494,81,81
MLB,1991,BOS,0.3333,0.284,81,81
MLB,1991,CAL,0.0988,0.1235,81,81
MLB,1991,CHA,0.4198,0.4198,81,81
MLB,1991,CHN,0.2125,0.375,80,80
MLB,1991,CIN,0.1235,0.0617,81,81
MLB,1991,CLE,0.0,0.0,81,81
MLB,1991,DET,0.3333,0.3704,81,81
MLB,1991,HOU,0.0,0.0,81,81
MLB,1991,KCA,0.1605,0.1481,81,81
MLB,1991,LAN,0.3827,0.4321,81,81
MLB,1991,MIL,0.2346,0.2099,81,81
MLB,1991,MIN,0.5185,0.4815,81,81
MLB,1991,MON,0.0375,0.037,80,81
MLB,1991,NYA,0.0864,0.0741,81,81
MLB,1991,NYN,0.2,0.1605,80,81
MLB,1991,OAK,0.2469,0.284,81,81
MLB,1991,PHI,0.2099,0.2593,81,81
MLB,1991,PIT,0.4938,0.5432,81,81
MLB,1991,SDN,0.3086,0.321,81,81
MLB,1991,SEA,0.1852,0.2099,81,81
MLB,1991,SFN,0.1605,0.1358,81,81
MLB,1991,SLN,0.4074,0.3704,81,81
MLB,1991,TEX,0.358,0.3951,81,81
MLB,1991,TOR,0.4938,0.4321,81,81
MLB,1992,ATL,0.5185,0.4815,81,81
MLB,1992,BAL,0.358,0.3457,81,81
MLB,1992,BOS,0.1481,0.0741,81,81
MLB,1992,CAL,0.037,0.0494,81,81
MLB,1992,CHA,0.3457,0.284,81,81
MLB,1992,CHN,0.1975,0.1728,81,81
MLB,1992,CIN,0.3086,0.5062,81,81
MLB,1992,CLE,0.1975,0.1975,81,81
MLB,1992,DET,0.1481,0.1605,81,81
MLB,1992,HOU,0.2469,0.1975,81,81
MLB,1992,KCA,0.0617,0.0988,81,81
MLB,1992,LAN,0.0,0.0,81,81
MLB,1992,MIL,0.3827,0.4568,81,81
MLB,1992,MIN,0.3951,0.3827,81,81
MLB,1992,MON,0.321,0.4198,81,81
MLB,1992,NYA,0.2099,0.2593,81,81
MLB,1992,NYN,0.0988,0.1605,81,81
MLB,1992,OAK,0.4444,0.4815,81,81
MLB,1992,PHI,0.0247,0.0494,81,81
MLB,1992,PIT,0.4938,0.4321,81,81
MLB,1992,SDN,0.2716,0.284,81,81
MLB,1992,SEA,0.0,0.0,81,81
MLB,1992,SFN,0.0864,0.0988,81,81
MLB,1992,SLN,0.3457,0.284,81,81
MLB,1992,TEX,0.284,0.2593,81,81
MLB,1992,TOR,0.5309,0.4691,81,81
MLB,1993,ATL,0.5185,0.4815,81,81
MLB,1993,BAL,0.2963,0.321,81,81
MLB,1993,BOS,0.1728,0.2099,81,81
MLB,1993,CAL,0.0988,0.1358,81,81
MLB,1993,CHA,0.4568,0.4691,81,81
MLB,1993,CHN,0.2593,0.2805,81,82
MLB,1993,CIN,0.1481,0.1728,81,81
MLB,1993,CLE,0.1481,0.1605,81,81
MLB,1993,COL,0.1111,0.1111,81,81
MLB,1993,DET,0.3333,0.358,81,81
MLB,1993,FLO,0.0741,0.0741,81,81
MLB,1993,HOU,0.3086,0.2963,81,81
MLB,1993,KCA,0.2469,0.2963,81,81
MLB,1993,LAN,0.1975,0.2593,81,81
MLB,1993,MIL,0.0247,0.0494,81,81
MLB,1993,MIN,0.1111,0.0494,81,81
MLB,1993,MON,0.4074,0.3659,81,82
MLB,1993,NYA,0.4074,0.4321,81,81
MLB,1993,NYN,0.0,0.0,81,81
MLB,1993,OAK,0.0,0.0,81,81
MLB,1993,PHI,0.4568,0.3951,81,81
MLB,1993,PIT,0.1728,0.2099,81,81
MLB,1993,SDN,0.037,0.037,81,81
MLB,1993,SEA,0.2593,0.2099,81,81
MLB,1993,SFN,0.4444,0.4691,81,81
MLB,1993,SLN,0.321,0.358,81,81
MLB,1993,TEX,0.3704,0.3951,81,81
MLB,1993,TOR,0.4938,0.5062,81,81
MLB,1994,ATL,0.4561,0.4035,57,57
MLB,1994,BAL,0.4107,0.3393,56,56
MLB,1994,BOS,0.3158,0.3448,57,58
MLB,1994,CAL,0.0,0.0,57,58
MLB,1994,CHA,0.4107,0.4737,56,57
MLB,1994,CHN,0.0536,0.0526,56,57
MLB,1994,CIN,0.4035,0.4655,57,58
MLB,1994,CLE,0.375,0.386,56,57
MLB,1994,COL,0.1034,0.1695,58,59
MLB,1994,DET,0.2632,0.2241,57,58
MLB,1994,FLO,0.0526,0.0345,57,58
MLB,1994,HOU,0.4561,0.4138,57,58
MLB,1994,KCA,0.3158,0.5,57,58
MLB,1994,LAN,0.3333,0.3158,57,57
MLB,1994,MIL,0.193,0.0,57,58
MLB,1994,MIN,0.25,0.1228,56,57
MLB,1994,MON,0.4561,0.4561,57,57
MLB,1994,NYA,0.5536,0.4561,56,57
MLB,1994,NYN,0.2321,0.3158,56,57
MLB,1994,OAK,0.0526,0.0702,57,57
MLB,1994,PHI,0.1754,0.2759,57,58
MLB,1994,PIT,0.1579,0.1228,57,57
MLB,1994,SDN,0.0,0.0,58,59
MLB,1994,SEA,0.0536,0.0,56,56
MLB,1994,SFN,0.2456,0.2414,57,58
MLB,1994,SLN,0.1579,0.2414,57,58
MLB,1994,TEX,0.0526,0.2456,57,57
MLB,1994,TOR,0.3509,0.2759,57,58
MLB,1995,ATL,0.5278,0.4722,72,72
MLB,1995,BAL,0.2639,0.2361,72,72
MLB,1995,BOS,0.4583,0.4583,72,72
MLB,1995,CAL,0.3611,0.3288,72,73
MLB,1995,CHA,0.1944,0.2329,72,73
MLB,1995,CHN,0.2639,0.3333,72,72
MLB,1995,CIN,0.4583,0.4444,72,72
MLB,1995,CLE,0.5556,0.4444,72,72
MLB,1995,COL,0.375,0.375,72,72
MLB,1995,DET,0.0833,0.0833,72,72
MLB,1995,FLO,0.0986,0.1389,71,72
MLB,1995,HOU,0.375,0.3472,72,72
MLB,1995,KCA,0.1806,0.2917,72,72
MLB,1995,LAN,0.4583,0.4306,72,72
MLB,1995,MIL,0.125,0.1528,72,72
MLB,1995,MIN,0.0,0.0,72,72
MLB,1995,MON,0.0556,0.0417,72,72
MLB,1995,NYA,0.4028,0.4247,72,73
MLB,1995,NYN,0.2361,0.2222,72,72
MLB,1995,OAK,0.1667,0.0694,72,72
MLB,1995,PHI,0.1667,0.2361,72,72
MLB,1995,PIT,0.0,0.0,72,72
MLB,1995,SDN,0.2639,0.25,72,72
MLB,1995,SEA,0.4028,0.3699,72,73
MLB,1995,SFN,0.1389,0.125,72,72
MLB,1995,SLN,0.0423,0.0417,71,72
MLB,1995,TEX,0.3333,0.3056,72,72
MLB,1995,TOR,0.0,0.0417,72,72
MLB,1996,ATL,0.5679,0.4321,81,81
MLB,1996,BAL,0.3704,0.3902,81,82
MLB,1996,BOS,0.284,0.2593,81,81
MLB,1996,CAL,0.05,0.0247,80,81
MLB,1996,CHA,0.2716,0.3457,81,81
MLB,1996,CHN,0.1235,0.1728,81,81
MLB,1996,CIN,0.2469,0.2099,81,81
MLB,1996,CLE,0.4625,0.5309,80,81
MLB,1996,COL,0.284,0.321,81,81
MLB,1996,DET,0.0,0.0,81,81
