league,season,n_teams,spearman_r,spearman_p
MLB,1980,26,0.9553,0.0
MLB,1981,26,0.9121,0.0
MLB,1982,26,0.958,0.0
MLB,1983,26,0.9573,0.0
MLB,1984,26,0.92,0.0
MLB,1985,26,0.9409,0.0
MLB,1986,26,0.9452,0.0
MLB,1987,26,0.9798,0.0
MLB,1988,26,0.9587,0.0
MLB,1989,26,0.9438,0.0
MLB,1990,26,0.9301,0.0
MLB,1991,26,0.9676,0.0
MLB,1992,26,0.9364,0.0
MLB,1993,28,0.983,0.0
MLB,1994,28,0.8435,0.0
MLB,1995,28,0.9708,0.0
MLB,1996,28,0.9485,0.0
MLB,1997,28,0.9077,0.0
MLB,1998,30,0.9311,0.0
MLB,1999,30,0.8843,0.0
MLB,2000,30,0.8632,0.0
MLB,2001,30,0.9275,0.0
MLB,2002,30,0.9232,0.0
MLB,2003,30,0.9059,0.0
MLB,2004,30,0.9128,0.0
MLB,2005,30,0.8786,0.0
MLB,2006,30,0.8887,0.0
MLB,2007,30,0.8798,0.0
MLB,2008,30,0.8867,0.0
MLB,2009,30,0.8642,0.0
MLB,2010,30,0.8965,0.0
MLB,2011,30,0.9072,0.0
MLB,2012,30,0.8695,0.0
MLB,2013,30,0.9319,0.0
MLB,2014,30,0.9328,0.0
MLB,2015,30,0.8655,0.0
MLB,2016,30,0.885,0.0
MLB,2017,30,0.8798,0.0
MLB,2018,30,0.9143,0.0
MLB,2019,30,0.9435,0.0
MLB,2020,30,0.7109,0.0
MLB,2021,30,0.9194,0.0
MLB,2022,30,0.9103,0.0
MLB,2023,30,0.9184,0.0
MLB,2024,30,0.9557,0.0
NBA,1949,17,0.8847,0.0
NBA,1950,11,0.9522,0.0
NBA,1951,10,0.9025,0.0004
NBA,1952,10,0.9451,0.0
NBA,1953,9,0.7647,0.0164
NBA,1954,8,0.9027,0.0021
NBA,1955,8,0.8796,0.004
NBA,1956,8,0.9518,0.0003
NBA,1957,8,0.9701,0.0001
NBA,1958,8,0.994,0.0
NBA,1959,8,0.8982,0.0024
NBA,1960,8,0.9222,0.0011
NBA,1961,9,0.954,0.0001
NBA,1962,9,0.9916,0.0
NBA,1963,9,0.9493,0.0001
NBA,1964,9,0.9958,0.0
NBA,1965,9,0.8403,0.0046
NBA,1966,10,0.9725,0.0
NBA,1967,12,0.8496,0.0005
NBA,1968,14,0.9323,0.0
NBA,1969,14,0.9701,0.0
NBA,1970,17,0.9242,0.0
NBA,1971,17,0.9753,0.0
NBA,1972,17,0.9153,0.0
NBA,1973,17,0.8958,0.0
NBA,1974,18,0.965,0.0
NBA,1975,18,0.985,0.0
NBA,1976,22,0.9427,0.0
NBA,1977,22,0.899,0.0
NBA,1978,22,0.9019,0.0
NBA,1979,22,0.895,0.0
NBA,1980,23,0.9167,0.0
NBA,1981,23,0.9278,0.0
NBA,1982,23,0.9417,0.0
NBA,1983,23,0.9547,0.0
NBA,1984,23,0.9398,0.0
NBA,1985,23,0.9291,0.0
NBA,1986,23,0.9667,0.0
NBA,1987,23,0.9252,0.0
NBA,1988,25,0.9464,0.0
NBA,1989,27,0.9311,0.0
NBA,1990,27,0.9108,0.0
NBA,1991,27,0.9128,0.0
NBA,1992,27,0.9616,0.0
NBA,1993,27,0.9455,0.0
NBA,1994,27,0.9526,0.0
NBA,1995,29,0.9299,0.0
NBA,1996,29,0.881,0.0
NBA,1997,29,0.9569,0.0
NBA,1998,29,0.8532,0.0
NBA,1999,29,0.8338,0.0
NBA,2000,29,0.8863,0.0
NBA,2001,29,0.8422,0.0
NBA,2002,29,0.9461,0.0
NBA,2003,29,0.9026,0.0
NBA,2004,30,0.9,0.0
NBA,2005,30,0.9282,0.0
NBA,2006,30,0.8688,0.0
NBA,2007,30,0.819,0.0
NBA,2008,30,0.8967,0.0
NBA,2009,30,0.8566,0.0
NBA,2010,30,0.8972,0.0
NBA,2011,30,0.8794,0.0
NBA,2012,30,0.8551,0.0
NBA,2013,30,0.9113,0.0
NBA,2014,30,0.8567,0.0
NBA,2015,30,0.9055,0.0
NBA,2016,30,0.9079,0.0
NBA,2017,30,0.9151,0.0
NBA,2018,30,0.9,0.0
NBA,2019,30,0.8757,0.0
NBA,2020,30,0.8899,0.0
NBA,2021,30,0.9031,0.0
NBA,2022,30,0.9263,0.0
NBA,2023,30,0.8989,0.0
NBA,2024,30,0.8952,0.0
NFL,1966,24,0.5632,0.0042
NFL,1967,25,0.5599,0.0036
NFL,1968,26,0.6746,0.0002
NFL,1969,26,0.5703,0.0024
NFL,1970,26,0.5777,0.002
NFL,1971,26,0.6784,0.0001
NFL,1972,26,0.7673,0.0
NFL,1973,26,0.237,0.2438
NFL,1974,26,0.631,0.0005
NFL,1975,26,0.5813,0.0018
NFL,1976,28,0.5374,0.0032
NFL,1977,28,0.5141,0.0051
NFL,1978,28,0.4216,0.0255
NFL,1979,28,0.634,0.0003
NFL,1980,28,0.6923,0.0
NFL,1981,28,0.6656,0.0001
NFL,1982,28,0.1014,0.6076
NFL,1983,28,0.475,0.0106
NFL,1984,28,0.5812,0.0012
NFL,1985,28,0.5406,0.003
NFL,1986,28,0.6514,0.0002
NFL,1987,28,0.4147,0.0282
NFL,1988,28,0.6292,0.0003
NFL,1989,28,0.5453,0.0027
NFL,1990,28,0.6741,0.0001
NFL,1991,28,0.7019,0.0
NFL,1992,28,0.7123,0.0
NFL,1993,28,0.7301,0.0
NFL,1994,28,0.4301,0.0223
NFL,1995,30,0.6913,0.0
NFL,1996,30,0.5995,0.0005
NFL,1997,30,0.4658,0.0095
NFL,1998,30,0.66,0.0001
NFL,1999,31,0.704,0.0
NFL,2000,31,0.6593,0.0001
NFL,2001,31,0.722,0.0
NFL,2002,32,0.5199,0.0023
NFL,2003,32,0.7025,0.0
NFL,2004,32,0.6275,0.0001
NFL,2005,32,0.6562,0.0
NFL,2006,32,0.7214,0.0
NFL,2007,32,0.7276,0.0
NFL,2008,32,0.6338,0.0001
NFL,2009,32,0.6441,0.0001
NFL,2010,32,0.6225,0.0001
NFL,2011,32,0.6045,0.0002
NFL,2012,32,0.6186,0.0002
NFL,2013,32,0.6685,0.0
NFL,2014,32,0.5515,0.0011
NFL,2015,32,0.694,0.0
NFL,2016,32,0.5272,0.0019
NFL,2017,32,0.5473,0.0012
NFL,2018,32,0.613,0.0002
NFL,2019,32,0.5767,0.0006
NFL,2020,32,0.7378,0.0
NFL,2021,32,0.5663,0.0007
NFL,2022,32,0.6147,0.0002
NFL,2023,32,0.6654,0.0
NFL,2024,32,0.665,0.0
