league,season,team,first_half_win_pct,second_half_win_pct,n_first,n_second
MLB,1980,ATL,0.475,0.5679,80,81
MLB,1980,BAL,0.5185,0.4815,81,81
MLB,1980,BOS,0.5625,0.55,80,80
MLB,1980,CAL,0.45,0.5,80,80
MLB,1980,CHA,0.4815,0.5679,81,81
MLB,1980,CHN,0.4815,0.4691,81,81
MLB,1980,CIN,0.5185,0.5,81,82
MLB,1980,CLE,0.575,0.425,80,80
MLB,1980,DET,0.3951,0.5732,81,82
MLB,1980,HOU,0.5062,0.378,81,82
MLB,1980,KCA,0.5185,0.4938,81,81
MLB,1980,LAN,0.4444,0.5122,81,82
MLB,1980,MIL,0.5432,0.5062,81,81
MLB,1980,MIN,0.45,0.4198,80,81
MLB,1980,MON,0.4198,0.5309,81,81
MLB,1980,NYA,0.4815,0.5432,81,81
MLB,1980,NYN,0.5309,0.4444,81,81
MLB,1980,OAK,0.4938,0.4074,81,81
MLB,1980,PHI,0.5309,0.5802,81,81
MLB,1980,PIT,0.5679,0.5185,81,81
MLB,1980,SDN,0.5309,0.561,81,82
MLB,1980,SEA,0.5185,0.5976,81,82
MLB,1980,SFN,0.5,0.5556,80,81
MLB,1980,SLN,0.4691,0.4074,81,81
MLB,1980,TEX,0.5926,0.5122,81,82
MLB,1980,TOR,0.358,0.4815,81,81
MLB,1981,ATL,0.4717,0.5185,53,54
MLB,1981,BAL,0.4231,0.6604,52,53
MLB,1981,BOS,0.537,0.463,54,54
MLB,1981,CAL,0.4182,0.4545,55,55
MLB,1981,CHA,0.5283,0.5094,53,53
MLB,1981,CHN,0.5472,0.6415,53,53
MLB,1981,CIN,0.3889,0.5,54,54
MLB,1981,CLE,0.5686,0.5962,51,52
MLB,1981,DET,0.4444,0.5091,54,55
MLB,1981,HOU,0.5455,0.5091,55,55
MLB,1981,KCA,0.3922,0.4423,51,52
MLB,1981,LAN,0.5455,0.4727,55,55
MLB,1981,MIL,0.5926,0.4727,54,55
MLB,1981,MIN,0.4364,0.5091,55,55
MLB,1981,MON,0.5556,0.463,54,54
MLB,1981,NYA,0.5283,0.4444,53,54
MLB,1981,NYN,0.6346,0.5283,52,53
MLB,1981,OAK,0.5741,0.6182,54,55
MLB,1981,PHI,0.5094,0.6111,53,54
MLB,1981,PIT,0.3725,0.3654,51,52
MLB,1981,SDN,0.4909,0.4182,55,55
MLB,1981,SEA,0.5091,0.5273,55,55
MLB,1981,SFN,0.4545,0.4643,55,56
MLB,1981,SLN,0.4706,0.5192,51,52
MLB,1981,TEX,0.5385,0.4151,52,53
MLB,1981,TOR,0.4906,0.3962,53,53
MLB,1982,ATL,0.5185,0.5556,81,81
MLB,1982,BAL,0.6296,0.4878,81,82
MLB,1982,BOS,0.5309,0.5062,81,81
MLB,1982,CAL,0.4074,0.5309,81,81
MLB,1982,CHA,0.4444,0.4568,81,81
MLB,1982,CHN,0.5062,0.4198,81,81
MLB,1982,CIN,0.4815,0.5556,81,81
MLB,1982,CLE,0.5062,0.5062,81,81
MLB,1982,DET,0.4321,0.4321,81,81
MLB,1982,HOU,0.5062,0.5062,81,81
MLB,1982,KCA,0.4568,0.5679,81,81
MLB,1982,LAN,0.4691,0.5309,81,81
MLB,1982,MIL,0.4568,0.5244,81,82
MLB,1982,MIN,0.5556,0.5679,81,81
MLB,1982,MON,0.4444,0.5679,81,81
MLB,1982,NYA,0.5926,0.4815,81,81
MLB,1982,NYN,0.5062,0.5432,81,81
MLB,1982,OAK,0.4938,0.5062,81,81
MLB,1982,PHI,0.4444,0.4691,81,81
MLB,1982,PIT,0.4444,0.4074,81,81
MLB,1982,SDN,0.4444,0.4691,81,81
MLB,1982,SEA,0.5679,0.5556,81,81
MLB,1982,SFN,0.5679,0.4815,81,81
MLB,1982,SLN,0.679,0.4815,81,81
MLB,1982,TEX,0.4444,0.4938,81,81
MLB,1982,TOR,0.4444,0.4198,81,81
MLB,1983,ATL,0.4691,0.5926,81,81
