league,season,n_teams,spearman_r,spearman_p
NBA,1949,17,0.0346538899875295,0.8949549626747496
NBA,1950,11,-0.1578951502478333,0.6428812665134849
NBA,1951,10,-0.1428598985624865,0.6937941715052753
NBA,1952,10,0.3167701863354037,0.3725104212256964
NBA,1953,9,-0.296110046131991,0.4391253885588233
NBA,1954,8,0.6587325492402599,0.0756667914858492
NBA,1955,8,0.1477397514687684,0.7269924719668944
NBA,1956,8,0.3149108242146726,0.447417509711947
NBA,1957,8,0.7854091098781055,0.0208990164234532
NBA,1958,8,0.5582927151561686,0.1503799695309152
NBA,1959,8,0.2085928825858212,0.6200853578499549
NBA,1960,8,-0.1594979505283022,0.7059745885431499
NBA,1961,9,0.9220529258469676,0.0004031410324535
NBA,1962,9,-0.0253166810588913,0.9484528195843832
NBA,1963,9,-0.3248931448269654,0.3936225700866093
NBA,1964,9,-0.2618049863341741,0.4961870595534733
NBA,1965,9,-0.3043478260869565,0.4258735827505862
NBA,1966,10,-0.3551556975916281,0.3138983548208507
NBA,1967,12,0.1732242287168574,0.5903074719636493
NBA,1968,14,-0.3496659242761692,0.2203861273082564
NBA,1969,14,0.0022753143279447,0.9938407061558172
NBA,1970,17,-0.1050315296321911,0.6882853423959301
NBA,1971,17,-0.2779517684270784,0.280053852439426
NBA,1972,17,0.4541632900932729,0.0670512558879699
NBA,1973,17,0.2203601484739389,0.3953904915438062
NBA,1974,18,-0.2258613250326227,0.3674931560954182
NBA,1975,18,-0.0847729392130819,0.738045020964347
NBA,1976,22,-0.0229756085430784,0.919163366415253
NBA,1977,22,0.2737702304592453,0.2176270329674344
NBA,1978,22,-0.1606783624870963,0.4750303352437049
NBA,1979,22,-0.0454548163203381,0.840807864512106
NBA,1980,23,0.1036145224576114,0.6380148006746746
NBA,1981,23,-0.3857542671047327,0.0690722384536722
NBA,1982,23,-0.0154883957943997,0.944081168619827
NBA,1983,23,-0.144447629628951,0.5108101058917853
NBA,1984,23,-0.1033636398366486,0.6388331268995687
NBA,1985,23,0.0319819506881112,0.8848189212916756
NBA,1986,23,0.0689570874018614,0.7545568135851386
NBA,1987,23,0.3138054406164399,0.1447959136776189
NBA,1988,25,0.0373432548661847,0.8593367716034148
NBA,1989,27,0.2087856192616299,0.2959672412565804
NBA,1990,27,-0.2431110295896367,0.2217448262762696
NBA,1991,27,-0.366957310560425,0.0597235495886944
NBA,1992,27,0.2760120255436928,0.1634442749697026
NBA,1993,27,-0.21799634172859,0.2746810279474129
NBA,1994,27,-0.0497374135565772,0.8053987379591006
NBA,1995,29,-0.3230915509072161,0.0873469151917683
NBA,1996,29,-0.220555145680492,0.2502641515060409
NBA,1997,29,-0.125955716243427,0.5150098100500349
NBA,1998,29,-0.3220453159575113,0.0884352851538562
NBA,1999,29,0.1038186412448133,0.5920000608479208
NBA,2000,29,0.1430559847969915,0.4591096730347291
NBA,2001,29,-0.1303863798833464,0.5002138617561683
NBA,2002,29,-0.145547681091187,0.4512417482707215
NBA,2003,29,-0.2847240541918793,0.1343867894507843
NBA,2004,30,-0.2745109104755267,0.1420928657404483
NBA,2005,30,0.2792945050782071,0.1349968057678475
NBA,2006,30,0.1538288784686691,0.4170203035456302
NBA,2007,30,0.062360104480584,0.7433912741957757
NBA,2008,30,-0.0789567517262277,0.6783348713128627
NBA,2009,30,-0.0354004279558312,0.8526681688128219
NBA,2010,30,0.0363103375847587,0.848923812586211
NBA,2011,30,-0.00327646696073,0.986290302854312
NBA,2012,30,-0.0910732262140329,0.6322023220013743
NBA,2013,30,-0.1467028851281999,0.439178459824209
NBA,2014,30,0.3190278272759463,0.0857296517339766
NBA,2015,30,-0.0902740898979364,0.6352059949852532
NBA,2016,30,-0.2634967313666572,0.1594533778280062
NBA,2017,30,0.290276178309899,0.1196911988365127
NBA,2018,30,0.1761819279398274,0.3516996438374188
NBA,2019,30,-0.2065887878658125,0.2733757395791436
NBA,2020,30,0.1064191435722535,0.5756789404588143
NBA,2021,30,-0.268120589241144,0.1519895633969205
NBA,2022,30,-0.0547930916634777,0.7736699281351078
NBA,2023,30,-0.0941423720557193,0.6207200546807121
NBA,2024,30,0.1610429450100083,0.3952376244515844
MLB,1980,26,-0.0453610925781845,0.8258442306034561
MLB,1981,26,0.2680130109420739,0.1855814754718634
MLB,1982,26,0.1772503605930771,0.3863576399164117
MLB,1983,26,-0.1439890110920279,0.4828262745496313
MLB,1984,26,-0.1406924369274435,0.4930074584814882
MLB,1985,26,0.3328192392336927,0.096645424612534
MLB,1986,26,-0.2775580436570414,0.1698082872773392
MLB,1987,26,0.1996167739385259,0.3282338658170571
MLB,1988,26,0.199450292765446,0.3286457727609648
MLB,1989,26,-0.1988649698486434,0.3300964643038654
MLB,1990,26,-0.0162013185561247,0.9373882855079856
MLB,1991,26,-0.1456927188600487,0.4776067589026296
MLB,1992,26,0.2030282655644916,0.3198622694633777
MLB,1993,28,-0.2423891245409507,0.2139563000950136
MLB,1994,28,-0.0189070184532229,0.9239228572858706
MLB,1995,28,0.1131166684011375,0.5665687137300031
MLB,1996,28,-0.3430148460414877,0.0739417014973956
MLB,1997,28,-0.0759287059077024,0.7009679155804595
MLB,1998,30,-0.1144219275953295,0.5471292806496191
MLB,1999,30,0.2264025902684324,0.2289514490425414
MLB,2000,30,0.111783224241299,0.556469178163349
MLB,2001,30,0.1962975622880001,0.2985077907752759
MLB,2002,30,-0.1231892389580529,0.5166343726828105
MLB,2003,30,-0.2912700614482242,0.1183722300715627
MLB,2004,30,-0.1310337769448801,0.4900745429036031
MLB,2005,30,-0.3153880981366301,0.0895665417558221
MLB,2006,30,0.0419839160802166,0.8256522323194754
MLB,2007,30,0.2525797337956855,0.1781072078069817
MLB,2008,30,0.0823556573511144,0.6652693039023518
MLB,2009,30,0.3126259547730763,0.0925644654375848
MLB,2010,30,-0.0517377126205775,0.7859913870857206
MLB,2011,30,-0.456270352039185,0.011268334837406
MLB,2012,30,0.6417760847012897,0.0001320982109319
MLB,2013,30,-0.2775836966954121,0.1375042693121644
MLB,2014,30,-0.2712171297874531,0.1471338050754422
MLB,2015,30,0.0433800282197448,0.8199470828896369
MLB,2016,30,0.3261307984886972,0.0786048624975905
MLB,2017,30,-0.2910625435911128,0.1186467303397635
MLB,2018,30,-0.0518725626034896,0.7854464822370311
MLB,2019,30,0.070924391562402,0.7095713600912916
MLB,2020,30,0.177392179611253,0.348348070252498
MLB,2021,30,0.1545700825124166,0.4147519297183636
MLB,2022,30,0.1344603705897404,0.4786949933777807
MLB,2023,30,0.2639257248891905,0.1587500766179619
MLB,2024,30,0.1618011798868306,0.3929865934366638
NFL,1966,24,0.0748541472693857,0.7281249087157408
NFL,1967,25,-0.2435007241510158,0.2408237948340313
NFL,1968,26,-0.2042891227704331,0.3168015924292823
NFL,1969,26,0.0947156614292855,0.645342739459741
NFL,1970,26,0.0614700181079543,0.7654713371326923
NFL,1971,26,0.3791963552937724,0.0560707266107891
NFL,1972,26,-0.0780209360213975,0.704804542668533
NFL,1973,26,-0.0989938666085189,0.6304232944318076
NFL,1974,26,-0.0001843348068074,0.9992869329284682
NFL,1975,26,-0.3642289989172571,0.0673565266036122
NFL,1976,28,0.1144778082837805,0.5618781519131237
NFL,1977,28,-0.0414524708720836,0.8341085741731589
NFL,1978,28,-0.1433353707003021,0.46682789103772
NFL,1979,28,0.0148436475453449,0.9402401031844364
NFL,1980,28,-0.0309367199397316,0.8758160213453574
NFL,1981,28,-0.179456733106544,0.360848010108997
NFL,1982,28,0.0803207405438078,0.6845240317265562
NFL,1983,28,0.1579224780944864,0.4222039597783801
NFL,1984,28,-0.2332943769511327,0.2321775443647741
NFL,1985,28,0.2327537772067755,0.2332922679227316
NFL,1986,28,0.1873816821628268,0.3396695189932542
NFL,1987,28,-0.149531399267037,0.4475796352217656
NFL,1988,28,-0.0151654733804265,0.9389468031936096
NFL,1989,28,0.198252055496489,0.3118699229094973
NFL,1990,28,0.2324199035117414,0.2339825002546357
NFL,1991,28,-0.0178481391515932,0.9281723531758892
NFL,1992,28,0.0060895824769147,0.9754656274907778
NFL,1993,28,-0.0703787673999341,0.7219362490445812
NFL,1994,28,-0.2481383744892134,0.2029523669069788
NFL,1995,30,-0.1286279686567808,0.4981454819823264
NFL,1996,30,-0.0770524343164333,0.6856956191319643
NFL,1997,30,0.131751394649171,0.4876800450112488
NFL,1998,30,0.3198585971310777,0.0848717459873739
NFL,1999,31,0.1135395107848735,0.5430847716604528
NFL,2000,31,0.0274516146854143,0.8834552591902365
NFL,2001,31,0.0901006232239315,0.6297873593975429
NFL,2002,32,0.1269354518551052,0.4887519324436605
NFL,2003,32,-0.040478274870353,0.8259027089980839
NFL,2004,32,0.1661426308934723,0.363460600942486
NFL,2005,32,-0.018007737183637,0.9220736208643566
NFL,2006,32,-0.1345953644841092,0.462677029327973
NFL,2007,32,-0.2020486766382438,0.2674422089312666
NFL,2008,32,-0.2264355200770356,0.2126859889318852
NFL,2009,32,0.0161523931831124,0.9300817477485858
NFL,2010,32,-0.0971929666212156,0.5966753498966353
NFL,2011,32,-0.0928751587719922,0.6131560758235548
NFL,2012,32,0.0733006082997259,0.690121138338941
NFL,2013,32,0.0153354727822521,0.9336099572705904
NFL,2014,32,0.318825179944368,0.0753161588209518
NFL,2015,32,-0.0466262639870113,0.7999577278913088
NFL,2016,32,-0.0717510735311065,0.6963587261097979
NFL,2017,32,-0.1228008537218512,0.5031320324096037
NFL,2018,32,0.2209813967034944,0.2242059891185114
NFL,2019,32,0.2204853306331111,0.2252743509476047
NFL,2020,32,0.5240556113248809,0.0020800877494508
NFL,2021,32,0.1396363455547244,0.4459279253930542
NFL,2022,32,0.1193050103982117,0.5154538311827395
NFL,2023,32,-0.2901639345994277,0.1071827202449422
NFL,2024,32,0.4078505038640294,0.0204960321397131
