league,season,spearman_r,spearman_p
NBA,1949,-0.067118227,0.797993587
NBA,1950,0.219178082,0.517294306
NBA,1951,-0.219152504,0.542972348
NBA,1952,-0.021406828,0.953194017
NBA,1953,0.200068088,0.605776029
NBA,1954,0.55215763,0.155884096
NBA,1955,0.31097561,0.453421581
NBA,1956,-0.5,0.20703125
NBA,1957,0.41724859,0.303718252
NBA,1958,0.808888588,0.015044584
NBA,1959,0.201234477,0.632747924
NBA,1960,0.281195946,0.499891424
NBA,1961,0.624022802,0.072480665
NBA,1962,0.350214088,0.355505053
NBA,1963,-0.008658739,0.982361664
NBA,1964,-0.008621971,0.982436552
NBA,1965,0.18298038,0.637480049
NBA,1966,0.065625,0.857061955
NBA,1967,-0.143877788,0.655518304
NBA,1968,-0.276297416,0.338961842
NBA,1969,-0.346806807,0.22444127
NBA,1970,-0.458115474,0.064414394
NBA,1971,-0.323151713,0.205806639
NBA,1972,-0.4539801,0.067175377
NBA,1973,0.079079008,0.762889631
NBA,1974,-0.36499763,0.136401301
NBA,1975,-0.260528625,0.296417339
NBA,1976,0.087888615,0.697331425
NBA,1977,-0.316423648,0.151373648
NBA,1978,-0.168692384,0.452980996
NBA,1979,-0.099978036,0.657998883
NBA,1980,0.284675633,0.187986609
NBA,1981,0.168009079,0.443508999
NBA,1982,-0.091815534,0.6769285
NBA,1983,-0.107152461,0.626518658
NBA,1984,-0.125442095,0.568466996
NBA,1985,-0.068257581,0.756973427
NBA,1986,-0.136672752,0.534049834
NBA,1987,-0.06091754,0.782460249
NBA,1988,0.031012458,0.883006782
NBA,1989,-0.019221845,0.924186156
NBA,1990,-0.277252129,0.161483562
NBA,1991,-0.486640074,0.010051356
NBA,1992,-0.043781865,0.828336125
NBA,1993,-0.133829054,0.505734194
NBA,1994,-0.081068537,0.687702794
NBA,1995,-0.1033013,0.593857195
NBA,1996,-0.478730475,0.008609436
NBA,1997,-0.331118401,0.079332691
NBA,1998,-0.122552109,0.526519679
NBA,1999,0.04081132,0.833514972
NBA,2000,-0.014239356,0.941557986
NBA,2001,-0.043864461,0.821251747
NBA,2002,-0.141301195,0.464693887
