league,season,n_teams,spearman_r,spearman_p
NBA,1949,17,0.8846632426237914,2.410114250976783e-06
NBA,1950,11,0.952166479438449,6.254560213027771e-06
NBA,1951,10,0.902455801312274,0.0003515764490402
NBA,1952,10,0.9451395216446116,3.707957081777692e-05
NBA,1953,9,0.7647328842025763,0.0163776914867055
NBA,1954,8,0.9027075674773932,0.0021376469091086
NBA,1955,8,0.879581914199181,0.0039805588790226
NBA,1956,8,0.9518072289156626,0.0002698078279259
NBA,1957,8,0.9700772721497396,6.548558831120658e-05
NBA,1958,8,0.9940297973880048,5.296153515644831e-07
NBA,1959,8,0.8982196964349441,0.0024387967963823
NBA,1960,8,0.9221722216732094,0.0011108173578061
NBA,1961,9,0.9539832459815244,6.578871303553429e-05
NBA,1962,9,0.9915966386554624,1.7765161836879724e-07
NBA,1963,9,0.9492889050691344,9.200022809995667e-05
NBA,1964,9,0.9958246164193104,1.542446383195912e-08
NBA,1965,9,0.8403361344537816,0.0045640170919638
NBA,1966,10,0.9724816115547944,2.4269227876632664e-06
NBA,1967,12,0.8495907904857465,0.0004683036342871
NBA,1968,14,0.9322590529370336,1.2042200925985866e-06
NBA,1969,14,0.970076057451308,9.7183361372158e-09
NBA,1970,17,0.9242145931757104,1.162552454457977e-07
NBA,1971,17,0.9753153314038144,2.9970466513137394e-11
NBA,1972,17,0.9153282641731492,2.600878796266476e-07
NBA,1973,17,0.8958076448828608,1.1629814386795215e-06
NBA,1974,18,0.9650397273715984,1.005445643595946e-10
NBA,1975,18,0.9849674949446692,1.250879480408732e-13
NBA,1976,22,0.9426950733945012,5.4343975925126135e-11
NBA,1977,22,0.8989572948956134,1.3118469648295734e-08
NBA,1978,22,0.9018623932264352,9.921468121174634e-09
NBA,1979,22,0.8950062519287494,1.8929071859891473e-08
NBA,1980,23,0.9167274990299356,7.980888779918498e-10
NBA,1981,23,0.9277736696790686,1.8819353031101532e-10
NBA,1982,23,0.9417462077694772,2.0954367954047264e-11
NBA,1983,23,0.9547043058375404,1.58097558889562e-12
NBA,1984,23,0.9398473088884142,2.909909742004988e-11
NBA,1985,23,0.9290850769118166,1.5616877822707816e-10
NBA,1986,23,0.9667493796526054,6.49079900664806e-14
NBA,1987,23,0.925220846477573,2.679376128125706e-10
NBA,1988,25,0.946353041486922,8.997397373232218e-13
NBA,1989,27,0.9311360645119924,1.88251417091857e-12
NBA,1990,27,0.9107744534404753,4.287463490701584e-11
NBA,1991,27,0.9127835683629676,3.2613297644585036e-11
NBA,1992,27,0.961568008351118,1.5154758849683989e-15
NBA,1993,27,0.945501477920678,1.0934044556921061e-13
NBA,1994,27,0.9526157904636184,1.977948443413917e-14
NBA,1995,29,0.9299331802721555,3.0248998892211825e-13
NBA,1996,29,0.8809772966397209,2.8722934215500863e-10
NBA,1997,29,0.9569468612985156,4.958657865562027e-16
NBA,1998,29,0.8532235133324837,4.0985018041638676e-09
NBA,1999,29,0.8338091678912205,1.9422180657581053e-08
NBA,2000,29,0.8863413457436657,1.5927325643899755e-10
NBA,2001,29,0.842184528851958,1.0183514291921802e-08
NBA,2002,29,0.94609999574144,9.654733212073243e-15
NBA,2003,29,0.9026353329067832,2.178205309172425e-11
NBA,2004,30,0.9000335514168132,1.3107142038826394e-11
NBA,2005,30,0.9281649200768324,1.5321114681795868e-13
NBA,2006,30,0.8687922941579079,4.83351884437548e-10
NBA,2007,30,0.8189838130349234,3.162288460625249e-08
NBA,2008,30,0.8967136374326552,2.027654884519972e-11
NBA,2009,30,0.8565843904655247,1.5522305633300043e-09
NBA,2010,30,0.8971723766015756,1.9107129301259573e-11
NBA,2011,30,0.8794078207326702,1.5882024824701388e-10
NBA,2012,30,0.8550695684663261,1.7806558350370503e-09
NBA,2013,30,0.9112659066267392,2.6527151484922853e-12
NBA,2014,30,0.8566786409675392,1.538948690356334e-09
NBA,2015,30,0.9055129688828272,6.16368671357914e-12
NBA,2016,30,0.9078599509701976,4.399021546512198e-12
NBA,2017,30,0.9151319020251822,1.4569214090069698e-12
NBA,2018,30,0.90003355884946,1.3107129013533302e-11
NBA,2019,30,0.8757115244586181,2.3668891207682293e-10
NBA,2020,30,0.8898969757336114,4.7504884061655496e-11
NBA,2021,30,0.903056361441684,8.692472126261059e-12
NBA,2022,30,0.9263028636971868,2.1667983220738267e-13
NBA,2023,30,0.8988729164114689,1.5293036418535607e-11
NBA,2024,30,0.8952481401658794,2.446867886319524e-11
MLB,1980,26,0.9553087233639508,3.333029274778975e-14
MLB,1981,26,0.9121030177325504,8.907883677767135e-11
MLB,1982,26,0.9580481699306348,1.5824594513900914e-14
MLB,1983,26,0.9573484631674188,1.92294253704216e-14
MLB,1984,26,0.9200205649567348,2.991861094064324e-11
MLB,1985,26,0.9408946402152883,8.854752316296093e-13
MLB,1986,26,0.945167978737068,3.6789638260940243e-13
MLB,1987,26,0.9798049090953852,2.740927894610816e-18
MLB,1988,26,0.9587470606343098,1.2982241758800602e-14
MLB,1989,26,0.9438165970096822,4.892805426028249e-13
MLB,1990,26,0.930077462288642,6.288176279194475e-12
MLB,1991,26,0.9676092687085258,7.46099735184135e-16
MLB,1992,26,0.9364188400749204,2.077101242833129e-12
MLB,1993,28,0.9829928139764764,1.1497017377904621e-20
MLB,1994,28,0.8435439878767663,1.7325106490955512e-08
MLB,1995,28,0.970766437495547,1.2272695306719437e-17
MLB,1996,28,0.9484578567522128,1.7204413656887132e-14
MLB,1997,28,0.907719808047498,2.6434379262720118e-11
MLB,1998,30,0.9311267192560926,8.656492875422488e-14
MLB,1999,30,0.8842726884591855,9.205747599224506e-11
MLB,2000,30,0.8631864657144906,8.374269299524158e-10
MLB,2001,30,0.9274654631532318,1.747039372388876e-13
MLB,2002,30,0.9231721021111674,3.80403006390454e-13
MLB,2003,30,0.905882982705939,5.847913515297206e-12
MLB,2004,30,0.9127725777821818,2.1071496681445894e-12
MLB,2005,30,0.8786264008526696,1.7298273351493123e-10
MLB,2006,30,0.8886660476618797,5.5071459777133244e-11
MLB,2007,30,0.8797863535201488,1.5235041988168997e-10
MLB,2008,30,0.8866726317817291,6.971116459485846e-11
MLB,2009,30,0.8642085811753814,7.589565191061538e-10
MLB,2010,30,0.8964939928762442,2.0859495387550404e-11
MLB,2011,30,0.907218131296156,4.828351421422764e-12
MLB,2012,30,0.8695409414231463,4.4829575394896457e-10
MLB,2013,30,0.93191444257768,7.405273394227594e-14
MLB,2014,30,0.9328201429775986,6.174157335593453e-14
MLB,2015,30,0.8655066647307809,6.690378553799928e-10
MLB,2016,30,0.8850489459791434,8.419624781634014e-11
MLB,2017,30,0.8798267204264153,1.5167497477113136e-10
MLB,2018,30,0.9142985928541508,1.6617426935793616e-12
MLB,2019,30,0.9434972108735232,5.84962206006773e-15
MLB,2020,30,0.7109115407591718,1.0692028590995874e-05
MLB,2021,30,0.9193711700238336,7.302471168030867e-13
MLB,2022,30,0.9103180445361688,3.059813946638265e-12
MLB,2023,30,0.9183607154520388,8.638387480900105e-13
MLB,2024,30,0.955746774580838,2.062459344053083e-16
NFL,1966,24,0.5631703535076619,0.0041650438176663
NFL,1967,25,0.5599403594170769,0.0036057361620268
NFL,1968,26,0.6745860331173507,0.0001570999151077
NFL,1969,26,0.5702832397698038,0.0023513779505537
NFL,1970,26,0.5776879613607867,0.0019981993001582
NFL,1971,26,0.6783545296305059,0.0001396711314739
NFL,1972,26,0.767307196860347,4.791387645003534e-06
NFL,1973,26,0.2369512764395827,0.2438214417639272
NFL,1974,26,0.6309891513519547,0.000547840774109
NFL,1975,26,0.581271473230941,0.0018443083540342
NFL,1976,28,0.537421238572625,0.0031860961250474
NFL,1977,28,0.5141269416213133,0.0051297253060552
NFL,1978,28,0.4215653913839292,0.0254623326814556
NFL,1979,28,0.6340274426247545,0.000291491578165
NFL,1980,28,0.6923157670373831,4.46735245358851e-05
NFL,1981,28,0.665575487439578,0.0001110443622947
NFL,1982,28,0.1014150152097127,0.60760263132748
NFL,1983,28,0.4749758624003519,0.0106455838204762
NFL,1984,28,0.5812235165234406,0.0011804712322447
NFL,1985,28,0.5406432181025514,0.0029750172062693
NFL,1986,28,0.6513636546091056,0.0001738491774567
NFL,1987,28,0.4147368511040644,0.0282042992782069
NFL,1988,28,0.6291522125067989,0.0003352228087097
NFL,1989,28,0.5452594311234191,0.0026935541401882
NFL,1990,28,0.6740947919014904,8.391278673059055e-05
NFL,1991,28,0.7018542782927878,3.153506917166564e-05
NFL,1992,28,0.7122561832307861,2.1237512857998972e-05
NFL,1993,28,0.7300535893909024,1.0365319593555543e-05
NFL,1994,28,0.4301392170988076,0.0223308101058516
NFL,1995,30,0.691309404427666,2.33671954802581e-05
NFL,1996,30,0.599466071960158,0.0004638518439639
NFL,1997,30,0.4658063902198382,0.0094811852731711
NFL,1998,30,0.6599697800788449,7.251743589250639e-05
NFL,1999,31,0.703950480027573,9.932531847062277e-06
NFL,2000,31,0.65927255618971,5.4945705594095775e-05
NFL,2001,31,0.7219629724024249,4.552349049920983e-06
NFL,2002,32,0.5199002983186959,0.0022897783950786
NFL,2003,32,0.7024770750727899,7.398442823685115e-06
NFL,2004,32,0.6275214553810436,0.0001209517879358
NFL,2005,32,0.6561532452141193,4.552613763454165e-05
NFL,2006,32,0.7214287528957853,3.1782651658808434e-06
NFL,2007,32,0.7275742678266551,2.3811601683038838e-06
NFL,2008,32,0.6338475145937887,9.8289453486873e-05
NFL,2009,32,0.6440752350180607,6.958892592278365e-05
NFL,2010,32,0.6224841914748594,0.0001422212761228
NFL,2011,32,0.6045140822566847,0.0002479381562603
NFL,2012,32,0.618576528390956,0.0001609569996335
NFL,2013,32,0.668504385912331,2.892273407731204e-05
NFL,2014,32,0.5515112923055561,0.00106849263794
NFL,2015,32,0.6940150543105457,1.0569357273032094e-05
NFL,2016,32,0.5272313276437093,0.0019312894048446
NFL,2017,32,0.547315937566417,0.0011873477303608
NFL,2018,32,0.6130493730992818,0.0001912141604377
NFL,2019,32,0.5766513341049866,0.0005511709236517
NFL,2020,32,0.7377595324108082,1.4502631677253628e-06
NFL,2021,32,0.5663210628665172,0.0007280924946112
NFL,2022,32,0.6146592027819862,0.0001819178481369
