league,season,spearman_r,spearman_p
NBA,1949,0.03465389,0.894954963
NBA,1950,-0.15789515,0.642881267
NBA,1951,-0.142859899,0.693794172
NBA,1952,0.316770186,0.372510421
NBA,1953,-0.296110046,0.439125389
NBA,1954,0.658732549,0.075666791
NBA,1955,0.147739751,0.726992472
NBA,1956,0.314910824,0.44741751
NBA,1957,0.78540911,0.020899016
NBA,1958,0.558292715,0.15037997
NBA,1959,0.208592883,0.620085358
NBA,1960,-0.159497951,0.705974589
NBA,1961,0.922052926,0.000403141
NBA,1962,-0.025316681,0.94845282
NBA,1963,-0.324893145,0.39362257
NBA,1964,-0.261804986,0.49618706
NBA,1965,-0.304347826,0.425873583
NBA,1966,-0.355155698,0.313898355
NBA,1967,0.173224229,0.590307472
NBA,1968,-0.349665924,0.220386127
NBA,1969,0.002275314,0.993840706
NBA,1970,-0.10503153,0.688285342
NBA,1971,-0.277951768,0.280053852
NBA,1972,0.45416329,0.067051256
NBA,1973,0.220360148,0.395390492
NBA,1974,-0.225861325,0.367493156
NBA,1975,-0.084772939,0.738045021
NBA,1976,-0.022975609,0.919163366
NBA,1977,0.27377023,0.217627033
NBA,1978,-0.160678362,0.475030335
NBA,1979,-0.045454816,0.840807865
NBA,1980,0.103614522,0.638014801
NBA,1981,-0.385754267,0.069072238
NBA,1982,-0.015488396,0.944081169
NBA,1983,-0.14444763,0.510810106
NBA,1984,-0.10336364,0.638833127
NBA,1985,0.031981951,0.884818921
NBA,1986,0.068957087,0.754556814
NBA,1987,0.313805441,0.144795914
NBA,1988,0.037343255,0.859336772
NBA,1989,0.208785619,0.295967241
NBA,1990,-0.24311103,0.221744826
NBA,1991,-0.366957311,0.05972355
NBA,1992,0.276012026,0.163444275
NBA,1993,-0.217996342,0.274681028
NBA,1994,-0.049737414,0.805398738
NBA,1995,-0.323091551,0.087346915
NBA,1996,-0.220555146,0.250264152
NBA,1997,-0.125955716,0.51500981
NBA,1998,-0.322045316,0.088435285
NBA,1999,0.103818641,0.592000061
NBA,2000,0.143055985,0.459109673
NBA,2001,-0.13038638,0.500213862
NBA,2002,-0.145547681,0.451241748
NBA,2003,-0.284724054,0.134386789
NBA,2004,-0.27451091,0.142092866
NBA,2005,0.279294505,0.134996806
NBA,2006,0.153828878,0.417020304
NBA,2007,0.062360104,0.743391274
NBA,2008,-0.078956752,0.678334871
NBA,2009,-0.035400428,0.852668169
NBA,2010,0.036310338,0.848923813
NBA,2011,-0.003276467,0.986290303
NBA,2012,-0.091073226,0.632202322
NBA,2013,-0.146702885,0.43917846
NBA,2014,0.319027827,0.085729652
NBA,2015,-0.09027409,0.635205995
NBA,2016,-0.263496731,0.159453378
NBA,2017,0.290276178,0.119691199
NBA,2018,0.176181928,0.351699644
NBA,2019,-0.206588788,0.27337574
