league,season,team,metric_name,metric_real,metric_skill,metric_luck,q_skill,luck_share
MLB,1980,all,spearman_r,0.6634,0.9553,0.0424,0.6802,0.3198
MLB,1981,all,spearman_r,0.4263,0.9121,0.3004,0.2058,0.7942
MLB,1982,all,spearman_r,0.3734,0.958,0.2058,0.2228,0.7772
MLB,1983,all,spearman_r,0.3922,0.9573,-0.1736,0.5003,0.4997
MLB,1984,all,spearman_r,0.2238,0.92,0.0554,0.1948,0.8052
MLB,1985,all,spearman_r,0.645,0.9409,0.1728,0.6148,0.3852
MLB,1986,all,spearman_r,0.2096,0.9452,-0.2924,0.4056,0.5944
MLB,1987,all,spearman_r,0.3753,0.9798,0.0228,0.3683,0.6317
MLB,1988,all,spearman_r,0.4492,0.9587,0.1409,0.377,0.623
MLB,1989,all,spearman_r,0.4447,0.9438,-0.2474,0.581,0.419
MLB,1990,all,spearman_r,0.4144,0.9301,0.0285,0.428,0.572
MLB,1991,all,spearman_r,0.1871,0.9676,-0.1991,0.331,0.669
MLB,1992,all,spearman_r,0.5283,0.9364,0.1946,0.4499,0.5501
MLB,1993,all,spearman_r,0.71,0.983,-0.1485,0.7587,0.2413
MLB,1994,all,spearman_r,0.3762,0.8435,0.0313,0.4246,0.5754
MLB,1995,all,spearman_r,0.179,0.9708,0.1457,0.0404,0.9596
MLB,1996,all,spearman_r,0.5261,0.9485,-0.4386,0.6955,0.3045
MLB,1997,all,spearman_r,0.4935,0.9077,0.001,0.5432,0.4568
MLB,1998,all,spearman_r,0.4656,0.9311,0.0141,0.4924,0.5076
MLB,1999,all,spearman_r,0.6641,0.8843,0.1456,0.7019,0.2981
MLB,2000,all,spearman_r,0.4846,0.8632,0.0487,0.5352,0.4648
MLB,2001,all,spearman_r,0.3782,0.9275,0.028,0.3893,0.6107
MLB,2002,all,spearman_r,0.7213,0.9232,-0.1756,0.8163,0.1837
MLB,2003,all,spearman_r,0.6511,0.9059,-0.1195,0.7515,0.2485
MLB,2004,all,spearman_r,0.6196,0.9128,-0.1983,0.7361,0.2639
MLB,2005,all,spearman_r,0.2906,0.8786,-0.3528,0.5225,0.4775
MLB,2006,all,spearman_r,0.1902,0.8887,0.1661,0.0334,0.9666
MLB,2007,all,spearman_r,0.4794,0.8798,0.1186,0.474,0.526
MLB,2008,all,spearman_r,0.4471,0.8867,0.0149,0.4958,0.5042
MLB,2009,all,spearman_r,0.6209,0.8642,0.4499,0.4127,0.5873
