season,date,team1,team2,result,score1,score2,home_away,home_rank,away_rank,is_upset
1980,1980-04-09,SEA,TOR,3,8,6,1,26,23,1
1980,1980-04-09,CIN,ATL,3,9,0,1,8,14,0
1980,1980-04-10,CHA,BAL,0,3,5,1,21,2,0
1980,1980-04-10,KCA,DET,0,1,5,1,3,11,1
1980,1980-04-10,MIL,BOS,3,9,5,1,9,10,0
1980,1980-04-10,OAK,MIN,0,7,9,1,12,16,1
1980,1980-04-10,TEX,NYA,3,1,0,1,17,1,1
1980,1980-04-10,HOU,LAN,3,3,2,1,4,5,0
1980,1980-04-10,NYN,CHN,3,5,2,1,22,25,0
1980,1980-04-10,SDN,SFN,3,6,4,1,20,18,1
1980,1980-04-10,SLN,PIT,3,1,0,1,19,13,1
1980,1980-04-11,CAL,CLE,3,10,2,1,24,15,1
1980,1980-04-11,CHA,BAL,3,8,4,1,21,2,1
1980,1980-04-11,KCA,DET,3,4,0,1,3,11,0
1980,1980-04-11,OAK,MIN,3,1,0,1,12,16,0
1980,1980-04-11,SEA,TOR,0,7,10,1,26,23,0
1980,1980-04-11,TEX,NYA,3,11,7,1,17,1,1
1980,1980-04-11,CIN,ATL,3,6,0,1,8,14,0
1980,1980-04-11,HOU,LAN,3,10,6,1,4,5,0
1980,1980-04-11,NYN,CHN,0,5,7,1,22,25,1
1980,1980-04-11,PHI,MON,3,6,3,1,6,7,0
1980,1980-04-11,SDN,SFN,3,5,3,1,20,18,1
1980,1980-04-11,SLN,PIT,0,3,4,1,19,13,0
1980,1980-04-12,CAL,CLE,0,1,2,1,24,15,0
1980,1980-04-12,CHA,BAL,3,8,2,1,21,2,1
1980,1980-04-12,KCA,DET,3,8,6,1,3,11,0
1980,1980-04-12,MIL,BOS,3,18,1,1,9,10,0
1980,1980-04-12,OAK,MIN,0,0,6,1,12,16,1
1980,1980-04-12,SEA,TOR,3,3,2,1,26,23,1
1980,1980-04-12,CIN,ATL,3,5,4,1,8,14,0
1980,1980-04-12,HOU,LAN,0,5,6,1,4,5,1
1980,1980-04-12,NYN,CHN,0,3,6,1,22,25,1
1980,1980-04-12,PHI,MON,3,6,2,1,6,7,0
1980,1980-04-12,SDN,SFN,3,4,2,1,20,18,1
1980,1980-04-12,SLN,PIT,0,2,7,1,19,13,0
1980,1980-04-13,CAL,CLE,3,8,3,1,24,15,1
1980,1980-04-13,CHA,BAL,3,5,2,1,21,2,1
1980,1980-04-13,KCA,DET,3,3,2,1,3,11,0
1980,1980-04-13,MIL,BOS,0,1,3,1,9,10,1
1980,1980-04-13,OAK,MIN,3,4,1,1,12,16,0
1980,1980-04-13,SEA,TOR,3,5,1,1,26,23,1
1980,1980-04-13,TEX,NYA,0,4,9,1,17,1,0
1980,1980-04-13,TEX,NYA,0,2,8,1,17,1,0
1980,1980-04-13,CIN,ATL,3,5,0,1,8,14,0
1980,1980-04-13,HOU,LAN,3,4,2,1,4,5,0
1980,1980-04-13,NYN,CHN,3,5,0,1,22,25,0
1980,1980-04-13,PHI,MON,0,4,5,1,6,7,1
1980,1980-04-13,SDN,SFN,0,1,3,1,20,18,0
1980,1980-04-13,SLN,PIT,0,0,3,1,19,13,0
1980,1980-04-14,BOS,DET,3,3,1,1,10,11,0
1980,1980-04-14,CAL,MIN,0,3,5,1,24,16,0
1980,1980-04-14,OAK,SEA,0,1,7,1,12,26,1
1980,1980-04-14,TEX,CLE,3,7,4,1,17,15,1
1980,1980-04-14,CIN,SFN,3,6,5,1,8,18,0
1980,1980-04-14,HOU,ATL,3,5,4,1,4,14,0
1980,1980-04-14,PIT,CHN,3,5,4,1,13,25,0
1980,1980-04-14,SDN,LAN,3,2,1,1,20,5,1
1980,1980-04-15,BAL,KCA,3,12,2,1,2,3,0
1980,1980-04-15,CAL,MIN,3,3,1,1,24,16,1
1980,1980-04-15,CHA,NYA,3,4,3,1,21,1,1
1980,1980-04-15,OAK,SEA,3,12,3,1,12,26,0
1980,1980-04-15,TEX,CLE,3,3,0,1,17,15,1
1980,1980-04-15,CIN,SFN,3,8,3,1,8,18,0
1980,1980-04-15,HOU,ATL,3,6,2,1,4,14,0
1980,1980-04-15,NYN,MON,0,3,7,1,22,7,0
1980,1980-04-15,SDN,LAN,3,9,5,1,20,5,1
1980,1980-04-15,SLN,PHI,3,7,2,1,19,6,1
1980,1980-04-16,BAL,KCA,3,2,1,1,2,3,0
1980,1980-04-16,BOS,DET,3,10,9,1,10,11,0
1980,1980-04-16,CAL,MIN,3,2,1,1,24,16,1
1980,1980-04-16,CHA,NYA,0,0,6,1,21,1,0
1980,1980-04-16,OAK,SEA,3,6,1,1,12,26,0
1980,1980-04-16,TEX,CLE,3,8,7,1,17,15,1
1980,1980-04-16,TOR,MIL,3,11,2,1,23,9,1
1980,1980-04-16,CIN,SFN,3,5,3,1,8,18,0
1980,1980-04-16,NYN,MON,3,3,2,1,22,7,1
1980,1980-04-16,SDN,LAN,0,4,10,1,20,5,0
1980,1980-04-16,SLN,PHI,0,3,8,1,19,6,0
1980,1980-04-17,BAL,KCA,3,5,2,1,2,3,0
1980,1980-04-17,BOS,DET,3,5,4,1,10,11,0
1980,1980-04-17,CHA,NYA,3,8,6,1,21,1,1
1980,1980-04-17,SEA,MIN,3,4,3,1,26,16,1
1980,1980-04-17,TOR,MIL,3,1,0,1,23,9,1
1980,1980-04-17,ATL,CIN,0,1,4,1,14,8,0
1980,1980-04-17,CHN,NYN,3,4,1,1,25,22,1
1980,1980-04-17,LAN,HOU,3,6,4,1,5,4,1
1980,1980-04-17,PIT,SLN,0,9,12,1,13,19,1
1980,1980-04-17,SFN,SDN,3,7,3,1,18,20,0
1980,1980-04-18,BAL,CHA,3,5,2,1,2,21,0
1980,1980-04-18,BOS,TEX,0,5,6,1,10,17,1
1980,1980-04-18,DET,KCA,0,6,9,1,11,3,0
1980,1980-04-18,NYA,MIL,0,2,3,1,1,9,1
1980,1980-04-18,OAK,CAL,3,6,3,1,12,24,0
1980,1980-04-18,SEA,MIN,3,3,1,1,26,16,1
1980,1980-04-18,SEA,MIN,3,3,2,1,26,16,1
1980,1980-04-18,ATL,CIN,3,3,0,1,14,8,1
1980,1980-04-18,LAN,HOU,0,4,7,1,5,4,0
1980,1980-04-18,MON,PHI,3,7,5,1,7,6,1
1980,1980-04-18,PIT,SLN,3,12,10,1,13,19,0
1980,1980-04-18,SFN,SDN,3,5,2,1,18,20,0
1980,1980-04-19,BAL,CHA,0,4,5,1,2,21,1
1980,1980-04-19,BOS,TEX,0,0,8,1,10,17,1
1980,1980-04-19,CLE,TOR,3,8,1,1,15,23,0
1980,1980-04-19,DET,KCA,3,8,6,1,11,3,1
1980,1980-04-19,NYA,MIL,0,1,5,1,1,9,1
1980,1980-04-19,OAK,CAL,3,3,1,1,12,24,0
1980,1980-04-19,SEA,MIN,0,3,8,1,26,16,0
1980,1980-04-19,ATL,CIN,0,1,6,1,14,8,0
1980,1980-04-19,CHN,NYN,3,12,9,1,25,22,1
1980,1980-04-19,LAN,HOU,0,0,2,1,5,4,0
1980,1980-04-19,MON,PHI,0,4,13,1,7,6,0
1980,1980-04-19,PIT,SLN,0,1,2,1,13,19,1
1980,1980-04-19,SFN,SDN,0,0,3,1,18,20,1
1980,1980-04-20,BAL,CHA,0,6,9,1,2,21,1
1980,1980-04-20,BOS,TEX,3,6,5,1,10,17,0
1980,1980-04-20,CLE,TOR,0,3,5,1,15,23,1
1980,1980-04-20,DET,KCA,0,6,9,1,11,3,0
1980,1980-04-20,NYA,MIL,3,9,5,1,1,9,0
1980,1980-04-20,OAK,CAL,3,6,1,1,12,24,0
1980,1980-04-20,OAK,CAL,3,8,2,1,12,24,0
1980,1980-04-20,SEA,MIN,0,3,4,1,26,16,0
1980,1980-04-20,ATL,CIN,0,3,5,1,14,8,0
1980,1980-04-20,CHN,NYN,3,6,3,1,25,22,1
1980,1980-04-20,LAN,HOU,3,4,2,1,5,4,1
1980,1980-04-20,MON,PHI,3,7,6,1,7,6,1
1980,1980-04-20,PIT,SLN,3,6,3,1,13,19,0
1980,1980-04-20,SFN,SDN,3,5,1,1,18,20,0
1980,1980-04-21,BOS,CHA,3,9,8,1,10,21,0
