league,season,upset_frequency
MLB,1980,0.4137767220902613
MLB,1981,0.4103299856527977
MLB,1982,0.42714760322733747
MLB,1983,0.4220009483167378
MLB,1984,0.44133016627078386
MLB,1985,0.4136947218259629
MLB,1986,0.43176414645744177
MLB,1987,0.43895486935866984
MLB,1988,0.4138095238095238
MLB,1989,0.43067426400759734
MLB,1990,0.44323040380047507
MLB,1991,0.44344106463878324
MLB,1992,0.42735042735042733
MLB,1993,0.4186866460996034
MLB,1994,0.4325
MLB,1995,0.42736737729300944
MLB,1996,0.4349360388178209
MLB,1997,0.442188879082083
MLB,1998,0.4004934210526316
MLB,1999,0.40691927512355847
MLB,2000,0.42939481268011526
MLB,2001,0.41128036228900783
MLB,2002,0.398598516075845
MLB,2003,0.40781893004115227
MLB,2004,0.4052718286655684
MLB,2005,0.4158782394076512
MLB,2006,0.43598188554960887
MLB,2007,0.43027560674619497
MLB,2008,0.42051070840197696
MLB,2009,0.4185185185185185
MLB,2010,0.4271604938271605
MLB,2011,0.42445450802799506
MLB,2012,0.41646090534979424
MLB,2013,0.4204031262854792
MLB,2014,0.43868312757201644
MLB,2015,0.4174557431041581
MLB,2016,0.4258649093904448
MLB,2017,0.4251028806584362
MLB,2018,0.4014808720691074
MLB,2019,0.39481268011527376
MLB,2020,0.39198218262806234
MLB,2021,0.4034582132564842
MLB,2022,0.402880658436214
MLB,2023,0.4090534979423868
MLB,2024,0.41292713050638125
NBA,1949,0.2905525846702317
NBA,1950,0.3954802259887006
NBA,1951,0.3878787878787879
NBA,1952,0.2840909090909091
NBA,1953,0.3425925925925926
NBA,1954,0.4270833333333333
NBA,1955,0.4375
NBA,1956,0.4236111111111111
NBA,1957,0.3888888888888889
NBA,1958,0.3333333333333333
NBA,1959,0.2966666666666667
NBA,1960,0.3322784810126582
NBA,1961,0.3138888888888889
NBA,1962,0.325
NBA,1963,0.325
NBA,1964,0.3277777777777778
NBA,1965,0.33055555555555555
NBA,1966,0.3234567901234568
NBA,1967,0.32113821138211385
NBA,1968,0.3327526132404181
NBA,1969,0.3797909407665505
NBA,1970,0.3314203730272597
NBA,1971,0.28694404591104733
NBA,1972,0.27259684361549497
NBA,1973,0.3472022955523673
NBA,1974,0.3875338753387534
NBA,1975,0.3617886178861789
NBA,1976,0.3802660753880266
NBA,1977,0.376940133037694
NBA,1978,0.40022172949002216
NBA,1979,0.34700665188470065
NBA,1980,0.31601272534464475
NBA,1981,0.3340402969247084
NBA,1982,0.30965005302226933
NBA,1983,0.3647932131495228
NBA,1984,0.3404029692470838
NBA,1985,0.3340402969247084
NBA,1986,0.3244962884411453
NBA,1987,0.3181336161187699
NBA,1988,0.3170731707317073
NBA,1989,0.2981029810298103
NBA,1990,0.3215898825654923
NBA,1991,0.3089430894308943
NBA,1992,0.32429990966576333
NBA,1993,0.2926829268292683
NBA,1994,0.3044263775971093
NBA,1995,0.30193439865433136
NBA,1996,0.26661059714045415
NBA,1997,0.28259041211101765
NBA,1998,0.3103448275862069
NBA,1999,0.3069806560134567
NBA,2000,0.31791421362489486
NBA,2001,0.3406223717409588
NBA,2002,0.3423044575273339
NBA,2003,0.3481917577796468
NBA,2004,0.3178861788617886
NBA,2005,0.33902439024390246
NBA,2006,0.35284552845528455
NBA,2007,0.3040650406504065
NBA,2008,0.308130081300813
NBA,2009,0.3024390243902439
NBA,2010,0.31138211382113823
NBA,2011,0.30606060606060603
NBA,2012,0.31814483319772174
NBA,2013,0.3227642276422764
NBA,2014,0.2983739837398374
NBA,2015,0.2934959349593496
NBA,2016,0.35284552845528455
NBA,2017,0.32195121951219513
NBA,2018,0.33876221498371334
NBA,2019,0.3210576015108593
NBA,2020,0.3416666666666667
NBA,2021,0.33983739837398375
NBA,2022,0.36016260162601627
NBA,2023,0.3273761169780666
NBA,2024,0.30706742485783917
NFL,1966,0.25
NFL,1967,0.2057142857142857
NFL,1968,0.17582417582417584
NFL,1969,0.17582417582417584
NFL,1970,0.2087912087912088
NFL,1971,0.27472527472527475
NFL,1972,0.2032967032967033
NFL,1973,0.22527472527472528
NFL,1974,0.2802197802197802
NFL,1975,0.25274725274725274
NFL,1976,0.17857142857142858
NFL,1977,0.24489795918367346
NFL,1978,0.29017857142857145
NFL,1979,0.3080357142857143
NFL,1980,0.30357142857142855
NFL,1981,0.2767857142857143
NFL,1982,0.24603174603174602
NFL,1983,0.3392857142857143
NFL,1984,0.26339285714285715
NFL,1985,0.26339285714285715
NFL,1986,0.25
NFL,1987,0.30952380952380953
NFL,1988,0.28125
NFL,1989,0.3125
NFL,1990,0.2857142857142857
NFL,1991,0.22767857142857142
NFL,1992,0.27232142857142855
NFL,1993,0.3169642857142857
NFL,1994,0.2767857142857143
NFL,1995,0.3333333333333333
NFL,1996,0.32083333333333336
NFL,1997,0.30416666666666664
NFL,1998,0.26666666666666666
NFL,1999,0.33064516129032256
NFL,2000,0.29435483870967744
NFL,2001,0.2701612903225806
NFL,2002,0.3125
NFL,2003,0.25
NFL,2004,0.27734375
NFL,2005,0.26171875
NFL,2006,0.28515625
NFL,2007,0.24609375
NFL,2008,0.26953125
NFL,2009,0.25390625
NFL,2010,0.30078125
NFL,2011,0.25390625
NFL,2012,0.2734375
NFL,2013,0.3125
NFL,2014,0.23046875
NFL,2015,0.296875
NFL,2016,0.26953125
NFL,2017,0.24609375
NFL,2018,0.28515625
NFL,2019,0.265625
NFL,2020,0.23828125
NFL,2021,0.28308823529411764
NFL,2022,0.3025830258302583
NFL,2023,0.3088235294117647
NFL,2024,0.22058823529411764
