league,season,upset_frequency
MLB,1980,0.45700712589073633
MLB,1981,0.43615494978479197
MLB,1982,0.4537256763170384
MLB,1983,0.45519203413940257
MLB,1984,0.47030878859857483
MLB,1985,0.44935805991440797
MLB,1986,0.4503090822634332
MLB,1987,0.4655581947743468
MLB,1988,0.4523809523809524
MLB,1989,0.46201329534662866
MLB,1990,0.4470308788598575
MLB,1991,0.47480988593155893
MLB,1992,0.4491927825261159
MLB,1993,0.4592331423534597
MLB,1994,0.443125
MLB,1995,0.4541398116013882
MLB,1996,0.4614027348919277
MLB,1997,0.46293027360988526
MLB,1998,0.4609375
MLB,1999,0.45799011532125206
MLB,2000,0.4565664882667764
MLB,2001,0.45986002470152326
MLB,2002,0.46784830997526794
MLB,2003,0.4679012345679012
MLB,2004,0.4567545304777595
MLB,2005,0.45989304812834225
MLB,2006,0.4491560312885961
MLB,2007,0.4479638009049774
MLB,2008,0.46046128500823724
MLB,2009,0.43333333333333335
MLB,2010,0.47242798353909465
MLB,2011,0.47426924660354053
MLB,2012,0.44650205761316875
MLB,2013,0.4483751542575072
MLB,2014,0.4580246913580247
MLB,2015,0.45286125977768626
MLB,2016,0.45551894563426687
MLB,2017,0.4617283950617284
MLB,2018,0.44467297408473877
MLB,2019,0.4631535611362701
MLB,2020,0.42538975501113585
MLB,2021,0.45409633594071636
MLB,2022,0.4588477366255144
MLB,2023,0.46502057613168724
MLB,2024,0.4553314121037464
NBA,1949,0.41532976827094475
NBA,1950,0.423728813559322
NBA,1951,0.4393939393939394
NBA,1952,0.4403409090909091
NBA,1953,0.4351851851851852
NBA,1954,0.3923611111111111
NBA,1955,0.4652777777777778
NBA,1956,0.4131944444444444
NBA,1957,0.4305555555555556
NBA,1958,0.4201388888888889
NBA,1959,0.43666666666666665
NBA,1960,0.41455696202531644
NBA,1961,0.43333333333333335
NBA,1962,0.4388888888888889
NBA,1963,0.4527777777777778
NBA,1964,0.48055555555555557
NBA,1965,0.4527777777777778
NBA,1966,0.4419753086419753
NBA,1967,0.43902439024390244
NBA,1968,0.4651567944250871
NBA,1969,0.4529616724738676
NBA,1970,0.41750358680057387
NBA,1971,0.45480631276901007
NBA,1972,0.45911047345767575
NBA,1973,0.4261119081779053
NBA,1974,0.46070460704607047
NBA,1975,0.43902439024390244
NBA,1976,0.4356984478935698
NBA,1977,0.4279379157427938
NBA,1978,0.4434589800443459
NBA,1979,0.45454545454545453
NBA,1980,0.4337221633085896
NBA,1981,0.44644750795334043
NBA,1982,0.4517497348886532
NBA,1983,0.4252386002120891
NBA,1984,0.4485683987274655
NBA,1985,0.44538706256627786
NBA,1986,0.4146341463414634
NBA,1987,0.4305408271474019
NBA,1988,0.4429268292682927
NBA,1989,0.4480578139114724
NBA,1990,0.43902439024390244
NBA,1991,0.46160794941282746
NBA,1992,0.42005420054200543
NBA,1993,0.4218608852755194
NBA,1994,0.4372177055103884
NBA,1995,0.45836837678721615
NBA,1996,0.464255677039529
NBA,1997,0.4499579478553406
NBA,1998,0.4124137931034483
NBA,1999,0.447434819175778
NBA,2000,0.43566021867115223
NBA,2001,0.447434819175778
NBA,2002,0.4440706476030278
NBA,2003,0.4600504625735913
NBA,2004,0.44878048780487806
NBA,2005,0.43902439024390244
NBA,2006,0.44471544715447153
NBA,2007,0.4276422764227642
NBA,2008,0.44552845528455287
NBA,2009,0.42601626016260163
NBA,2010,0.42601626016260163
NBA,2011,0.43333333333333335
NBA,2012,0.42961757526444266
NBA,2013,0.43902439024390244
NBA,2014,0.44878048780487806
NBA,2015,0.4349593495934959
NBA,2016,0.44471544715447153
NBA,2017,0.4292682926829268
NBA,2018,0.4210097719869707
NBA,2019,0.42398489140698775
NBA,2020,0.4361111111111111
NBA,2021,0.4585365853658537
NBA,2022,0.43414634146341463
NBA,2023,0.43623070674248576
NBA,2024,0.44597887896019495
NFL,1966,0.39285714285714285
NFL,1967,0.3942857142857143
NFL,1968,0.36813186813186816
NFL,1969,0.3131868131868132
NFL,1970,0.2967032967032967
NFL,1971,0.34615384615384615
NFL,1972,0.4065934065934066
NFL,1973,0.36813186813186816
NFL,1974,0.3516483516483517
NFL,1975,0.33516483516483514
NFL,1976,0.3163265306122449
NFL,1977,0.39285714285714285
NFL,1978,0.35267857142857145
NFL,1979,0.39732142857142855
NFL,1980,0.33482142857142855
NFL,1981,0.4107142857142857
NFL,1982,0.30158730158730157
NFL,1983,0.375
NFL,1984,0.3705357142857143
NFL,1985,0.3125
NFL,1986,0.3392857142857143
NFL,1987,0.3630952380952381
NFL,1988,0.33482142857142855
NFL,1989,0.3705357142857143
NFL,1990,0.3392857142857143
NFL,1991,0.3705357142857143
NFL,1992,0.375
NFL,1993,0.38392857142857145
NFL,1994,0.3392857142857143
NFL,1995,0.35833333333333334
NFL,1996,0.3625
NFL,1997,0.37083333333333335
NFL,1998,0.3625
NFL,1999,0.3467741935483871
NFL,2000,0.3467741935483871
NFL,2001,0.38306451612903225
NFL,2002,0.35546875
NFL,2003,0.33984375
NFL,2004,0.3515625
NFL,2005,0.34765625
NFL,2006,0.36328125
NFL,2007,0.37109375
NFL,2008,0.35546875
NFL,2009,0.39453125
NFL,2010,0.37109375
NFL,2011,0.4296875
NFL,2012,0.37109375
NFL,2013,0.37109375
NFL,2014,0.34375
NFL,2015,0.3671875
NFL,2016,0.35546875
NFL,2017,0.3984375
NFL,2018,0.37109375
NFL,2019,0.390625
NFL,2020,0.34375
NFL,2021,0.3713235294117647
NFL,2022,0.3800738007380074
NFL,2023,0.4117647058823529
NFL,2024,0.31985294117647056
