league,season,upset_frequency
MLB,1980,0.0000
MLB,1981,0.0036
MLB,1982,0.0000
MLB,1983,0.0000
MLB,1984,0.0057
MLB,1985,0.0000
MLB,1986,0.0000
MLB,1987,0.0114
MLB,1988,0.0057
MLB,1989,0.0000
MLB,1990,0.0000
MLB,1991,0.0000
MLB,1992,0.0000
MLB,1993,0.0000
MLB,1994,0.0138
MLB,1995,0.0084
MLB,1996,0.0000
MLB,1997,0.0013
MLB,1998,0.0045
MLB,1999,0.0062
MLB,2000,0.0049
MLB,2001,0.0276
MLB,2002,0.0235
MLB,2003,0.0202
MLB,2004,0.0148
MLB,2005,0.0214
MLB,2006,0.0247
MLB,2007,0.0288
MLB,2008,0.0198
MLB,2009,0.0255
MLB,2010,0.0305
MLB,2011,0.0111
MLB,2012,0.0263
MLB,2013,0.0185
MLB,2014,0.0202
MLB,2015,0.0325
MLB,2016,0.0111
MLB,2017,0.0206
MLB,2018,0.0177
MLB,2019,0.0239
MLB,2020,0.0122
MLB,2021,0.0177
MLB,2022,0.0218
MLB,2023,0.0214
MLB,2024,0.0074
NBA,1949,0.0107
NBA,1950,0.0000
NBA,1951,0.0000
NBA,1952,0.0000
NBA,1953,0.0000
NBA,1954,0.0000
NBA,1955,0.0000
NBA,1956,0.0312
NBA,1957,0.0000
NBA,1958,0.0000
NBA,1959,0.0000
NBA,1960,0.0000
NBA,1961,0.0000
NBA,1962,0.0000
NBA,1963,0.0000
NBA,1964,0.0000
NBA,1965,0.0000
NBA,1966,0.0000
NBA,1967,0.0000
NBA,1968,0.0000
NBA,1969,0.0000
NBA,1970,0.0115
NBA,1971,0.0000
NBA,1972,0.0000
NBA,1973,0.0000
NBA,1974,0.0108
NBA,1975,0.0108
NBA,1976,0.0000
NBA,1977,0.0000
NBA,1978,0.0000
NBA,1979,0.0089
NBA,1980,0.0085
NBA,1981,0.0148
NBA,1982,0.0021
NBA,1983,0.0170
NBA,1984,0.0021
NBA,1985,0.0127
NBA,1986,0.0064
NBA,1987,0.0085
NBA,1988,0.0195
NBA,1989,0.0072
NBA,1990,0.0054
NBA,1991,0.0090
NBA,1992,0.0108
NBA,1993,0.0072
NBA,1994,0.0072
NBA,1995,0.0017
NBA,1996,0.0067
NBA,1997,0.0084
NBA,1998,0.0124
NBA,1999,0.0067
NBA,2000,0.0168
NBA,2001,0.0118
NBA,2002,0.0135
NBA,2003,0.0202
NBA,2004,0.0098
NBA,2005,0.0081
NBA,2006,0.0049
NBA,2007,0.0146
NBA,2008,0.0098
NBA,2009,0.0049
NBA,2010,0.0098
NBA,2011,0.0111
NBA,2012,0.0065
NBA,2013,0.0130
NBA,2014,0.0098
NBA,2015,0.0065
NBA,2016,0.0081
NBA,2017,0.0033
NBA,2018,0.0081
NBA,2019,0.0151
NBA,2020,0.0037
NBA,2021,0.0065
NBA,2022,0.0049
NBA,2023,0.0122
NBA,2024,0.0049
NFL,1966,0.0000
NFL,1967,0.0057
NFL,1968,0.0055
NFL,1969,0.0165
NFL,1970,0.0385
NFL,1971,0.0220
NFL,1972,0.0220
NFL,1973,0.0220
NFL,1974,0.0110
NFL,1975,0.0165
NFL,1976,0.0255
NFL,1977,0.0051
NFL,1978,0.0268
NFL,1979,0.0179
NFL,1980,0.0089
NFL,1981,0.0268
NFL,1982,0.0238
NFL,1983,0.0223
NFL,1984,0.0179
NFL,1985,0.0357
NFL,1986,0.0268
NFL,1987,0.0417
NFL,1988,0.0089
NFL,1989,0.0402
NFL,1990,0.0268
NFL,1991,0.0089
NFL,1992,0.0134
NFL,1993,0.0179
NFL,1994,0.0179
NFL,1995,0.0250
NFL,1996,0.0292
NFL,1997,0.0333
NFL,1998,0.0083
NFL,1999,0.0202
NFL,2000,0.0282
NFL,2001,0.0161
NFL,2002,0.0156
NFL,2003,0.0039
NFL,2004,0.0156
NFL,2005,0.0273
NFL,2006,0.0156
NFL,2007,0.0273
NFL,2008,0.0117
NFL,2009,0.0078
NFL,2010,0.0195
NFL,2011,0.0156
NFL,2012,0.0195
NFL,2013,0.0078
NFL,2014,0.0195
NFL,2015,0.0039
NFL,2016,0.0117
NFL,2017,0.0117
NFL,2018,0.0312
NFL,2019,0.0117
NFL,2020,0.0195
NFL,2021,0.0147
NFL,2022,0.0332
NFL,2023,0.0404
NFL,2024,0.0221
