season,date,league,team1,team2,result,score1,score2,home_rank,away_rank,is_upset
1980,1980-04-09,MLB,SEA,TOR,-1,8,6,26,21,0
1980,1980-04-09,MLB,CIN,ATL,1,9,0,10,15,0
1980,1980-04-10,MLB,CHA,BAL,-1,3,5,20,3,0
1980,1980-04-10,MLB,KCA,DET,1,1,5,5,11,0
1980,1980-04-10,MLB,MIL,BOS,1,9,5,7,9,0
1980,1980-04-10,MLB,OAK,MIN,1,7,9,13,16,0
1980,1980-04-10,MLB,TEX,NYA,-1,1,0,18,1,0
1980,1980-04-10,MLB,HOU,LAN,1,3,2,2,4,0
1980,1980-04-10,MLB,NYN,CHN,1,5,2,23,25,0
1980,1980-04-10,MLB,SDN,SFN,-1,6,4,22,17,0
1980,1980-04-10,MLB,SLN,PIT,-1,1,0,19,12,0
1980,1980-04-11,MLB,CAL,CLE,-1,10,2,24,14,0
1980,1980-04-11,MLB,CHA,BAL,-1,8,4,20,3,0
1980,1980-04-11,MLB,KCA,DET,1,4,0,5,11,0
1980,1980-04-11,MLB,OAK,MIN,1,1,0,13,16,0
1980,1980-04-11,MLB,SEA,TOR,-1,7,10,26,21,0
1980,1980-04-11,MLB,TEX,NYA,-1,11,7,18,1,0
1980,1980-04-11,MLB,CIN,ATL,1,6,0,10,15,0
1980,1980-04-11,MLB,HOU,LAN,1,10,6,2,4,0
1980,1980-04-11,MLB,NYN,CHN,1,5,7,23,25,0
1980,1980-04-11,MLB,PHI,MON,1,6,3,6,8,0
1980,1980-04-11,MLB,SDN,SFN,-1,5,3,22,17,0
1980,1980-04-11,MLB,SLN,PIT,-1,3,4,19,12,0
1980,1980-04-12,MLB,CAL,CLE,-1,1,2,24,14,0
1980,1980-04-12,MLB,CHA,BAL,-1,8,2,20,3,0
1980,1980-04-12,MLB,KCA,DET,1,8,6,5,11,0
1980,1980-04-12,MLB,MIL,BOS,1,18,1,7,9,0
1980,1980-04-12,MLB,OAK,MIN,1,0,6,13,16,0
1980,1980-04-12,MLB,SEA,TOR,-1,3,2,26,21,0
1980,1980-04-12,MLB,CIN,ATL,1,5,4,10,15,0
1980,1980-04-12,MLB,HOU,LAN,1,5,6,2,4,0
1980,1980-04-12,MLB,NYN,CHN,1,3,6,23,25,0
1980,1980-04-12,MLB,PHI,MON,1,6,2,6,8,0
1980,1980-04-12,MLB,SDN,SFN,-1,4,2,22,17,0
1980,1980-04-12,MLB,SLN,PIT,-1,2,7,19,12,0
1980,1980-04-13,MLB,CAL,CLE,-1,8,3,24,14,0
1980,1980-04-13,MLB,CHA,BAL,-1,5,2,20,3,0
1980,1980-04-13,MLB,KCA,DET,1,3,2,5,11,0
1980,1980-04-13,MLB,MIL,BOS,1,1,3,7,9,0
1980,1980-04-13,MLB,OAK,MIN,1,4,1,13,16,0
1980,1980-04-13,MLB,SEA,TOR,-1,5,1,26,21,0
1980,1980-04-13,MLB,TEX,NYA,-1,4,9,18,1,0
1980,1980-04-13,MLB,TEX,NYA,-1,2,8,18,1,0
1980,1980-04-13,MLB,CIN,ATL,1,5,0,10,15,0
1980,1980-04-13,MLB,HOU,LAN,1,4,2,2,4,0
1980,1980-04-13,MLB,NYN,CHN,1,5,0,23,25,0
1980,1980-04-13,MLB,PHI,MON,1,4,5,6,8,0
1980,1980-04-13,MLB,SDN,SFN,-1,1,3,22,17,0
1980,1980-04-13,MLB,SLN,PIT,-1,0,3,19,12,0
1980,1980-04-14,MLB,BOS,DET,1,3,1,9,11,0
1980,1980-04-14,MLB,CAL,MIN,-1,3,5,24,16,0
1980,1980-04-14,MLB,OAK,SEA,1,1,7,13,26,0
1980,1980-04-14,MLB,TEX,CLE,-1,7,4,18,14,0
1980,1980-04-14,MLB,CIN,SFN,1,6,5,10,17,0
1980,1980-04-14,MLB,HOU,ATL,1,5,4,2,15,0
1980,1980-04-14,MLB,PIT,CHN,1,5,4,12,25,0
1980,1980-04-14,MLB,SDN,LAN,-1,2,1,22,4,0
1980,1980-04-15,MLB,BAL,KCA,1,12,2,3,5,0
1980,1980-04-15,MLB,CAL,MIN,-1,3,1,24,16,0
1980,1980-04-15,MLB,CHA,NYA,-1,4,3,20,1,0
1980,1980-04-15,MLB,OAK,SEA,1,12,3,13,26,0
1980,1980-04-15,MLB,TEX,CLE,-1,3,0,18,14,0
1980,1980-04-15,MLB,CIN,SFN,1,8,3,10,17,0
1980,1980-04-15,MLB,HOU,ATL,1,6,2,2,15,0
1980,1980-04-15,MLB,NYN,MON,-1,3,7,23,8,0
1980,1980-04-15,MLB,SDN,LAN,-1,9,5,22,4,0
1980,1980-04-15,MLB,SLN,PHI,-1,7,2,19,6,0
1980,1980-04-16,MLB,BAL,KCA,1,2,1,3,5,0
1980,1980-04-16,MLB,BOS,DET,1,10,9,9,11,0
1980,1980-04-16,MLB,CAL,MIN,-1,2,1,24,16,0
1980,1980-04-16,MLB,CHA,NYA,-1,0,6,20,1,0
1980,1980-04-16,MLB,OAK,SEA,1,6,1,13,26,0
1980,1980-04-16,MLB,TEX,CLE,-1,8,7,18,14,0
1980,1980-04-16,MLB,TOR,MIL,-1,11,2,21,7,0
1980,1980-04-16,MLB,CIN,SFN,1,5,3,10,17,0
1980,1980-04-16,MLB,NYN,MON,-1,3,2,23,8,0
1980,1980-04-16,MLB,SDN,LAN,-1,4,10,22,4,0
1980,1980-04-16,MLB,SLN,PHI,-1,3,8,19,6,0
1980,1980-04-17,MLB,BAL,KCA,1,5,2,3,5,0
1980,1980-04-17,MLB,BOS,DET,1,5,4,9,11,0
1980,1980-04-17,MLB,CHA,NYA,-1,8,6,20,1,0
1980,1980-04-17,MLB,SEA,MIN,-1,4,3,26,16,0
1980,1980-04-17,MLB,TOR,MIL,-1,1,0,21,7,0
1980,1980-04-17,MLB,ATL,CIN,-1,1,4,15,10,0
1980,1980-04-17,MLB,CHN,NYN,-1,4,1,25,23,0
1980,1980-04-17,MLB,LAN,HOU,-1,6,4,4,2,0
1980,1980-04-17,MLB,PIT,SLN,1,9,12,12,19,0
1980,1980-04-17,MLB,SFN,SDN,1,7,3,17,22,0
1980,1980-04-18,MLB,BAL,CHA,1,5,2,3,20,0
1980,1980-04-18,MLB,BOS,TEX,1,5,6,9,18,0
1980,1980-04-18,MLB,DET,KCA,-1,6,9,11,5,0
1980,1980-04-18,MLB,NYA,MIL,1,2,3,1,7,0
1980,1980-04-18,MLB,OAK,CAL,1,6,3,13,24,0
1980,1980-04-18,MLB,SEA,MIN,-1,3,1,26,16,0
1980,1980-04-18,MLB,SEA,MIN,-1,3,2,26,16,0
1980,1980-04-18,MLB,ATL,CIN,-1,3,0,15,10,0
1980,1980-04-18,MLB,LAN,HOU,-1,4,7,4,2,0
1980,1980-04-18,MLB,MON,PHI,-1,7,5,8,6,0
1980,1980-04-18,MLB,PIT,SLN,1,12,10,12,19,0
1980,1980-04-18,MLB,SFN,SDN,1,5,2,17,22,0
1980,1980-04-19,MLB,BAL,CHA,1,4,5,3,20,0
1980,1980-04-19,MLB,BOS,TEX,1,0,8,9,18,0
1980,1980-04-19,MLB,CLE,TOR,1,8,1,14,21,0
1980,1980-04-19,MLB,DET,KCA,-1,8,6,11,5,0
1980,1980-04-19,MLB,NYA,MIL,1,1,5,1,7,0
1980,1980-04-19,MLB,OAK,CAL,1,3,1,13,24,0
1980,1980-04-19,MLB,SEA,MIN,-1,3,8,26,16,0
1980,1980-04-19,MLB,ATL,CIN,-1,1,6,15,10,0
1980,1980-04-19,MLB,CHN,NYN,-1,12,9,25,23,0
1980,1980-04-19,MLB,LAN,HOU,-1,0,2,4,2,0
1980,1980-04-19,MLB,MON,PHI,-1,4,13,8,6,0
1980,1980-04-19,MLB,PIT,SLN,1,1,2,12,19,0
1980,1980-04-19,MLB,SFN,SDN,1,0,3,17,22,0
1980,1980-04-20,MLB,BAL,CHA,1,6,9,3,20,0
1980,1980-04-20,MLB,BOS,TEX,1,6,5,9,18,0
1980,1980-04-20,MLB,CLE,TOR,1,3,5,14,21,0
1980,1980-04-20,MLB,DET,KCA,-1,6,9,11,5,0
1980,1980-04-20,MLB,NYA,MIL,1,9,5,1,7,0
1980,1980-04-20,MLB,OAK,CAL,1,6,1,13,24,0
1980,1980-04-20,MLB,OAK,CAL,1,8,2,13,24,0
1980,1980-04-20,MLB,SEA,MIN,-1,3,4,26,16,0
1980,1980-04-20,MLB,ATL,CIN,-1,3,5,15,10,0
1980,1980-04-20,MLB,CHN,NYN,-1,6,3,25,23,0
1980,1980-04-20,MLB,LAN,HOU,-1,4,2,4,2,0
1980,1980-04-20,MLB,MON,PHI,-1,7,6,8,6,0
1980,1980-04-20,MLB,PIT,SLN,1,6,3,12,19,0
1980,1980-04-20,MLB,SFN,SDN,1,5,1,17,22,0
1980,1980-04-21,MLB,BOS,CHA,1,9,8,9,20,0
1980,1980-04-21,MLB,KCA,TOR,1,1,7,5,21,0
1980,1980-04-21,MLB,MIL,CLE,1,7,5,7,14,0
1980,1980-04-21,MLB,NYA,BAL,1,3,2,1,3,0
1980,1980-04-21,MLB,SEA,OAK,-1,2,4,26,13,0
1980,1980-04-21,MLB,TEX,DET,-1,3,2,18,11,0
1980,1980-04-21,MLB,HOU,CIN,1,5,6,2,10,0
1980,1980-04-21,MLB,LAN,SFN,1,4,3,4,17,0
1980,1980-04-21,MLB,MON,PIT,1,1,7,8,12,0
1980,1980-04-21,MLB,PHI,NYN,1,0,3,6,23,0
1980,1980-04-22,MLB,BOS,CHA,1,0,2,9,20,0
1980,1980-04-22,MLB,KCA,TOR,1,7,2,5,21,0
1980,1980-04-22,MLB,MIL,CLE,1,8,4,7,14,0
1980,1980-04-22,MLB,MIN,CAL,1,8,1,16,24,0
1980,1980-04-22,MLB,NYA,BAL,1,5,4,1,3,0
1980,1980-04-22,MLB,SEA,OAK,-1,5,4,26,13,0
1980,1980-04-22,MLB,TEX,DET,-1,0,2,18,11,0
1980,1980-04-22,MLB,ATL,SDN,1,3,2,15,22,0
1980,1980-04-22,MLB,CHN,SLN,-1,16,12,25,19,0
1980,1980-04-22,MLB,HOU,CIN,1,8,0,2,10,0
1980,1980-04-22,MLB,LAN,SFN,1,6,0,4,17,0
1980,1980-04-22,MLB,MON,PIT,1,3,5,8,12,0
1980,1980-04-22,MLB,PHI,NYN,1,14,8,6,23,0
1980,1980-04-23,MLB,KCA,TOR,1,7,4,5,21,0
1980,1980-04-23,MLB,MIL,CLE,1,3,7,7,14,0
1980,1980-04-23,MLB,MIN,CAL,1,0,17,16,24,0
1980,1980-04-23,MLB,NYA,BAL,1,6,5,1,3,0
1980,1980-04-23,MLB,SEA,OAK,-1,2,5,26,13,0
1980,1980-04-23,MLB,TEX,DET,-1,4,5,18,11,0
1980,1980-04-23,MLB,ATL,SDN,1,2,1,15,22,0
1980,1980-04-23,MLB,CHN,SLN,-1,1,3,25,19,0
1980,1980-04-23,MLB,HOU,CIN,1,2,3,2,10,0
1980,1980-04-23,MLB,LAN,SFN,1,4,0,4,17,0
1980,1980-04-23,MLB,MON,PIT,1,3,2,8,12,0
1980,1980-04-23,MLB,PHI,NYN,1,2,3,6,23,0
1980,1980-04-24,MLB,BOS,CHA,1,3,9,9,20,0
1980,1980-04-24,MLB,ATL,SDN,1,8,7,15,22,0
